dataset,method,original_OGL_FULL_gap,new_OGL_method_gap,gap_reduction,gap_reduction_percent
vggss_144k,TEMP_MEAN_4,0.030050407134548263,0.02985653354013179,0.00019387359441647156,0.006451612903226843
vggss_144k,TEMP_GEO_4,0.030050407134548263,0.02985653354013179,0.00019387359441647156,0.006451612903226843
vggss_144k,FULL_TEMP_MEAN_4,0.030050407134548263,0.030050407134548263,0.0,0.0
vggss_144k,FULL_TEMP_GEO_4,0.030050407134548263,0.030050407134548263,0.0,0.0
vggss_144k,TEMP_MEAN_2,0.030050407134548263,0.029274912756882487,0.0007754943776657752,0.02580645161290368
vggss_144k,TEMP_GEO_2,0.030050407134548263,0.029274912756882487,0.0007754943776657752,0.02580645161290368
flickr_144k,TEMP_MEAN_4,0.05599999999999994,0.05999999999999994,-0.0040000000000000036,-0.07142857142857156
flickr_144k,TEMP_GEO_4,0.05599999999999994,0.05999999999999994,-0.0040000000000000036,-0.07142857142857156
flickr_144k,FULL_TEMP_MEAN_4,0.05599999999999994,0.05599999999999994,0.0,0.0
flickr_144k,FULL_TEMP_GEO_4,0.05599999999999994,0.05599999999999994,0.0,0.0
flickr_144k,TEMP_MEAN_2,0.05599999999999994,0.05999999999999994,-0.0040000000000000036,-0.07142857142857156
flickr_144k,TEMP_GEO_2,0.05599999999999994,0.05999999999999994,-0.0040000000000000036,-0.07142857142857156
