dataset,sample_id,candidate_set,anchor_candidate_audio_cosine,candidate_pairwise_audio_cosine,unique_candidate_count,same_video_or_self_count,semantic_class_available,same_semantic_class_rate,unique_semantic_class_count
flickr,11154049584,random4,0.6089664,0.62352854,4,0,False,,
flickr,11314266424,random4,0.50430256,0.69554013,4,0,False,,
flickr,11650557765,random4,0.6526838,0.6584632,4,0,False,,
flickr,11764496003,random4,0.64512485,0.555982,4,0,False,,
flickr,11765015695,random4,0.6542033,0.5587154,4,0,False,,
flickr,11776645404,random4,0.63241917,0.5572054,4,0,False,,
flickr,12015590114,random4,0.45057523,0.65675527,4,0,False,,
flickr,12031178616,random4,0.6583382,0.6245837,4,0,False,,
flickr,12048726756,random4,0.6743116,0.6186604,4,0,False,,
flickr,12066557153,random4,0.71066606,0.6595447,4,0,False,,
flickr,12103535156,random4,0.5390319,0.6548999,4,0,False,,
flickr,12158276143,random4,0.61859405,0.7430182,4,0,False,,
flickr,12328837165,random4,0.62595934,0.6100474,4,0,False,,
flickr,12373955905,random4,0.6742322,0.6025031,4,0,False,,
flickr,12444360833,random4,0.62361836,0.6640534,4,0,False,,
flickr,12512072175,random4,0.57400435,0.5929671,4,0,False,,
flickr,12534178685,random4,0.6804322,0.60736895,4,0,False,,
flickr,12598610153,random4,0.56224453,0.5315372,4,0,False,,
flickr,12599965145,random4,0.6334839,0.6038004,4,0,False,,
flickr,12729873904,random4,0.5739405,0.6902973,4,0,False,,
flickr,13153991894,random4,0.61687696,0.62937003,4,0,False,,
flickr,13234495505,random4,0.64820695,0.63585067,4,0,False,,
flickr,13409856383,random4,0.73576045,0.66483295,4,0,False,,
flickr,13447842855,random4,0.61283904,0.59526825,4,0,False,,
flickr,13579448834,random4,0.60059965,0.5694681,4,0,False,,
flickr,13660204414,random4,0.5701843,0.63772196,4,0,False,,
flickr,13721325644,random4,0.688961,0.6436768,4,0,False,,
flickr,13861270725,random4,0.56471944,0.5319981,4,0,False,,
flickr,14062380939,random4,0.6776899,0.60685825,4,0,False,,
flickr,14172932360,random4,0.50293887,0.51502275,4,0,False,,
flickr,14174434304,random4,0.6108909,0.57914925,4,0,False,,
flickr,14203929291,random4,0.69014144,0.62524647,4,0,False,,
flickr,14414061986,random4,0.51883996,0.5745182,4,0,False,,
flickr,14566072101,random4,0.71571994,0.59163004,4,0,False,,
flickr,14648401332,random4,0.7076279,0.68487525,4,0,False,,
flickr,14652810592,random4,0.60662234,0.5689652,4,0,False,,
flickr,14678892718,random4,0.713963,0.58212346,4,0,False,,
flickr,14680986811,random4,0.6523585,0.7068619,4,0,False,,
flickr,14742398172,random4,0.7048748,0.65559304,4,0,False,,
flickr,14778198185,random4,0.4881299,0.46959472,4,0,False,,
flickr,14899015793,random4,0.6042724,0.52849287,4,0,False,,
flickr,15135657108,random4,0.5886528,0.56364244,4,0,False,,
flickr,15210828119,random4,0.7200926,0.6492946,4,0,False,,
flickr,15679023977,random4,0.7501575,0.7289005,4,0,False,,
flickr,15799251138,random4,0.6869178,0.5735135,4,0,False,,
flickr,15994498891,random4,0.53898394,0.5737407,4,0,False,,
flickr,16012165838,random4,0.6723365,0.6302595,4,0,False,,
flickr,16101081359,random4,0.612257,0.58196044,4,0,False,,
flickr,16369370669,random4,0.6487757,0.5537322,4,0,False,,
flickr,16419739420,random4,0.6624998,0.64157915,4,0,False,,
flickr,16563757295,random4,0.6854956,0.6647554,4,0,False,,
flickr,16659090834,random4,0.52805215,0.5639466,4,0,False,,
