dataset,sample_id,candidate_set,anchor_candidate_audio_cosine,candidate_pairwise_audio_cosine,unique_candidate_count,same_video_or_self_count,semantic_class_available,same_semantic_class_rate,unique_semantic_class_count
vggss,-fPdOa99Iwg_000030,random4,0.67682654,0.6110702,4,0,True,0.0,4
vggss,-fTfRh0_RQ4_000030,random4,0.62686193,0.7066326,4,0,True,0.0,4
vggss,-g-GjgEq8l4_000017,random4,0.6264475,0.55103964,4,0,True,0.0,4
vggss,-gCqnkIUmp0_000140,random4,0.64689344,0.6358688,4,0,True,0.0,4
vggss,-gSfPQqi6nI_000030,random4,0.5740916,0.64146125,4,0,True,0.0,4
vggss,-hYRFCQdbLg_000030,random4,0.5979285,0.59020984,4,0,True,0.0,4
vggss,-hedbpc8T0E_000030,random4,0.60651165,0.62324125,4,0,True,0.0,4
vggss,-hss7xpzIVc_000030,random4,0.6397668,0.59720963,4,0,True,0.0,4
vggss,-iF4a6f5PJ8_000000,random4,0.59851396,0.57542664,4,0,True,0.0,4
vggss,-iF4a6f5PJ8_000060,random4,0.5214759,0.5912532,4,0,True,0.0,4
vggss,-jZENGDFArw_000080,random4,0.64775765,0.60877055,4,0,True,0.0,4
vggss,-kPDH9n0PG4_000310,random4,0.5539211,0.529203,4,0,True,0.0,4
vggss,-kZVoaYYU6o_000000,random4,0.60647666,0.5725169,4,0,True,0.0,4
vggss,-lPXTBXa0tE_000030,random4,0.5877168,0.54576105,4,0,True,0.0,4
vggss,-mKtgDnG0oM_000030,random4,0.66652066,0.54399544,4,0,True,0.0,4
vggss,-nQ9a0P1TlY_000023,random4,0.6748452,0.6214533,4,0,True,0.0,4
vggss,-oGJwGEsIiA_000090,random4,0.51674426,0.62473583,4,0,True,0.0,4
vggss,-oOARU0JwWE_000153,random4,0.59362644,0.60229594,4,0,True,0.0,4
vggss,-oSzD8P2BtU_000030,random4,0.7111584,0.6664652,4,0,True,0.0,4
vggss,-ocADGlyaHc_000030,random4,0.6253691,0.53779507,4,0,True,0.25,4
vggss,-r2-9oyIzkQ_000030,random4,0.60996145,0.62994075,4,0,True,0.0,4
vggss,-r3nM90RCNs_000161,random4,0.57527936,0.5557809,4,0,True,0.0,4
vggss,-rTTPoBJNI4_000123,random4,0.6416379,0.5756739,4,0,True,0.0,4
vggss,-rb6uia1wSo_000190,random4,0.59825855,0.58864146,4,0,True,0.0,4
vggss,-rqhMzJRYoc_000030,random4,0.6213497,0.5643248,4,0,True,0.0,4
vggss,-t-htrAtNvM_000030,random4,0.65526813,0.55796653,4,0,True,0.0,4
vggss,-u-40BIU1HE_000003,random4,0.60625863,0.6030678,4,0,True,0.0,4
vggss,-uD3ZbhFTnk_000077,random4,0.51749045,0.6581168,4,0,True,0.0,4
vggss,-vAtBe4LMCQ_000063,random4,0.58899444,0.63311106,4,0,True,0.0,4
vggss,-wi8kPVJLcw_000205,random4,0.61139035,0.6157736,4,0,True,0.0,4
vggss,-wnDAPcoPsk_000030,random4,0.60112906,0.5922518,4,0,True,0.0,4
vggss,-xQbyezhw_k_000040,random4,0.6210295,0.54220015,4,0,True,0.0,4
vggss,-yicwYUKKuo_000304,random4,0.5505562,0.64161634,4,0,True,0.0,4
vggss,-z3AAq0FK-0_000001,random4,0.64174855,0.5882422,4,0,True,0.0,4
vggss,-z4OZ7ls5Bo_000540,random4,0.52818555,0.6187249,4,0,True,0.0,3
vggss,-zCtwbk005g_000030,random4,0.55271727,0.6075092,4,0,True,0.0,4
vggss,-zSyfcXmHdk_001083,random4,0.5857688,0.5686956,4,0,True,0.0,4
vggss,-zgGL2o1jqw_000080,random4,0.6165309,0.53696835,4,0,True,0.0,4
vggss,-ziWHyk_fYQ_000106,random4,0.55570173,0.5841457,4,0,True,0.0,3
vggss,0-jDld11jhw_000093,random4,0.58908576,0.6760641,4,0,True,0.0,4
vggss,007P6bFgRCU_000010,random4,0.49091342,0.60435367,4,0,True,0.0,4
vggss,00QQLLcny14_000083,random4,0.6037089,0.5853309,4,0,True,0.0,4
vggss,00wORCOKNHw_000014,random4,0.62960804,0.6039588,4,0,True,0.0,4
vggss,00z0M1DJyAw_000090,random4,0.6233721,0.66986185,4,0,True,0.0,4
vggss,01SaXyGY5SM_000030,random4,0.5580975,0.599469,4,0,True,0.0,4
vggss,02UvvE1oA1I_000030,random4,0.6641263,0.68619746,4,0,True,0.0,4
vggss,030h_KwNm-g_000003,random4,0.6180303,0.55028725,4,0,True,0.0,4
vggss,04QV0Xi5YTk_000030,random4,0.5170876,0.6193485,4,0,True,0.0,4
vggss,052VMqTM4Xs_000000,random4,0.58453107,0.674174,4,0,True,0.0,4
vggss,064Ilsz8Fzg_000051,random4,0.6202719,0.57809377,4,0,True,0.0,4
vggss,06si40RVDco_000030,random4,0.5880203,0.6225083,4,0,True,0.0,4
vggss,076qdKSC8nU_000030,random4,0.70765275,0.6420798,4,0,True,0.0,4
vggss,077aWlQn6XI_000030,random4,0.5900202,0.52458054,4,0,True,0.0,4
