region,GT,count,fraction_within_region
P,FG,1761421,0.8617924325212926
P,BG,282483,0.1382075674787074
NA,FG,417356,0.8086790054563492
NA,BG,98740,0.19132099454365079
NI,FG,392859,0.7612130301339286
NI,BG,123237,0.23878696986607142
