sample_id,baseline_aud_iou,baseline_img_iou,baseline_iqr_iou,new_aud_iou,new_img_iou,new_iqr_iou,new_ogl_iou,a3_query_iou,category
-4bPiXbovf0_000008,0.40188945596698883,0.49113375243876,0.4286531203537799,0.6273479874393377,0.6415842872008325,0.6567357512953368,0.6246682194897352,0.2956796516105048,AUD_IMPROVE
-ByoSbgzr4M_000000,0.5586398029209925,0.5500123690937577,0.562955887460924,0.34399893195674425,0.3536813089098346,0.348220640569395,0.3512735707229071,0.38299319727891157,AUD_HURT
-JUhUI_KvUI_000026,0.3722345001307003,0.44776189032212915,0.409245122985581,0.4629543847672916,0.5436286050618011,0.5065276695245519,0.47958685354299946,0.2619289082703717,IQR_IMPROVE
0ZxpQ87jdgQ_000037,0.46228151973794324,0.6232879980911477,0.5283027884638359,0.4223200587018878,0.4425637553599639,0.427418272885828,0.5276817796901105,0.672942948597251,IQR_HURT
-0UuUoXQUoI_000107,0.5905364405138468,0.500818094321463,0.600482912332838,0.53536489923694,0.5252031683983129,0.5290854646310932,0.4875059157595835,0.29944670937682005,STABLE_SUCCESS
-0BIyqJj9ZU_000030,0.2903851751237023,0.25156669650850494,0.2874796306355242,0.3335990585734351,0.3535619017731053,0.3433073310823922,0.35293467040259546,0.23130552119644665,ALL_FAIL
-Wd5YV97ftU_000320,0.47770700636942676,0.4858690445484358,0.48034934497816595,0.6319407720782655,0.5374683337419303,0.5885928839620955,0.6863500678426051,0.05212303191284598,AUD_IMPROVE
-e4wXAy1iVo_000000,0.5629984051036683,0.47174728278141487,0.5266540090550607,0.351865533801256,0.32288429491510157,0.340808200997666,0.4736569099666543,0.024233653466649126,AUD_HURT
21I0YiLHzvg_000038,0.5171532286926734,0.48647423664122136,0.49829485512402166,0.5069035973004767,0.49212924606462305,0.5037848482983568,0.5308101753583907,0.3628574005592135,IQR_IMPROVE
1VHm2PacRWc_000020,0.3510634495084897,0.5782946306995915,0.5282439477254874,0.41199077632590314,0.4540313106199284,0.44255011939801187,0.4872453959783953,0.11092036576393512,IQR_HURT
-2-wdcN5vOw_000017,0.5842715724178952,0.5655701148937073,0.5774950078599652,0.5398798951196819,0.5289375424304141,0.5366896726933988,0.5037295090726452,0.40626294785965067,STABLE_SUCCESS
-23CeprtibU_000030,0.35710555967790697,0.3180734517795311,0.3419580032134744,0.45906801007556675,0.37977444846888375,0.4346295323173936,0.5560686796921255,0.055511939810271506,ALL_FAIL
