sample_id,sample_index,gt_area_ratio,gt_components,AddTP,AddFP,RemoveTP,RemoveFP,aud_iou,aud_gt_response,aud_nearfp_response,aud_gap,aud_auroc,aud_coverage,aud_precision,aud_area,aud_entropy,ogl_iou,ogl_gt_response,ogl_nearfp_response,ogl_gap,ogl_auroc,ogl_coverage,ogl_precision,ogl_area,ogl_entropy,delta_iou,group,auto_taxonomy,spatial_error,audio_condition,over_diagnosis,size_bin,size_quartile,spatial_error_manual,manual_notes
MQtUV_cFcm8_000020,2164,0.6839923469387755,1,1323,3778,14432,777,0.7844438912400078,0.7049188613891602,0.5608864426612854,0.14403241872787476,0.801483154296875,0.8263403177261353,0.939290564038022,0.6017418686224489,0.9938035010854425,0.3895132042703172,0.6147754192352295,0.6382154226303101,-0.023440003395080566,0.439849853515625,0.44437646865844727,0.7593228777694797,0.40029097576530615,0.9941589495160603,-0.3949306869696906,C_aud_better,GOOD,,,,very_large,Q4,,
xXGIKM4daMU_000030,5018,0.8051857461734694,1,247,0,18978,2956,0.6881580972060407,0.6573020815849304,0.7428373694419861,-0.08553528785705566,0.3265380859375,0.7748570442199707,0.8601456243989559,0.7253467793367347,0.9964583501718374,0.2956153755730575,0.5293177366256714,0.6119545102119446,-0.0826367735862732,0.36334228515625,0.3112299144268036,0.8549088931193908,0.2931281887755102,0.9949884466716966,-0.3925427216329832,C_aud_better,GOOD,,,,very_large,Q4,,
Mn8WGSW8jHY_000065,2190,0.5751753826530612,1,0,0,10679,1287,0.7996475885923122,0.7271601557731628,0.6639868021011353,0.06317335367202759,0.67962646484375,0.8491337299346924,0.9320705918150007,0.5239955357142857,0.992586922879805,0.470962907455976,0.6264188885688782,0.5999798774719238,0.026439011096954346,0.5601043701171875,0.47910603880882263,0.9651682256037973,0.28551498724489793,0.9879753451620934,-0.3286846811363362,C_aud_better,UNDER,,,,very_large,Q4,,
0UF1FHDPM1A_000030,158,0.5300342793367347,1,0,0,12260,4260,0.6106002005443346,0.7667437791824341,0.7831199169158936,-0.016376137733459473,0.514495849609375,0.8013912439346313,0.7194747324713905,0.5903818558673469,0.9915813756586321,0.29541523902757383,0.5517090559005737,0.6342906951904297,-0.08258163928985596,0.390380859375,0.3404023349285126,0.6909104785163703,0.26114078443877553,0.9877491587165316,-0.3151849615167608,C_aud_better,GOOD,,,,very_large,Q4,,
VcJnduCJz8g_000029,2896,0.6789899553571429,1,299,105,12556,1754,0.5075795554918953,0.6318989992141724,0.8020082712173462,-0.17010927200317383,0.193359375,0.6240864396095276,0.7311051509524792,0.5795998086734694,0.9938281727662984,0.22378230616302186,0.5359402298927307,0.786973774433136,-0.2510335445404053,0.12750244140625,0.26431652903556824,0.5933711122825513,0.30245535714285715,0.9923128909960118,-0.2837972493288734,C_aud_better,UNDER,,,,very_large,Q4,,
BjYsesK0GQw_000030,1217,0.4559948979591837,1,0,1420,8758,2646,0.5785420085055085,0.7064812183380127,0.6603410840034485,0.04614013433456421,0.596405029296875,0.7551136612892151,0.7121599340478153,0.48349808673469385,0.9953056539969878,0.29748227817159617,0.5382651090621948,0.6275409460067749,-0.08927583694458008,0.382904052734375,0.37233391404151917,0.5967357803306248,0.28451849489795916,0.9932720025892879,-0.28105973033391235,C_aud_better,GOOD,,,,very_large,Q3,,
HeLV1buhzpI_000030,1738,0.16940369897959184,1,0,215,6266,3715,0.28632194603216804,0.6816285848617554,0.7062196731567383,-0.02459108829498291,0.4527435302734375,0.7602353096008301,0.3147435585212605,0.4091796875,0.9904884201967123,0.010278462425926897,0.4774499535560608,0.5301091074943542,-0.05265915393829346,0.297515869140625,0.023058824241161346,0.018207152810032514,0.21454480229591838,0.9855347872465617,-0.27604348360624115,C_aud_better,OVER,,,PERSISTENT_OVER,large,Q2,,
DEXE_V8oBYI_000030,1358,0.9036989795918368,1,186,0,13733,1318,0.6642314313305622,0.676758885383606,0.8333232998847961,-0.15656441450119019,0.184173583984375,0.6977769732475281,0.9325081049218981,0.6762197066326531,0.9965510452013391,0.3906425425338976,0.5594775676727295,0.6272428035736084,-0.0677652359008789,0.3191070556640625,0.399016410112381,0.9490165224232887,0.3799625318877551,0.995240714608449,-0.2735888887966646,C_aud_better,GOOD,,,,very_large,Q4,,
_L5Jp1l3kMQ_000061,3286,0.8747209821428571,1,0,0,13711,1851,0.8143009605122732,0.7672203779220581,0.6907253861427307,0.07649499177932739,0.718719482421875,0.8692185282707214,0.9279980540014595,0.8193160076530612,0.997336838236602,0.5431009577990622,0.6297307014465332,0.5094860196113586,0.12024468183517456,0.7395172119140625,0.5568238496780396,0.9565915140128386,0.5091677295918368,0.9956245354720512,-0.271200002713211,C_aud_better,GOOD,,,,very_large,Q4,,
eb1X3b1x25I_000105,3713,0.42295121173469385,1,0,3431,7208,2219,0.5932580303565125,0.7385333776473999,0.6912041902542114,0.04732918739318848,0.65753173828125,0.7919611930847168,0.7027806815805979,0.4766222895408163,0.9937253447250165,0.32492722225983345,0.5757945775985718,0.7447239756584167,-0.16892939805984497,0.2395172119140625,0.452313631772995,0.535688375467381,0.3571229272959184,0.9923452285205624,-0.26833080809667903,C_aud_better,MIXED,,,,very_large,Q3,,
QayWG1ZPKGE_000012,2500,0.6149553571428571,1,740,9,11747,4276,0.6593048515568428,0.7198567986488342,0.5989748239517212,0.12088197469711304,0.7684326171875,0.767208993434906,0.8241827107196323,0.5724449936224489,0.99468709971267,0.4003287082398306,0.5876984596252441,0.46279197931289673,0.12490648031234741,0.715667724609375,0.41048741340637207,0.9417800579968771,0.26803651147959184,0.9919028124149272,-0.25897614331701224,C_aud_better,GOOD,,,,very_large,Q4,,
A9n6gH2uS5U_000019,1033,0.4314014668367347,1,205,32,5807,102,0.744807121661721,0.722693681716919,0.5250668525695801,0.19762682914733887,0.89453125,0.753718912601471,0.9843731145167129,0.3303172831632653,0.991315450184263,0.4906343027249828,0.629089891910553,0.4469437301158905,0.18214616179466248,0.79815673828125,0.49491822719573975,0.9826637314254265,0.21727519132653061,0.9841333476607964,-0.2541728189367382,C_aud_better,GOOD,,,,very_large,Q3,,
0q5kQGcOn2I_000083,190,0.7222377232142857,1,476,303,11170,1515,0.6297843069817717,0.6714113354682922,0.6384702920913696,0.03294104337692261,0.54400634765625,0.7074146866798401,0.8516094741387902,0.5999481823979592,0.9949211282282182,0.3783359497645212,0.5618963241577148,0.6346039772033691,-0.0727076530456543,0.378662109375,0.41231822967529297,0.8211243611584327,0.36266342474489793,0.9929130296328335,-0.2514483572172505,C_aud_better,MIXED,,,,very_large,Q4,,
RplzKlSlbR0_000023,2604,0.7123325892857143,1,8,2268,8277,189,0.804775169120573,0.7484163641929626,0.6870113015174866,0.061405062675476074,0.6696014404296875,0.8487493991851807,0.9395150051100994,0.6435148278061225,0.9944296331003087,0.5548096746618394,0.6368030905723572,0.7865315079689026,-0.1497284173965454,0.3000335693359375,0.617396891117096,0.8455113222728841,0.520149075255102,0.9934875273441941,-0.24996549445873362,C_aud_better,GOOD,,,,very_large,Q4,,
O-VVb8Ag49g_000040,2299,0.9210778061224489,1,1960,0,13838,277,0.6459738996171662,0.7007715702056885,0.5835913419723511,0.1171802282333374,0.65606689453125,0.6608317494392395,0.9663650170864447,0.6298628826530612,0.9942143726848404,0.39706820986341007,0.5753312110900879,0.4791196882724762,0.0962115228176117,0.65771484375,0.40382120013237,0.9595866111368194,0.3876155931122449,0.9945581901801975,-0.24890568975375615,C_aud_better,GOOD,,,,very_large,Q4,,
gl9j63Ln1y4_000144,3915,0.6738879145408163,1,0,227,8824,522,0.7473809986939728,0.7416700124740601,0.6675983667373657,0.07407164573669434,0.68170166015625,0.7954337000846863,0.9252149982800137,0.5793606505102041,0.9941681132832354,0.5063319511375098,0.6429226398468018,0.6851806640625,-0.04225802421569824,0.40167236328125,0.5344690084457397,0.9058192571800913,0.3976203762755102,0.9918895073298941,-0.24104904755646295,C_aud_better,GOOD,,,,very_large,Q4,,
