sample_id,sample_index,gt_area_ratio,gt_components,AddTP,AddFP,RemoveTP,RemoveFP,aud_iou,aud_gt_response,aud_nearfp_response,aud_gap,aud_auroc,aud_coverage,aud_precision,aud_area,aud_entropy,ogl_iou,ogl_gt_response,ogl_nearfp_response,ogl_gap,ogl_auroc,ogl_coverage,ogl_precision,ogl_area,ogl_entropy,delta_iou,group,auto_taxonomy,spatial_error,audio_condition,over_diagnosis,size_bin,size_quartile,spatial_error_manual,manual_notes
-0BIyqJj9ZU_000030,0,0.24186862244897958,1,610,673,0,953,0.31362862010221465,0.7487200498580933,0.7809536457061768,-0.032233595848083496,0.603729248046875,0.7584871649742126,0.3484234830992846,0.5265266262755102,0.9920596538146544,0.33763329893360855,0.8013898134231567,0.8008691072463989,0.0005207061767578125,0.6493377685546875,0.8087508082389832,0.36692960484504095,0.5331034757653061,0.9929978825923489,0.0240046788313939,B_close,OVER,local_boundary_leakage,target_dominant,PRECISION_COVERAGE_TRADEOFF,large,Q2,local_boundary_leakage,
-0UuUoXQUoI_000107,1,0.2549426020408163,1,378,2741,453,205,0.49802173586417586,0.7186250686645508,0.5612801313400269,0.15734493732452393,0.8070220947265625,0.7773608565330505,0.5808750511127987,0.34117904974489793,0.990370701033771,0.4385637470559481,0.7196757197380066,0.6017379760742188,0.11793774366378784,0.743133544921875,0.7714977860450745,0.5040347293156282,0.39022640306122447,0.988570373236452,-0.05945798880822778,transition,GOOD,,,,large,Q3,,
-2-wdcN5vOw_000017,2,0.8839285714285714,1,578,0,5202,714,0.5716436205672997,0.6381984353065491,0.6954874992370605,-0.057289063930511475,0.4625091552734375,0.599341630935669,0.9252027426821203,0.5726044323979592,0.9924356326082703,0.4795684364557625,0.5908529758453369,0.6048772931098938,-0.014024317264556885,0.5058441162109375,0.4950847625732422,0.9386568631641944,0.46621890943877553,0.9906833264754745,-0.09207518411153714,transition,GOOD,,,,very_large,Q4,,
-23CeprtibU_000030,3,0.2866908482142857,1,0,150,1251,4982,0.4340978688831948,0.8292539119720459,0.7906240224838257,0.038629889488220215,0.6263275146484375,0.9657281637191772,0.44088990447173826,0.6279695471938775,0.9960830762833888,0.4652557968347442,0.7970342636108398,0.7189886569976807,0.07804560661315918,0.6854400634765625,0.8787626028060913,0.4971682529694014,0.5067362882653061,0.9943987053860929,0.031157927951549425,B_close,OVER,,,PERSISTENT_OVER,large,Q3,,
-2Dm0VjW8oM_000001,4,0.44698660714285715,1,569,42,128,349,0.47945485798477533,0.6190485954284668,0.6186996102333069,0.0003489851951599121,0.5066375732421875,0.5223381519317627,0.8538007433860506,0.27345742984693877,0.985876578139563,0.5038338790566586,0.6298325657844543,0.6020411849021912,0.027791380882263184,0.54632568359375,0.5420010685920715,0.8773727896066402,0.2761280293367347,0.9824506509132728,0.024379021071883222,B_close,GOOD,,,,very_large,Q3,,
-2sOH8XovEE_000484,5,0.07284359056122448,1,0,133,0,3621,0.12818264712071264,0.9254804849624634,0.8326283693313599,0.09285211563110352,0.81854248046875,1.0,0.12818264712071264,0.5682796556122449,0.9947314206250649,0.14604810996563575,0.9180142879486084,0.832879900932312,0.08513438701629639,0.776336669921875,1.0,0.14604810996563575,0.4987643494897959,0.9913395931862435,0.017865462844923102,B_close,OVER,,,CALIBRATION_RECOVERABLE,medium,Q1,,
-3Kv4fdm7Uk_000030,6,0.10819913903061225,1,0,762,110,7917,0.18071404738071406,0.8927152156829834,0.75400710105896,0.13870811462402344,0.870941162109375,0.9976054430007935,0.18079246920586173,0.597038424744898,0.9954673416197404,0.23256629410475566,0.8736960887908936,0.6932084560394287,0.18048763275146484,0.878448486328125,0.9773439168930054,0.23382689934778778,0.45224808673469385,0.993136396457726,0.051852246724041595,transition,OVER,,,CALIBRATION_RECOVERABLE,large,Q1,,
-4bPiXbovf0_000008,7,0.23206313775510204,1,1232,751,0,5879,0.37594203953835514,0.8069570064544678,0.7460476160049438,0.060909390449523926,0.7322540283203125,0.8868086338043213,0.3948908180045126,0.5211455676020408,0.9937804154412129,0.5173911097184296,0.8875208497047424,0.7628622055053711,0.12465864419937134,0.848358154296875,0.992614209651947,0.519390643958118,0.44349888392857145,0.990990929467861,0.14144907018007447,A_ogl_help,OVER,,,CALIBRATION_RECOVERABLE,large,Q2,,
-5CGQGSFGyg_000060,8,0.11826371173469388,1,0,258,49,3540,0.3322692652329749,0.8825722932815552,0.7276307940483093,0.15494149923324585,0.8717193603515625,0.99983149766922,0.3322878745449454,0.35584741709183676,0.9951110120576633,0.4037326746260464,0.865490198135376,0.7330094575881958,0.13248074054718018,0.787689208984375,0.9915739893913269,0.4051225557697604,0.28946109693877553,0.9919498648348454,0.0714634093930715,transition,OVER,,,CALIBRATION_RECOVERABLE,large,Q1,,
-5z9IXBJefc_000227,9,0.1724529655612245,3,918,5160,0,424,0.21512309495896834,0.5242071747779846,0.6821200847625732,-0.15791290998458862,0.32293701171875,0.4241303503513336,0.30388341475532005,0.24069276147959184,0.9817632802619961,0.21049733896127729,0.6160014867782593,0.7009708881378174,-0.0849694013595581,0.4031524658203125,0.5302207469940186,0.2587558513338221,0.35337611607142855,0.9862679767337138,-0.00462575599769105,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,large,Q2,,
