epoch,learning_rate,epoch_seconds,loss_coarse,loss_equiv,loss_total,mean_valid_ratio,skipped_small_overlap_samples,actual_flip_ratio,mean_crop_scale,aud_l4_ciou,aud_l4_auc,aud_fine_ciou,aud_fine_auc
1,5e-05,12.823948383331299,7.007186015984282e-05,0.0004928846013708374,0.0005629564596650501,0.6613852442839206,0,0.49499198717948717,0.7765732086621798,0.4108181465684374,0.4128247382706476,0.407134548274525,0.4130573865839473
2,5e-05,12.189860582351685,9.124798089032993e-05,0.00043756600830536813,0.0005288139942328995,0.6619407259500943,0,0.4980969551282051,0.7780380340722891,0.4108181465684374,0.4128247382706476,0.4115936409461031,0.41547111283443194
3,5e-05,13.222469091415405,0.00011081906025841211,0.0003899444545356509,0.0005007635164731302,0.6626372536023458,0,0.5029046474358975,0.7779760162035624,0.4108181465684374,0.4128247382706476,0.41585886002326483,0.41791392012407913
4,5e-05,12.23536205291748,0.00012675149814757064,0.0003619274043907913,0.0004886789053368071,0.6635315418243408,0,0.49819711538461536,0.7800724475811689,0.4108181465684374,0.4128247382706476,0.4152772392400155,0.41809810003877473
5,5e-05,12.26107406616211,0.00013026722053137535,0.0003557716517183834,0.00048603887150350673,0.6616576237556262,0,0.5052083333333334,0.7775517946634537,0.4108181465684374,0.4128247382706476,0.4162466072120977,0.41818534315626216
6,5e-05,13.556235790252686,0.00012894870339480875,0.0003495615420457071,0.00047851024562707887,0.6625743982119437,0,0.49779647435897434,0.7790254461459625,0.4108181465684374,0.4128247382706476,0.41605273361768125,0.4177394338891044
7,5e-05,12.597244024276733,0.00013040895693195172,0.00034728859109469713,0.0004776975472803968,0.6635044599190737,0,0.5028044871794872,0.7798153146719321,0.4108181465684374,0.4128247382706476,0.41508336564559906,0.4176037223730128
8,5e-05,13.150511026382446,0.00012980167454001136,0.0003450724709695444,0.0004748741443901776,0.6609846002016312,0,0.49619391025641024,0.7765481701264014,0.4108181465684374,0.4128247382706476,0.4131446297014347,0.4166440480806514
9,5e-05,13.159680604934692,0.0001309333161677783,0.00034254514657032606,0.0004734784642306085,0.6620756357144086,0,0.4996995192307692,0.7785199926449702,0.4108181465684374,0.4128247382706476,0.41392012407910045,0.41738076773943394
10,5e-05,13.21264123916626,0.0001321607185393357,0.0003394334426281066,0.0004715941621002574,0.6626561620296576,0,0.5004006410256411,0.7789313136002957,0.4108181465684374,0.4128247382706476,0.40984877859635516,0.4162466072120977
11,5e-05,13.646940469741821,0.0001281067396540983,0.0003395315210442417,0.00046763826051177696,0.6626377671192853,0,0.5043068910256411,0.7787732527806208,0.4108181465684374,0.4128247382706476,0.41004265219077163,0.41622721985265615
12,5e-05,13.132560968399048,0.00013304238158385627,0.00034016782032827346,0.00047321020004649955,0.6628319468253698,0,0.48778044871794873,0.7786334447371654,0.4108181465684374,0.4128247382706476,0.4110120201628538,0.4164307871267933
13,5e-05,13.084474325180054,0.00013173842307878658,0.0003410191312491989,0.00047275755712643074,0.6619928616743821,0,0.5022035256410257,0.7776920229960711,0.4108181465684374,0.4128247382706476,0.4063590538968592,0.41489918573090345
14,5e-05,12.447887659072876,0.0001325813946329081,0.00033621765741815744,0.00046879904887949425,0.6622943572508984,0,0.4911858974358974,0.777753580839206,0.4108181465684374,0.4128247382706476,0.40907328421868944,0.415577743311361
15,5e-05,12.619752168655396,0.0001329134357570766,0.0003379570403828835,0.0004708704737146409,0.6632780661949744,0,0.5002003205128205,0.7790793745945661,0.4108181465684374,0.4128247382706476,0.40732842186894147,0.41536448235750295
16,5e-05,13.798875331878662,0.00013161961434003062,0.00033386303738762555,0.00046548265172765614,0.6635872400723971,0,0.4973958333333333,0.779707459303049,0.4108181465684374,0.4128247382706476,0.4057774331136099,0.41472469949592866
17,5e-05,13.082463502883911,0.00013224610488694639,0.0003343587353204687,0.0004666048394611631,0.6624261966118445,0,0.5055088141025641,0.7786492155148432,0.4108181465684374,0.4128247382706476,0.4079100426521908,0.4152287708414114
18,5e-05,12.461847066879272,0.000133205315647408,0.0003349215160900106,0.0004681268317374186,0.6617955947533632,0,0.5032051282051282,0.7777628333140643,0.4108181465684374,0.4128247382706476,0.4061651803024428,0.41471500581620785
19,5e-05,12.296592950820923,0.00013199113257145748,0.00033250622352800117,0.0004644973534875764,0.6633266225839273,0,0.4989983974358974,0.7793875550612425,0.4108181465684374,0.4128247382706476,0.40771616905777436,0.4152384645211323
20,5e-05,12.63620400428772,0.00013387575073955723,0.0003320335810526441,0.00046590932880719314,0.6631978337581341,0,0.5036057692307693,0.7789845650012677,0.4108181465684374,0.4128247382706476,0.4065529274912757,0.41482163629313695
21,5e-05,13.74511194229126,0.0001315963215743884,0.0003321911797870715,0.0004637875013614599,0.6633215072827462,0,0.4996995192307692,0.779719638518798,0.4108181465684374,0.4128247382706476,0.40538968592477703,0.4145017448623498
22,5e-05,12.203926801681519,0.0001336826763014333,0.00033010263518334774,0.0004637853096191509,0.6623510794761853,0,0.495693108974359,0.7782894403506548,0.4108181465684374,0.4128247382706476,0.4065529274912757,0.4148604110120202
23,5e-05,13.483809232711792,0.00013094603901920028,0.00032914091626970243,0.0004600869575276589,0.6625038798038776,0,0.49759615384615385,0.7785706856311896,0.4108181465684374,0.4128247382706476,0.4051958123303606,0.41443388910430395
24,5e-05,12.524668216705322,0.00013363853810378947,0.00033161517916223366,0.0004652537165197711,0.6620173866932209,0,0.4963942307692308,0.7782945571801602,0.4108181465684374,0.4128247382706476,0.40500193873594414,0.41418185343156266
25,5e-05,13.474002838134766,0.00013321090917974614,0.00033120794045643357,0.0004644188485168016,0.6618579412117983,0,0.5014022435897436,0.776931915527735,0.4108181465684374,0.4128247382706476,0.40403257076386195,0.41375533152384647
26,5e-05,13.35015344619751,0.00013180811686489062,0.000327246090492759,0.0004590542088501537,0.6643261756652441,0,0.4911858974358974,0.7800921339255112,0.4108181465684374,0.4128247382706476,0.4057774331136099,0.4140267545560295
27,5e-05,12.167167901992798,0.00013453058785764882,0.0003315941572416192,0.0004661247464052091,0.6622238357861837,0,0.5012019230769231,0.7781357337266971,0.4108181465684374,0.4128247382706476,0.40403257076386195,0.4140073671965878
28,5e-05,13.254526376724243,0.00013406645545425513,0.00032908359739499597,0.00046315005284925113,0.6610954969357221,0,0.5048076923076923,0.7777113333726541,0.4108181465684374,0.4128247382706476,0.40461419154711126,0.41384257464133384
29,5e-05,13.471133708953857,0.00013277255661355762,0.0003291497869679752,0.00046192234283528075,0.6634932083961291,0,0.4987980769230769,0.7792385006562258,0.4108181465684374,0.4128247382706476,0.40461419154711126,0.4142884839084917
30,5e-05,13.481475591659546,0.0001353070058543474,0.00033144459564191027,0.00046675160037687956,0.6609815328549116,0,0.5030048076923077,0.7769348254570594,0.4108181465684374,0.4128247382706476,0.4007367196587825,0.4133191159364095
31,5e-05,13.326884984970093,0.00013476714360503815,0.0003271098494923745,0.0004618769938436647,0.6632974835542532,0,0.5009014423076923,0.7791758332497034,0.4108181465684374,0.4128247382706476,0.40461419154711126,0.4141818534315626
32,5e-05,12.302582502365112,0.0001331760939091253,0.00032962503311678005,0.00046280112777215737,0.6624016715930059,0,0.4940905448717949,0.777644062653566,0.4108181465684374,0.4128247382706476,0.4065529274912757,0.4147343931756495
33,5e-05,13.005530834197998,0.00013485519090094246,0.0003251364821783052,0.0004599916738254997,0.6641953602815286,0,0.49889823717948717,0.7798955532220694,0.4108181465684374,0.4128247382706476,0.4017060876308647,0.41342574641333857
34,5e-05,12.892095565795898,0.0001334994456742723,0.00032390901395000325,0.00045740845962427557,0.6626040400602878,0,0.5,0.7783068296236869,0.4108181465684374,0.4128247382706476,0.40500193873594414,0.4143854207057
35,5e-05,12.16921877861023,0.0001336532258368933,0.0003281654484080485,0.00046181867573744594,0.6625938170995468,0,0.49719551282051283,0.7782381069965851,0.4108181465684374,0.4128247382706476,0.40442031795269484,0.41431756494765415
36,5e-05,12.131925582885742,0.00013475853484123945,0.0003266184231063399,0.00046137695794757933,0.6624154723607577,0,0.504707532051282,0.7779981463383405,0.4108181465684374,0.4128247382706476,0.40403257076386195,0.41423032183016684
37,5e-05,12.227033376693726,0.00013401591702579305,0.00032566226227805973,0.00045967818005010486,0.6622192370585906,0,0.49459134615384615,0.7783526839354099,0.4108181465684374,0.4128247382706476,0.4018999612252811,0.41383288096161297
38,5e-05,12.4033043384552,0.00013360154862778308,0.00032336122687691107,0.0004569627762509462,0.663872391749651,0,0.48938301282051283,0.7796670183157309,0.4108181465684374,0.4128247382706476,0.4009305932531989,0.4129992245056223
39,5e-05,12.359394550323486,0.00013394053623927996,0.0003270531865732315,0.0004609937202006292,0.6627394495866238,0,0.4983974358974359,0.7789080035992157,0.4108181465684374,0.4128247382706476,0.40306320279177976,0.4137650252035673
40,5e-05,12.34396743774414,0.00013486105569590552,0.00032404964664377843,0.00045891070233968395,0.6638504129189712,0,0.4976963141025641,0.7789530876355294,0.4108181465684374,0.4128247382706476,0.4018999612252811,0.4135808452888717
41,5e-05,11.895420789718628,0.00013320677568956924,0.00032361859578090027,0.00045682537035109143,0.6640001535415649,0,0.49529246794871795,0.7802720085168496,0.4108181465684374,0.4128247382706476,0.4013183404420318,0.41332880961613033
42,5e-05,12.171674966812134,0.0001336664121108464,0.00032247826740599406,0.0004561446802630925,0.6635182499885559,0,0.4892828525641026,0.7792472701806289,0.4108181465684374,0.4128247382706476,0.4013183404420318,0.413726250484684
43,5e-05,12.722399950027466,0.00013295106234578177,0.0003201993785273188,0.00045315044161935267,0.6642071054531977,0,0.4996995192307692,0.7805190285046896,0.4108181465684374,0.4128247382706476,0.4032570763861962,0.4142206281504459
44,5e-05,12.26560354232788,0.0001347450530514694,0.0003230784555526976,0.0004578235100966711,0.6623081442637321,0,0.4983974358974359,0.7786291608443627,0.4108181465684374,0.4128247382706476,0.40403257076386195,0.41403644823575025
45,5e-05,13.132688283920288,0.00013526272997319794,0.0003265657108456183,0.0004618284389531861,0.663139072748331,0,0.4985977564102564,0.7787909232653104,0.4108181465684374,0.4128247382706476,0.40209383481969757,0.4139395114385421
46,5e-05,12.607244968414307,0.00013290268431704206,0.00032235629773006227,0.0004552589798083481,0.6615375295663491,0,0.48617788461538464,0.7773725054202936,0.4108181465684374,0.4128247382706476,0.40306320279177976,0.414162466072121
47,5e-05,12.94815182685852,0.00013452446467290894,0.0003224065861640832,0.00045693105083699216,0.6631329411115402,0,0.5108173076923077,0.7790619486417526,0.4108181465684374,0.4128247382706476,0.4011244668476154,0.41351298953082594
48,5e-05,12.160793542861938,0.00013493522606157244,0.0003229566105008603,0.0004578918346968026,0.6624215978842515,0,0.5004006410256411,0.7784416415752509,0.4108181465684374,0.4128247382706476,0.4009305932531989,0.4135711516091509
49,5e-05,12.652522087097168,0.00013371800424722143,0.0003236436967152911,0.0004573617017087646,0.6612232602559603,0,0.4947916666666667,0.7766122069114294,0.4108181465684374,0.4128247382706476,0.3993796044978674,0.4127278014734393
50,5e-05,13.532389640808105,0.0001359907227407138,0.0003234718468052168,0.0004594625684265525,0.6611098096920893,0,0.5051081730769231,0.7770673816020672,0.4108181465684374,0.4128247382706476,0.40015509887553313,0.41353237689026756
51,5e-05,12.336996078491211,0.0001334853482265503,0.00032160429280991544,0.00045508964178271784,0.6633475697957553,0,0.5006009615384616,0.7791859094913189,0.4108181465684374,0.4128247382706476,0.40015509887553313,0.4133772780147344
52,5e-05,12.662634372711182,0.0001327288318395567,0.00032199500874878885,0.0004547238409614716,0.6624670823415121,0,0.5002003205128205,0.7780670584776462,0.4108181465684374,0.4128247382706476,0.40403257076386195,0.41402675455602944
53,5e-05,12.76535701751709,0.00013629693869286432,0.00032120819490116375,0.00045750513359402807,0.6630409680880033,0,0.49689503205128205,0.7784927105292295,0.4108181465684374,0.4128247382706476,0.397440868553703,0.41212679333074836
54,5e-05,12.525770425796509,0.00013382662459312438,0.0003200051895617388,0.00045383181527424126,0.662528912226359,0,0.4983974358974359,0.7786618715677506,0.4108181465684374,0.4128247382706476,0.39976735168670025,0.41310585498255137
55,5e-05,12.773022174835205,0.0001342938992773923,0.00031626514660624357,0.00045055904700301396,0.6642735401789347,0,0.5053084935897436,0.7805304282750839,0.4108181465684374,0.4128247382706476,0.4003489724699496,0.4135226832105467
56,5e-05,12.943767786026001,0.00013269230242794714,0.0003188280978252013,0.00045152039726814016,0.6635724183840629,0,0.49939903846153844,0.7792320740528595,0.4108181465684374,0.4128247382706476,0.39821636293136875,0.4121946490887941
57,5e-05,13.063142776489258,0.00013513552086153187,0.00032349408213168575,0.0004586296018738395,0.660940653238541,0,0.5025040064102564,0.7763184263156011,0.4108181465684374,0.4128247382706476,0.4003489724699496,0.4132318728189221
58,5e-05,12.793025255203247,0.00013317051045118997,0.0003157770343256207,0.0004489475440305586,0.6624767872003409,0,0.4898838141025641,0.7781210113794376,0.4108181465684374,0.4128247382706476,0.3989918573090345,0.41287320666925165
59,5e-05,12.056594848632812,0.00013703688567217725,0.00032323954450802354,0.00046027643092645286,0.6617904947354243,0,0.5022035256410257,0.7776728944900708,0.4108181465684374,0.4128247382706476,0.39957347809228383,0.41329972857696784
60,5e-05,12.281935453414917,0.00013485317937850667,0.0003188183823695932,0.0004536715606287217,0.6621124255351531,0,0.4985977564102564,0.7777611460441198,0.4108181465684374,0.4128247382706476,0.39976735168670025,0.41295075610701826
61,5e-05,12.321637630462646,0.00013452199420545442,0.00031900615729869175,0.00045352814889226394,0.6624016654797089,0,0.5137219551282052,0.7785724722422086,0.4108181465684374,0.4128247382706476,0.39879798371461805,0.41272780147343935
62,5e-05,12.11992859840393,0.00013378504566693059,0.00031741907020123344,0.0004512041169875421,0.6633526866252606,0,0.5066105769230769,0.779259368395194,0.4108181465684374,0.4128247382706476,0.39918573090345094,0.4128344319503684
63,5e-05,12.347129821777344,0.00013353639783767553,0.0003214873939167517,0.0004550237939931834,0.6624583861766717,0,0.5,0.7773074905077616,0.4108181465684374,0.4128247382706476,0.39763474214811945,0.4120201628538193
64,5e-05,12.38998532295227,0.00013469228631434723,0.00031835011143882113,0.00045304239775316836,0.6619095588341738,0,0.49849759615384615,0.77818590708268,0.4108181465684374,0.4128247382706476,0.39918573090345094,0.4127374951531601
65,5e-05,13.405109643936157,0.0001357294636247202,0.00031922289949411957,0.0004549523634919658,0.6625391382437485,0,0.5026041666666666,0.7787041923938653,0.4108181465684374,0.4128247382706476,0.4003489724699496,0.41317371074059717
66,5e-05,13.173725366592407,0.00013441332274128517,0.00031763647581474524,0.0004520497966904002,0.6616877607810192,0,0.51171875,0.778242412285927,0.4108181465684374,0.4128247382706476,0.39802248933695233,0.4121364870104691
67,5e-05,12.574755430221558,0.00013287594797125517,0.00031323669976793614,0.00044611264661981317,0.66309410180801,0,0.5019030448717948,0.7800133564533331,0.4108181465684374,0.4128247382706476,0.3993796044978674,0.41265025203567274
68,5e-05,11.85679817199707,0.00013389010042047655,0.000319401574625562,0.00045329167355353443,0.6640778183937073,0,0.5033052884615384,0.7802019058129727,0.4108181465684374,0.4128247382706476,0.39802248933695233,0.41231097324544397
