dataset,batch,weighted_loss,parameter_group,gradient_l2
flickr,1,att_space,visual_l3_slot_branch,0.0
flickr,1,att_space,visual_l4_slot_branch,0.006047369842319512
flickr,1,att_space,visual_fusion,0.0
flickr,1,att_space,audio_backbone,0.10459437246772722
flickr,1,att_space,audio_slot_branch,0.011775603310598712
flickr,1,att_space,shared_slots,8.948468337656889e-05
flickr,1,att_space,image_decoder,0.0
flickr,1,att_space,audio_decoder,0.0
flickr,1,att_time,visual_backbone,0.0027177050917286763
flickr,1,att_time,visual_l3_slot_branch,0.0
flickr,1,att_time,visual_l4_slot_branch,0.01549564108094853
flickr,1,att_time,visual_fusion,0.0
flickr,1,att_time,audio_backbone,0.9517442206750015
flickr,1,att_time,audio_slot_branch,0.012801016489793959
flickr,1,att_time,shared_slots,0.00010622037703410382
flickr,1,att_time,image_decoder,0.0
flickr,1,att_time,audio_decoder,0.0
flickr,2,info,visual_backbone,7.352875482735235
flickr,2,info,visual_l3_slot_branch,2.0500941374509742
flickr,2,info,visual_l4_slot_branch,3.7010087316161178
flickr,2,info,visual_fusion,1.9287321823495245
flickr,2,info,audio_backbone,55.719135203521944
flickr,2,info,audio_slot_branch,10.056402012351208
flickr,2,info,shared_slots,0.07700533171708164
flickr,2,info,image_decoder,0.0
flickr,2,info,audio_decoder,0.0
flickr,2,rec_img,visual_backbone,0.009729781012330196
flickr,2,rec_img,visual_l3_slot_branch,0.016020491386739902
flickr,2,rec_img,visual_l4_slot_branch,0.02052005879339345
flickr,2,rec_img,visual_fusion,0.017093340348908588
flickr,2,rec_img,audio_backbone,0.0
flickr,2,rec_img,audio_slot_branch,0.0
flickr,2,rec_img,shared_slots,0.00017924932283873196
flickr,2,rec_img,image_decoder,0.04776494013012292
flickr,2,rec_img,audio_decoder,0.0
flickr,2,rec_aud,visual_backbone,0.0
flickr,2,rec_aud,visual_l3_slot_branch,0.0
flickr,2,rec_aud,visual_l4_slot_branch,0.0
flickr,2,rec_aud,visual_fusion,0.0
flickr,2,rec_aud,audio_backbone,0.040257819515922985
flickr,2,rec_aud,audio_slot_branch,0.024041606224235134
flickr,2,rec_aud,shared_slots,0.00015156474437732673
flickr,2,rec_aud,image_decoder,0.0
flickr,2,rec_aud,audio_decoder,0.0189103744046413
flickr,2,div_img,visual_backbone,0.0005376309262391788
flickr,2,div_img,visual_l3_slot_branch,0.003284420718826158
flickr,2,div_img,visual_l4_slot_branch,0.0026477548957667156
flickr,2,div_img,visual_fusion,0.0036058915183037592
flickr,2,div_img,audio_backbone,0.0
flickr,2,div_img,audio_slot_branch,0.0
flickr,2,div_img,shared_slots,3.457768139434461e-05
flickr,2,div_img,image_decoder,0.0
flickr,2,div_img,audio_decoder,0.0
flickr,2,div_aud,visual_backbone,0.0
flickr,2,div_aud,visual_l3_slot_branch,0.0
flickr,2,div_aud,visual_l4_slot_branch,0.0
flickr,2,div_aud,visual_fusion,0.0
