dataset,batch,weighted_loss,raw_loss,weight,weighted_loss_value,global_gradient_l2
flickr,0,info,0.22179991006851196,1.0,0.22179991006851196,32.55174376782545
flickr,0,rec_img,2.7541563510894775,0.1,0.2754156291484833,0.05986886410180395
flickr,0,rec_aud,0.7968113422393799,0.1,0.07968113571405411,0.08514078593031221
flickr,0,div_img,0.0006155299488455057,0.1,6.155299342935905e-05,0.013485356893665522
flickr,0,div_aud,0.0008177682757377625,0.1,8.177683048415929e-05,0.10189958558179246
flickr,0,att_space,1.510860602138564e-05,100.0,0.0015108606312423944,0.16812363685828216
flickr,0,att_time,1.1852941497636493e-05,100.0,0.0011852941242977977,0.6847592251227286
flickr,1,info,0.13518059253692627,1.0,0.13518059253692627,40.60761844055538
flickr,1,rec_img,2.7686853408813477,0.1,0.2768685519695282,0.05170319303982499
flickr,1,rec_aud,0.7937787771224976,0.1,0.07937788218259811,0.07513253611280969
flickr,1,div_img,8.865352720022202e-05,0.1,8.865353265719023e-06,0.004450997205184714
flickr,1,div_aud,0.0006012525409460068,0.1,6.012525409460068e-05,0.0772022225598747
flickr,1,att_space,1.5477187844226137e-05,100.0,0.0015477187698706985,0.153901293787907
flickr,1,att_time,9.288516594097018e-06,100.0,0.0009288516594097018,0.9519603141453333
flickr,2,info,0.33385229110717773,1.0,0.33385229110717773,57.283892294284975
flickr,2,rec_img,2.8010613918304443,0.1,0.28010615706443787,0.0578454969374663
flickr,2,rec_aud,0.7916924953460693,0.1,0.07916925102472305,0.05056002466389096
flickr,2,div_img,0.0003852546215057373,0.1,3.8525464333361015e-05,0.0055759054616255415
flickr,2,div_aud,0.00029352493584156036,0.1,2.9352493584156036e-05,0.07139758285140055
flickr,2,att_space,1.5755273125250824e-05,100.0,0.0015755273634567857,0.16050443644207119
flickr,2,att_time,8.872807484294754e-06,100.0,0.0008872807375155389,0.5731131097179695
flickr,3,info,0.4230024814605713,1.0,0.4230024814605713,76.85059648638025
flickr,3,rec_img,2.758868932723999,0.1,0.2758868932723999,0.053285197421867055
flickr,3,rec_aud,0.7933887243270874,0.1,0.07933887094259262,0.05595045228165396
flickr,3,div_img,0.0002007223665714264,0.1,2.007223702094052e-05,0.0041645307323342215
flickr,3,div_aud,0.0006136894226074219,0.1,6.136894080555066e-05,0.0745684696935749
flickr,3,att_space,1.476691340940306e-05,100.0,0.0014766913373023272,0.14766589616764916
flickr,3,att_time,1.0113808457390405e-05,100.0,0.0010113808093592525,0.6465307472876495
flickr,4,info,0.32966136932373047,1.0,0.32966136932373047,59.26864133140316
flickr,4,rec_img,2.778541326522827,0.1,0.27785414457321167,0.057603859018438786
flickr,4,rec_aud,0.7924861311912537,0.1,0.07924861460924149,0.0698587589073989
flickr,4,div_img,0.0001515597105026245,0.1,1.5155971595959272e-05,0.006129283327773066
flickr,4,div_aud,0.0009287595748901367,0.1,9.287596185458824e-05,0.0700042821270801
flickr,4,att_space,1.614362554391846e-05,100.0,0.0016143625834956765,0.1446539156103612
flickr,4,att_time,1.108379819925176e-05,100.0,0.001108379801735282,0.4684419866510171
flickr,5,info,0.39931294322013855,1.0,0.39931294322013855,57.115346463998264
flickr,5,rec_img,2.7565555572509766,0.1,0.2756555676460266,0.06015357142951963
flickr,5,rec_aud,0.7927921414375305,0.1,0.07927921414375305,0.08937264812715985
flickr,5,div_img,0.0003027915954589844,0.1,3.0279159545898438e-05,0.00630827728178442
flickr,5,div_aud,0.0007541943341493607,0.1,7.541943341493607e-05,0.10436907563681405
flickr,5,att_space,1.7253183614229783e-05,100.0,0.0017253183759748936,0.1634907194351031
flickr,5,att_time,1.0811489119078033e-05,100.0,0.0010811488609761,0.9063776664407086
flickr,6,info,0.4867171347141266,1.0,0.4867171347141266,61.17454788722352
flickr,6,rec_img,2.785748243331909,0.1,0.2785748243331909,0.05846197664291731
flickr,6,rec_aud,0.7943845987319946,0.1,0.0794384628534317,0.09690277632552216
flickr,6,div_img,0.0001633167266845703,0.1,1.633167266845703e-05,0.006083765770251859
flickr,6,div_aud,0.0012223049998283386,0.1,0.00012223049998283386,0.12320429939910005
flickr,6,att_space,1.639912443351932e-05,100.0,0.0016399124870076776,0.09475770809288155
flickr,6,att_time,1.1462083421065472e-05,100.0,0.0011462083784863353,1.026639534825354
flickr,7,info,0.2512519955635071,1.0,0.2512519955635071,51.9971618598807
flickr,7,rec_img,2.790613889694214,0.1,0.2790614068508148,0.05222840367455569
flickr,7,rec_aud,0.8043999671936035,0.1,0.08043999969959259,0.1013001877019608
flickr,7,div_img,0.0002116560935974121,0.1,2.116560972353909e-05,0.004473509456772929
flickr,7,div_aud,0.0003572218120098114,0.1,3.5722183383768424e-05,0.05905718479792555
flickr,7,att_space,1.3970890904602129e-05,100.0,0.0013970891013741493,0.12874065764815418
flickr,7,att_time,8.781127689871937e-06,100.0,0.0008781127398833632,0.393180364858147
flickr,8,info,0.22443275153636932,1.0,0.22443275153636932,49.69572547655594
flickr,8,rec_img,2.784562349319458,0.1,0.2784562408924103,0.05465715114725333
