dataset,group,seed,kind,sample_index,sample_id,rho_full_common,rho_full_specific,common_spatial_std,specific_spatial_std,common_specific_std_ratio
vggss,C2,12345,best,0,-0BIyqJj9ZU_000030,0.9751020408163266,-0.47030612244897957,0.10795813636665601,0.02191423032821622,4.926394162593599
vggss,C2,12345,best,1,-0UuUoXQUoI_000107,0.9877551020408163,0.6418367346938776,0.10789136646301366,0.02564411818028215,4.207255859005192
vggss,C2,12345,best,2,-2-wdcN5vOw_000017,0.9864285714285714,0.7615306122448979,0.12880736077184188,0.025660242051334832,5.019725087322057
vggss,C2,12345,best,3,-23CeprtibU_000030,0.9106122448979592,0.6191836734693877,0.05217601632130283,0.02386188475402788,2.1865840380649533
vggss,C2,12345,best,4,-2Dm0VjW8oM_000001,0.9776530612244898,0.8431632653061224,0.11957240780690397,0.04079505250699065,2.931051695212649
vggss,C2,12345,best,5,-2sOH8XovEE_000484,0.9886734693877551,0.773673469387755,0.1195749785874246,0.027642935613653184,4.325697540183288
vggss,C2,12345,best,6,-3Kv4fdm7Uk_000030,0.986734693877551,0.8112244897959183,0.11033238973340759,0.041606086426758705,2.651832921792134
vggss,C2,12345,best,7,-4bPiXbovf0_000008,0.9716326530612245,0.2596938775510204,0.0838000261829964,0.019150296821268245,4.375912653736438
vggss,C2,12345,best,8,-5CGQGSFGyg_000060,0.9776530612244898,0.7615306122448979,0.11339422401544996,0.029120203211246504,3.8940052441548905
vggss,C2,12345,best,9,-5z9IXBJefc_000227,0.9785714285714285,0.7642857142857142,0.15923031153692005,0.07676780298207975,2.0741809111573755
vggss,C2,12345,best,10,-79qo5MUYBk_000207,0.9891836734693877,0.8898979591836734,0.14615648879328125,0.02156721053487001,6.776791488958411
vggss,C2,12345,best,11,-7TanrCbmME_000030,0.9698979591836735,-0.49244897959183676,0.0781539218797965,0.021583964831764228,3.6209251863114886
vggss,C2,12345,best,12,-7sg--aJdrc_000049,0.968265306122449,0.6793877551020409,0.05877528336501808,0.018346572751919553,3.203611059121033
vggss,C2,12345,best,13,-7tYmeOmsRg_000058,0.9671428571428572,0.19622448979591836,0.08915032314891691,0.020461073622715955,4.357069662754252
vggss,C2,12345,best,14,-7tYmeOmsRg_000180,0.9410204081632653,0.11714285714285715,0.06955161454110037,0.021690496743561296,3.2065477966403138
vggss,C2,12345,best,15,-86gl1hp1Aw_000105,0.9952040816326531,0.8896938775510204,0.1863700027140638,0.0302576699725929,6.1594300844339935
vggss,C2,12345,best,16,-8cgbhIR_pw_000030,0.9747959183673469,0.48653061224489796,0.10418571720576478,0.026568508455333047,3.9213988011755236
vggss,C2,12345,best,17,-A3zsFeU_OI_000030,0.9942857142857143,0.7559183673469387,0.13357506451672482,0.014832282317753862,9.005698627839553
vggss,C2,12345,best,18,-ANxUxvGASw_000010,0.990204081632653,0.2039795918367347,0.12296960197900256,0.013707292104262433,8.971108300870295
vggss,C2,12345,best,19,-ByoSbgzr4M_000000,0.9770408163265306,0.4543877551020408,0.0834054349838554,0.024287406250575606,3.4341021895608432
vggss,C2,12345,best,20,-CZ1LIc8aos_000020,0.9710204081632653,0.7445918367346939,0.11395554597422666,0.042374674520287925,2.689237080031556
vggss,C2,12345,best,21,-Cr0WQoFQQs_000045,0.9931632653061224,0.5527551020408163,0.132667582799621,0.015354222865943866,8.640462233610124
vggss,C2,12345,best,22,-Cv3gOXEoxA_000040,0.9958163265306123,0.8534693877551021,0.13043513138145632,0.019591535850948028,6.657728744382468
vggss,C2,12345,best,23,-D64b_8YJK4_000046,0.9604081632653061,0.1446938775510204,0.19420362497432886,0.022372311024175112,8.680534825592044
vggss,C2,12345,best,24,-E5o64ACjm0_000017,0.963469387755102,-0.16816326530612244,0.08267424939311861,0.01859353144649716,4.446398449429231
vggss,C2,12345,best,25,-FoTxwPOz3U_000000,0.986734693877551,-0.5990816326530612,0.12831387714127657,0.017840410114360123,7.192316562162101
vggss,C2,12345,best,26,-GOaBCyC5Js_000087,0.9945918367346939,0.9337755102040817,0.1931075921003194,0.07389541129053966,2.613255528696701
vggss,C2,12345,best,27,-GW1J75oAKU_000304,0.9877551020408163,0.9146938775510204,0.10405741776685402,0.042677685142000266,2.438216070544283
vggss,C2,12345,best,28,-HMEhGV38GM_000216,0.9925510204081632,0.2923469387755102,0.14102996942385926,0.020303119068311136,6.946221856324388
vggss,C2,12345,best,29,-IKnJa9U66I_000150,0.963265306122449,0.5709183673469388,0.08281684077410607,0.021769805190480843,3.804206792365736
vggss,C2,12345,best,30,-Igq1W20Gi8_000000,0.9839795918367347,0.03010204081632653,0.20928948531781882,0.022155149512576685,9.44653906302969
vggss,C2,12345,best,31,-JGpAlLrSD0_000458,0.9922448979591837,0.6935714285714286,0.14064195492583642,0.016309871313990403,8.623118614381434
vggss,C2,12345,best,32,-JUBdOr8Hes_000030,0.9892857142857143,0.8109183673469388,0.22435800608605463,0.051285442359145186,4.374691837791027
vggss,C2,12345,best,33,-JUhUI_KvUI_000026,0.983265306122449,0.67,0.09072859423979691,0.015052714736605759,6.027390794775357
vggss,C2,12345,best,34,-K-ccLMFE5M_000259,0.9925510204081632,0.8368367346938775,0.11574463709190705,0.017828381971132224,6.492156006042565
vggss,C2,12345,best,35,-K1BRF6qng8_000030,0.9935714285714285,-0.2833673469387755,0.1128886567274158,0.011264371892483641,10.02174447052328
vggss,C2,12345,best,36,-KBH8YmHR-0_000050,0.9846938775510204,0.5537755102040817,0.09117148040777215,0.014690827684170025,6.206013872588894
vggss,C2,12345,best,37,-Lmibx_Iu_E_000173,0.9854081632653061,0.9036734693877551,0.09938401571841539,0.0318920774300749,3.116260329428844
vggss,C2,12345,best,38,-Lv13WPa4xk_000170,0.9875510204081632,0.8725510204081632,0.14025002240732923,0.026601482759858918,5.272263342363892
vggss,C2,12345,best,39,-N00SskHxS4_000529,0.9876530612244898,0.7919387755102041,0.17058909971292316,0.04180634627838283,4.0804594253942525
vggss,C2,12345,best,40,-NCa3eFLULw_000221,0.9912244897959184,-0.41561224489795917,0.13972569954965844,0.020434628262094794,6.8376922622489085
vggss,C2,12345,best,41,-NwBdmVSg1w_000000,0.9841836734693877,0.7930612244897959,0.10856821066857378,0.024659550280901863,4.402684129753041
vggss,C2,12345,best,42,-OAyRsvFGgc_000030,0.9898979591836735,0.9686734693877551,0.22703541847287023,0.0798376353585743,2.8437142138940787
vggss,C2,12345,best,43,-OVb-UG8yJw_000030,0.993061224489796,0.5722448979591837,0.13446513203726523,0.012641338151156064,10.636938149223408
vggss,C2,12345,best,44,-PvlrLjIAYo_000009,0.9923469387755102,0.30448979591836733,0.13214978275333278,0.020653755281957127,6.3983416550295455
vggss,C2,12345,best,45,-Q3MX7Tgx_E_000111,0.986938775510204,-0.5109183673469387,0.14201402845991187,0.027691675135068778,5.128401505767526
vggss,C2,12345,best,46,-RBs9pPhHY8_000030,0.9841836734693877,0.8060204081632653,0.12563041349224213,0.02956999486520534,4.248577453764455
vggss,C2,12345,best,47,-S-TDT5oq0Q_000290,0.9958163265306123,0.16040816326530613,0.17881207276067448,0.011838203294756334,15.104663123996046
vggss,C2,12345,best,48,-SWaCArvQug_000021,0.9868367346938776,-0.07846938775510204,0.06819535020970707,0.010098574041607565,6.752968283317278
vggss,C2,12345,best,49,-Vo4CAMX26U_000030,0.9714285714285714,0.5086734693877552,0.10428604599869684,0.01746584640999786,5.970855551495121
