dataset,group,seed,kind,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
vggss,C2,12345,best,13,-7tYmeOmsRg_000058,FP,0.3998565673828125,0.34357682619647356,3970
vggss,C2,12345,best,13,-7tYmeOmsRg_000058,NearFP,0.31158447265625,0.12514202239896122,6161
vggss,C2,12345,best,13,-7tYmeOmsRg_000058,FarFP,0.4462127685546875,0.4760758350887752,3323
vggss,C2,12345,best,13,-7tYmeOmsRg_000058,HighAUDFP,0.052578125,0.015957446808510637,1128
vggss,C2,12345,best,14,-7tYmeOmsRg_000180,FP,0.80859375,0.8663901320816505,9161
vggss,C2,12345,best,14,-7tYmeOmsRg_000180,NearFP,0.678070068359375,0.7625985430595749,10021
vggss,C2,12345,best,14,-7tYmeOmsRg_000180,FarFP,0.8913421630859375,0.9879212465273584,8279
vggss,C2,12345,best,14,-7tYmeOmsRg_000180,HighAUDFP,0.874732905982906,0.8530248435425754,5273
vggss,C2,12345,best,15,-86gl1hp1Aw_000105,FP,0.6742706298828125,0.3983261705496494,4421
vggss,C2,12345,best,15,-86gl1hp1Aw_000105,NearFP,0.6150054931640625,0.4057312598287611,5723
vggss,C2,12345,best,15,-86gl1hp1Aw_000105,FarFP,0.776519775390625,0.043536804308797125,2228
vggss,C2,12345,best,15,-86gl1hp1Aw_000105,HighAUDFP,0.5316840277777778,0.5054116103640538,3049
vggss,C2,12345,best,16,-8cgbhIR_pw_000030,FP,0.52081298828125,0.42542652724270774,5451
vggss,C2,12345,best,16,-8cgbhIR_pw_000030,NearFP,0.3327789306640625,0.40907596185465306,6082
vggss,C2,12345,best,16,-8cgbhIR_pw_000030,FarFP,0.6818695068359375,0.4825860688550841,4996
vggss,C2,12345,best,16,-8cgbhIR_pw_000030,HighAUDFP,0.21583406690140844,0.38268156424581007,1432
vggss,C2,12345,best,17,-A3zsFeU_OI_000030,FP,0.4026947021484375,0.32533463924257267,6126
vggss,C2,12345,best,17,-A3zsFeU_OI_000030,NearFP,0.4216156005859375,0.4854549205694244,4847
vggss,C2,12345,best,17,-A3zsFeU_OI_000030,FarFP,0.4299774169921875,0.3064175956613438,6638
vggss,C2,12345,best,17,-A3zsFeU_OI_000030,HighAUDFP,0.03493923611111111,0.07947530864197531,1296
vggss,C2,12345,best,18,-ANxUxvGASw_000010,FP,0.4483642578125,0.26874189364461737,7710
vggss,C2,12345,best,18,-ANxUxvGASw_000010,NearFP,0.389007568359375,0.1537007681990001,16402
vggss,C2,12345,best,18,-ANxUxvGASw_000010,FarFP,0.491790771484375,0.4253833049403748,5870
vggss,C2,12345,best,18,-ANxUxvGASw_000010,HighAUDFP,0.28055383663366334,0.26874189364461737,7710
vggss,C2,12345,best,19,-ByoSbgzr4M_000000,FP,0.7260589599609375,0.7546434991012583,3338
vggss,C2,12345,best,19,-ByoSbgzr4M_000000,NearFP,0.7165374755859375,0.7471333735666867,3314
vggss,C2,12345,best,19,-ByoSbgzr4M_000000,FarFP,,,0
vggss,C2,12345,best,19,-ByoSbgzr4M_000000,HighAUDFP,0.0654296875,0.08431952662721894,676
vggss,C2,12345,best,20,-CZ1LIc8aos_000020,FP,0.558013916015625,0.11885895404120443,3786
vggss,C2,12345,best,20,-CZ1LIc8aos_000020,NearFP,0.462615966796875,0.18164157357940747,6177
vggss,C2,12345,best,20,-CZ1LIc8aos_000020,FarFP,0.6171112060546875,0.002171552660152009,921
vggss,C2,12345,best,20,-CZ1LIc8aos_000020,HighAUDFP,0.08368389423076923,0.05570291777188329,1131
vggss,C2,12345,best,21,-Cr0WQoFQQs_000045,FP,0.2013702392578125,0.26300273741840385,4749
vggss,C2,12345,best,21,-Cr0WQoFQQs_000045,NearFP,0.242340087890625,0.35203149163503444,7113
vggss,C2,12345,best,21,-Cr0WQoFQQs_000045,FarFP,0.2650604248046875,0.6456310679611651,824
vggss,C2,12345,best,21,-Cr0WQoFQQs_000045,HighAUDFP,0.2640165441176471,0.29097345132743363,2825
vggss,C2,12345,best,22,-Cv3gOXEoxA_000040,FP,0.538665771484375,0.4900568181818182,7744
vggss,C2,12345,best,22,-Cv3gOXEoxA_000040,NearFP,0.4525604248046875,0.5423408527223338,8467
vggss,C2,12345,best,22,-Cv3gOXEoxA_000040,FarFP,0.609161376953125,0.418213828425096,6248
vggss,C2,12345,best,22,-Cv3gOXEoxA_000040,HighAUDFP,0.20684956395348839,0.49583333333333335,960
vggss,C2,12345,best,23,-D64b_8YJK4_000046,FP,0.493438720703125,0.3755178536200434,10138
vggss,C2,12345,best,23,-D64b_8YJK4_000046,NearFP,0.525299072265625,0.46490396016125207,16868
vggss,C2,12345,best,23,-D64b_8YJK4_000046,FarFP,0.466796875,0.23809523809523808,1617
vggss,C2,12345,best,23,-D64b_8YJK4_000046,HighAUDFP,0.4747270331325301,0.3755178536200434,10138
vggss,C2,12345,best,24,-E5o64ACjm0_000017,FP,0.47003173828125,0.4558531746031746,6048
vggss,C2,12345,best,24,-E5o64ACjm0_000017,NearFP,0.694671630859375,0.6164672091910005,10445
vggss,C2,12345,best,24,-E5o64ACjm0_000017,FarFP,0.38055419921875,0.4062165058949625,4665
vggss,C2,12345,best,24,-E5o64ACjm0_000017,HighAUDFP,0.4934659090909091,,0
vggss,C2,12345,best,25,-FoTxwPOz3U_000000,FP,0.49517822265625,0.5306985562199212,6857
vggss,C2,12345,best,25,-FoTxwPOz3U_000000,NearFP,0.5256195068359375,0.5870844365989997,6798
vggss,C2,12345,best,25,-FoTxwPOz3U_000000,FarFP,0.4686431884765625,0.4272315147725496,6397
vggss,C2,12345,best,25,-FoTxwPOz3U_000000,HighAUDFP,0.5397190126050421,0.6068337129840546,4390
vggss,C2,12345,best,26,-GOaBCyC5Js_000087,FP,0.9508514404296875,0.6870229007633588,4061
vggss,C2,12345,best,26,-GOaBCyC5Js_000087,NearFP,0.9236602783203125,0.7273135669362084,6678
vggss,C2,12345,best,26,-GOaBCyC5Js_000087,FarFP,1.0,,0
vggss,C2,12345,best,26,-GOaBCyC5Js_000087,HighAUDFP,0.8690999348958334,0.6870229007633588,4061
vggss,C2,12345,best,27,-GW1J75oAKU_000304,FP,0.49116847826086957,0.2318840579710145,483
vggss,C2,12345,best,27,-GW1J75oAKU_000304,NearFP,0.49116847826086957,0.2318840579710145,483
vggss,C2,12345,best,27,-GW1J75oAKU_000304,FarFP,,,0
vggss,C2,12345,best,27,-GW1J75oAKU_000304,HighAUDFP,,,0
vggss,C2,12345,best,28,-HMEhGV38GM_000216,FP,0.8011627197265625,0.7269712045831449,6633
vggss,C2,12345,best,28,-HMEhGV38GM_000216,NearFP,0.56512451171875,0.4984974958263773,8985
vggss,C2,12345,best,28,-HMEhGV38GM_000216,FarFP,0.996734619140625,0.9978740366728674,3763
vggss,C2,12345,best,28,-HMEhGV38GM_000216,HighAUDFP,0.6397906553398058,0.6588807785888078,4110
