epoch,learning_rate,epoch_seconds,gradient_l2_mean,parameter_l2,info_loss,recon_loss,div_loss,a2v_loss,v2a_loss,original_match_loss,d_pos,d_neg,g_match,cram_loss,weighted_cram_loss,total_loss,AUD_cIoU,AUD_AUC,IQR_cIoU,IQR_AUC
1,5e-05,322.6738483905792,16.706347410348485,199.3626849581482,9.56915960277951,5.882831657484333,0.040027641507737285,1.5749795295303176e-05,1.8140997963868345e-05,3.389079339784114e-05,1.5749795208318584e-05,1.7154425057474636e-05,1.4046298216082969e-06,0.6931464768601482,0.6931464768601482,10.857981104867738,0.36428848390849167,0.393844513377278,0.3739821636293137,0.3976929042264444
2,5e-05,309.2269344329834,27.043153101064608,199.7262355096411,8.24625249689584,4.828239932179026,0.0007921015053284869,2.2848664522884116e-05,1.1572475406276056e-05,3.442113996557233e-05,2.2848664493754392e-05,2.760912615666974e-05,4.760461575728465e-06,0.6931447977485181,0.6931447977485181,9.425742597342387,0.34877859635517644,0.39259402869329196,0.35381930981000387,0.39548274525009686
3,5e-05,311.47489643096924,27.450350709057002,200.03638795344958,7.4752012919700865,4.490728682894724,0.0010643711258090528,3.233614932928811e-05,2.1911859606450475e-05,5.4248008848349414e-05,3.2336149313104934e-05,3.8819115719778895e-05,6.482966387405867e-06,0.6931439356023307,0.6931439356023307,8.622949325317165,0.3573090345094998,0.3978286157425359,0.37146180690189995,0.40282086079875923
4,5e-05,308.16878867149353,32.18408909954832,200.33688602988747,6.916110171117817,4.294930571763117,0.0011805668141812193,3.977811407899398e-05,3.214801379442026e-05,7.19261277617503e-05,3.977811409841379e-05,4.760246759027224e-05,7.824353418831852e-06,0.6931432668000354,0.6931432668000354,8.046057170820406,0.3507173322993408,0.3965199689802249,0.3530438154323381,0.39956378441256307
5,5e-05,311.1464293003082,31.6468403560277,200.63219512669096,6.440574982836577,4.12893361638025,0.001354306777176908,4.7539311313663616e-05,6.310274647248953e-05,0.0001106420576922907,4.753931142370924e-05,5.6219858612373866e-05,8.680547147599802e-06,0.6931428404465265,0.6931428404465265,7.557810802900918,0.3313299728576968,0.39130476929042274,0.341993020550601,0.39508530438154327
6,5e-05,313.3370409011841,30.040994385862763,200.91224114329677,6.025234648341386,3.9898509622892875,0.0018772388376739684,5.006897350747529e-05,9.114809561205126e-05,0.00014121706927488508,5.006897349452875e-05,5.970049216259756e-05,9.631518570565158e-06,0.6931423641396587,0.6931423641396587,7.131671530496183,0.36758433501357113,0.40470143466459874,0.3730127956572315,0.4076870880186119
7,5e-05,314.3652811050415,34.14599555106489,201.1825002474002,5.658715097929659,3.8727268205418706,0.0018798003467860435,5.353064398959468e-05,0.00011930127466678308,0.000172831918734057,5.353064402843431e-05,6.30998917887119e-05,9.569247586106123e-06,0.6931423947904458,0.6931423947904458,6.756601356526711,0.3788290034897247,0.4083559519193486,0.3863900736719659,0.41158394726638237
8,5e-05,310.8397455215454,38.67410241648921,201.4429482444633,5.306954496695902,3.764970095980634,0.0020718394374322426,5.799257877733131e-05,0.00015390919120574214,0.0002119017702937905,5.799257891974329e-05,6.881262402122077e-05,1.0820045342910285e-05,0.693141768199269,0.693141768199269,6.397990628069405,0.34393175649476543,0.39498836758433503,0.36138037999224504,0.39990306320279184
9,5e-05,318.9443521499634,39.658487217535736,201.69240014860557,4.994340900848769,3.6744851387268285,0.002316720096818652,6.224618689017246e-05,0.00017510634776607927,0.00023735253432611488,6.224618678660012e-05,7.380037456133578e-05,1.1554187865361481e-05,0.6931414034655086,0.6931414034655086,6.078897747704991,0.32105467235362545,0.3914210934470725,0.3309422256688639,0.39447460255913147
10,5e-05,312.61307311058044,43.543273058709325,201.94115632069668,4.671393376652456,3.5904265111875704,0.00221228461672827,6.528517484942077e-05,0.00019225617967787517,0.00025754135488979915,6.528517494004658e-05,7.756717560915989e-05,1.2282000777136043e-05,0.6931410378832834,0.6931410378832834,5.749552428934498,0.33869716944552153,0.39753780535091116,0.34897246994959286,0.40106630476929045
