sample_index,sample_id,dataset,IoU_AUD,IoU_IMG,IoU_PROP_F34,IoU_PROP_K34,IoU_OGL,IoU_EXPAND_F34,IoU_EXPAND_K34,IoU_EXPAND_BEST,IoU_SHRINK,expand_gain,shrink_gain,expand_beneficial,shrink_beneficial,error_type,AUD_area,IMG_area,IMG_AUD_area_ratio,AUD_IMG_mask_IoU,AUD_only_area,IMG_only_area,intersection_area,AUD_only_ratio,IMG_only_ratio,intersection_ratio,disagreement_mean,disagreement_max,disagreement_std,AUD_IMG_Pearson,SEED_CONF,DELTA_SEMANTIC_SLOT,DELTA_RECIPROCAL_L4,group_IMG_ONLY,group_AUD_ONLY,group_BOTH_SUCCESS,group_BOTH_FAIL,group_OGL_RESCUE,group_IMG_ONLY_SHRINK,AUD_OVER_EXPANSION,AUD_raw_max,AUD_raw_mean,AUD_raw_std,AUD_raw_entropy,AUD_raw_top20_mass,AUD_foreground_concentration,IMG_raw_max,IMG_raw_mean,IMG_raw_std,IMG_raw_entropy,IMG_raw_top20_mass,IMG_foreground_concentration,DELTA_IMG_MINUS_AUD_raw_max,DELTA_IMG_MINUS_AUD_raw_mean,DELTA_IMG_MINUS_AUD_raw_std,DELTA_IMG_MINUS_AUD_raw_entropy,DELTA_IMG_MINUS_AUD_raw_top20_mass,DELTA_IMG_MINUS_AUD_foreground_concentration,L3_ownership_entropy,L3_target_confidence,L3_target_other_margin,L3_target_spatial_concentration,L4_ownership_entropy,L4_target_confidence,L4_target_other_margin,L4_target_spatial_concentration,HR14_ownership_entropy,HR14_target_confidence,HR14_target_other_margin,HR14_target_spatial_concentration,AUD_L3_L4_Pearson,AUD_L3_L4_Spearman,AUD_L3_L4_mask_IoU,AUD_L3_L4_area_ratio,AUD_L3_L4_disagreement,IMG_L3_L4_Pearson,IMG_L3_L4_Spearman,IMG_L3_L4_mask_IoU,IMG_L3_L4_area_ratio,IMG_L3_L4_disagreement,L3_L4_target_ownership_Pearson,AUD_only_IMG_response,COMMON_IMG_response,REGION_DELTA_IMG_response,AUD_only_PROP_F34_similarity,COMMON_PROP_F34_similarity,REGION_DELTA_PROP_F34_similarity,AUD_only_PROP_K34_similarity,COMMON_PROP_K34_similarity,REGION_DELTA_PROP_K34_similarity,AUD_only_HR14_target_ownership,COMMON_HR14_target_ownership,REGION_DELTA_HR14_target_ownership,probe_EXPAND_vs_SHRINK_prediction,probe_EXPAND_vs_SHRINK_probability,probe_SHRINK_vs_OTHERS_prediction,probe_SHRINK_vs_OTHERS_probability,probe_EXPAND_vs_OTHERS_prediction,probe_EXPAND_vs_OTHERS_probability,probe_three_class_prediction,probe_three_class_probability_EXPAND,probe_three_class_probability_SHRINK,probe_three_class_probability_KEEP_AMBIGUOUS
0,10000130166,flickr_144k,0.7799756972899652,0.7042819190498515,0.8241967843115092,0.8013156775455809,0.7098819277859123,0.8143659309501307,0.7980332829046899,0.8143659309501307,0.7042819190498515,0.03439023366016547,0.0,True,False,EXPAND,0.6662348533163265,0.4760243941326531,0.7144993867599988,0.7144993867599988,0.19021045918367346,0.0,0.4760243941326531,0.2855006132400012,0.0,0.7144993867599988,0.15177276730537415,0.34251493215560913,0.07818913459777832,0.9717247747566663,0.9289156198501587,0.021953467166714757,0.013104739273410049,False,False,True,False,False,False,False,0.005586147774010897,0.005102040711790323,0.0003514076233841479,0.9995452837685801,0.22152195991411242,0.3655049204826355,0.023405393585562706,0.020408162847161293,0.001969040371477604,0.9987948229852714,0.22897878250907555,0.4668826162815094,0.01781924581155181,0.01530612213537097,0.001617632748093456,-0.0007504607833086485,0.007456822594963136,0.1013776957988739,0.5956864152137369,0.6089706242616687,0.217941249549693,0.32446883402200416,0.5987474161397279,0.5537849903030663,0.10756998132838279,0.34751174174085997,0.6518959636947338,0.474325572178528,-0.05134885822783927,0.38812169430840543,-0.03706523560125963,-0.07622448979591837,0.20588235294117646,0.4642857142857143,0.35235339403152466,0.04094813149338415,0.0636734693877551,0.17647058823529413,0.6666666666666666,0.31310105323791504,0.04572987407289548,0.48157525062561035,0.8054762482643127,0.3239009976387024,0.6866089105606079,0.8932127356529236,0.20660382509231567,0.6856623888015747,0.8967517018318176,0.21108931303024292,0.3360750377178192,0.7738263010978699,0.43775126338005066,1,0.9438654763391714,1,0.9395402606644411,0,0.06364506717454155,SHRINK,0.019430151373314233,0.9440156792621591,0.03655416936452655
1,10007936344,flickr_144k,0.643244233840354,0.7092784137994537,0.5958815045984349,0.6187156323644933,0.7530049229588901,0.5893191170968949,0.6125355432959876,0.6125355432959876,0.7092784137994537,0.0,0.06603417995909966,False,True,SHRINK,0.769889987244898,0.6275510204081632,0.8151177841056174,0.8151177841056174,0.1423389668367347,0.0,0.6275510204081632,0.1848822158943826,0.0,0.8151177841056174,0.09587777405977249,0.29530954360961914,0.06850453466176987,0.9642204527209531,0.9459365606307983,0.025807319940345352,0.017094731833842358,False,False,True,False,False,False,True,0.00553375668823719,0.005102039780467749,0.00032126682344824076,0.9996159042167652,0.21766885188037952,0.37819114327430725,0.0223182812333107,0.020408162847161293,0.001521498546935618,0.9992730458433166,0.22073787617741267,0.4411464035511017,0.01678452454507351,0.015306123066693544,0.0012002317234873772,-0.0003428583734486068,0.0030690242970331516,0.06295526027679443,0.4937789433521651,0.7395867939506259,0.47917358470101823,0.2742740443272165,0.7060196555460523,0.5803178207454632,0.16063563913411025,0.3107102279626375,0.7744733761348244,0.5425742483051608,0.08514849618267344,0.31463715523797225,-0.138536929961954,-0.0323469387755102,0.23076923076923078,0.5,0.3604436218738556,0.013863070633068696,-0.059081632653061225,0.28205128205128205,0.6129032258064516,0.32818713784217834,0.10007881487869652,0.5025470852851868,0.8163552284240723,0.3138081431388855,0.7592214941978455,0.8652012348175049,0.10597974061965942,0.7473427653312683,0.8873077630996704,0.1399649977684021,0.37629422545433044,0.7218128442764282,0.3455186188220978,1,0.7047359763268216,1,0.548870445674778,0,0.39675364661292667,EXPAND,0.4056051516666074,0.3899066961865695,0.2044881521468231
2,10008553263,flickr_144k,0.3685962111857362,0.3848758871635984,0.3765056089964444,0.36829334787350054,0.4255714624693506,0.36837351021948983,0.36461397306851606,0.36837351021948983,0.38611713665943603,0.0,0.017520925473699822,False,True,SHRINK,0.7495216836734694,0.5991509885204082,0.7993777919591576,0.7944631539869004,0.1524234693877551,0.0020527742346938774,0.5970982142857143,0.20336098702403743,0.003426138442603865,0.7944631539869004,0.08323971927165985,0.33889681100845337,0.07219342887401581,0.9239233602085672,0.9094839096069336,0.05804939632486561,0.0380841614638463,False,False,False,True,False,False,True,0.005504041910171509,0.005102040246129036,0.00025898273452185094,0.9997530558410659,0.2167893557949177,0.31048890948295593,0.022320827469229698,0.020408162847161293,0.0013671842170879245,0.9994162955814131,0.22053216176086837,0.39877575635910034,0.01681678555905819,0.015306122601032257,0.0011082014825660735,-0.00033676025965279077,0.0037428059659506685,0.08828684687614441,0.4416898688054408,0.601893600988753,0.20378720117447785,0.33486957070120654,0.7377550319609327,0.6025698487551845,0.20513969842268495,0.3044963001329364,0.8219520322184143,0.5544893778195339,0.10897875479327476,0.3064706177620367,-0.07498608014869663,-0.03561224489795918,0.4,0.75,0.26302504539489746,-0.08832429823028796,-0.05704081632653061,0.42105263157894735,0.8620689655172413,0.30746349692344666,-0.0338932360469594,0.5173056721687317,0.8344790935516357,0.31717342138290405,0.7380096316337585,0.8500927090644836,0.1120830774307251,0.7575389742851257,0.8753536343574524,0.11781466007232666,0.4204172194004059,0.7197061777114868,0.29928895831108093,1,0.5843666292674364,1,0.502427443952084,0,0.37809407559868047,SHRINK,0.11144977888030563,0.5711262358868853,0.3174239852328092
3,10009662863,flickr_144k,0.6527465584486593,0.6569641093184063,0.6589585495391002,0.668979199680571,0.674903692567885,0.6410003681316724,0.6456062772617488,0.6456062772617488,0.65751835594047,0.0,0.004771797491810781,False,False,KEEP_AMBIGUOUS,0.8752790178571429,0.7479472257653061,0.8545243408169771,0.8531740614334471,0.12796954719387754,0.0006377551020408163,0.7473094706632653,0.146204289812833,0.0008526739321591302,0.8531740614334471,0.0794386938214302,0.21408258378505707,0.05159947648644447,0.9592385057721977,0.9574022889137268,-0.0025424206549763406,-0.012884613747441764,False,False,True,False,False,False,True,0.005472453776746988,0.005102040711790323,0.0003179656632710248,0.9996202704348688,0.2164825106556331,0.404857873916626,0.021917598322033882,0.020408162847161293,0.0012398532126098871,0.9995142315332832,0.2172124789890128,0.3828451633453369,0.016445144545286894,0.01530612213537097,0.0009218875493388623,-0.00010603890158555895,0.0007299683333797102,-0.022012710571289062,0.5749801076825181,0.7129576568092618,0.4259153108007978,0.2827808121427324,0.7748311671918401,0.6113385902527644,0.22267718073360773,0.2871523199576634,0.7900806702908947,0.5897910858799076,0.17958217091877393,0.292476404648599,-0.26411851414689413,-0.13163265306122449,0.3333333333333333,0.5238095238095238,0.351714551448822,0.24599358434779856,0.17520408163265305,0.3157894736842105,0.42857142857142855,0.3076036274433136,0.30333202022024264,0.5406100153923035,0.8235406875610352,0.2829306721687317,0.7053093314170837,0.8512743711471558,0.14596503973007202,0.682594895362854,0.860292375087738,0.17769747972488403,0.35557764768600464,0.7067316770553589,0.35115402936935425,,,1,0.6470475613079489,1,0.7013768040379456,SHRINK,0.36221577838256525,0.3898425057569055,0.2479417158605293
4,10013411946,flickr_144k,0.5230990753430599,0.48094597830291197,0.6349130871242141,0.6017825006427286,0.6056909722944984,0.5660652880493664,0.5445676618844514,0.5660652880493664,0.5060170920295332,0.04296621270630652,0.0,True,False,EXPAND,0.5900231186224489,0.5077128507653061,0.8604965377470022,0.7796445880452343,0.10911591198979592,0.026805644132653062,0.4809072066326531,0.18493497719979732,0.05279685966633955,0.7796445880452343,0.09159746766090393,0.288419246673584,0.06785956025123596,0.9160307228009608,0.8786531686782837,0.013784191772936105,-0.0002766618363626572,False,True,False,False,False,False,True,0.005577125120908022,0.005102040711790323,0.0002798889181576669,0.9997131400523744,0.21898833788416833,0.3321889042854309,0.022402040660381317,0.020408162847161293,0.0011273047421127558,0.9996038259043528,0.21801070611202805,0.34663254022598267,0.016824915539473295,0.01530612213537097,0.0008474158239550889,-0.00010931414802162198,-0.000977631772140275,0.014443635940551758,0.5831248230906055,0.7405603827566517,0.4811207707116038,0.268761335511763,0.8222793672405927,0.38123076523140986,-0.2375384714378386,0.35468813817760353,0.8142390251192381,0.3883669140311528,-0.2232661714435232,0.3651213742770734,0.2620816216291245,0.30173469387755103,0.3125,0.68,0.25751128792762756,-0.2855121562669746,-0.3383673469387755,0.1,0.76,0.33510032296180725,-0.2518763666981157,0.5316687822341919,0.7562560439109802,0.22458726167678833,0.7545825242996216,0.8497968316078186,0.09521430730819702,0.7622931003570557,0.8675334453582764,0.1052403450012207,0.35044771432876587,0.5778327584266663,0.2273850440979004,0,0.16974679825885267,0,0.15781810272212063,1,0.6026835421154132,EXPAND,0.44683888463983873,0.12153547445656629,0.431625640903595
5,10016382545,flickr_144k,0.6273317650177264,0.4964880422120195,0.5458846682662497,0.5149640760979559,0.6365752715985514,0.5496242829055455,0.5149640760979559,0.5496242829055455,0.5118917005839675,0.0,0.0,False,False,KEEP_AMBIGUOUS,0.5852798150510204,0.46432557397959184,0.7933394626621718,0.735141012124407,0.14058514030612246,0.01963089923469388,0.44469467474489793,0.24020158681513262,0.0422783071508284,0.735141012124407,0.05889339745044708,0.18717718124389648,0.04323456436395645,0.9570069071630278,0.866437554359436,0.015082688790157672,0.009275168689032554,False,True,False,False,False,False,True,0.005714119877666235,0.005102040711790323,0.00030689698178321123,0.9996540573775328,0.22038268270087294,0.3088524043560028,0.02327520214021206,0.020408162847161293,0.0014670914970338345,0.9993305408390499,0.22471870561497112,0.3178788721561432,0.017561082262545824,0.01530612213537097,0.0011601945152506232,-0.00032351653848283757,0.004336022914098181,0.00902646780014038,0.49073277354314254,0.6491322502569885,0.2982645032420156,0.31333749544858797,0.7751728971794505,0.5268384067303672,0.053676808861141304,0.34412876842630774,0.8049067215608833,0.526259546724091,0.05251909542011515,0.32963526499107537,-0.10898520607051251,-0.1320408163265306,0.2,0.8260869565217391,0.2805045545101166,0.28749438023394286,0.31510204081632653,0.32142857142857145,0.6818181818181818,0.23701781034469604,0.2950180248661569,0.5574892163276672,0.7628603577613831,0.20537114143371582,0.7075515985488892,0.8260738849639893,0.1185222864151001,0.7555534243583679,0.8620319366455078,0.10647851228713989,0.5596368908882141,0.7559340000152588,0.19629710912704468,,,0,0.13420741268208292,1,0.7415977842087783,EXPAND,0.5660412321694275,0.09622283887495665,0.3377359289556159
6,10031203703,flickr_144k,0.8400152418279306,0.8113295755082414,0.8549181474744648,0.812504818441138,0.8394592499850951,0.833820924365237,0.812504818441138,0.833820924365237,0.8254336839229613,0.0,0.0,False,False,KEEP_AMBIGUOUS,0.7407525510204082,0.7456752232142857,1.0066455015066724,0.9489651928504234,0.01700015943877551,0.021922831632653062,0.7237523915816326,0.022949849332759363,0.02939997327275157,0.9489651928504234,0.05614836886525154,0.1732780635356903,0.037531860172748566,0.9615423265824876,0.903123676776886,0.04024106204630529,0.025267399244626065,False,False,True,False,False,False,True,0.005408464930951595,0.005102040711790323,0.00023626050096936524,0.9997934451638892,0.21351840629595892,0.42266809940338135,0.021372472867369652,0.020408162847161293,0.000901829800568521,0.9997448121218755,0.21244226412478764,0.48353031277656555,0.015964007936418056,0.01530612213537097,0.0006655692995991558,-4.8633042013745964e-05,-0.0010761421711712738,0.060862213373184204,0.5633569038135636,0.7107161059215361,0.4214322098853941,0.2797111835922583,0.828703296826581,0.6279999557502416,0.2559999131730625,0.26126939745581274,0.8404487751176333,0.5928170536169592,0.18563410833630026,0.27266327738461915,0.1126163111579176,0.23020408163265307,0.2857142857142857,0.42105263157894735,0.3115682303905487,0.1252209337462567,0.2473469387755102,0.4523809523809524,0.6486486486486487,0.2979578673839569,0.0716241111990934,0.5780236124992371,0.8599628210067749,0.28193920850753784,0.5790629386901855,0.8649829030036926,0.2859199643135071,0.682395875453949,0.8886545300483704,0.2062586545944214,0.4753943085670471,0.7113161087036133,0.23592180013656616,,,1,0.6914725367594606,0,0.07837641965172185,SHRINK,0.07321743037251459,0.5825357270753364,0.344246842552149
7,10035917404,flickr_144k,0.681939433971851,0.638945962605301,0.7930197692737714,0.6939543300711956,0.6950018557466288,0.7747312762207382,0.693458966854641,0.7747312762207382,0.6434076449593958,0.09279184224888726,0.0,True,False,EXPAND,0.7069913903061225,0.6576450892857143,0.9302024017590348,0.9156222023276633,0.05472735969387755,0.005381058673469388,0.6522640306122449,0.07740880644979421,0.00818231407964119,0.9156222023276633,0.07178059220314026,0.20666050910949707,0.04645979404449463,0.9569384448376438,0.8999779224395752,-0.014229972580008576,-0.02111973618790064,False,False,True,False,False,False,True,0.005434504710137844,0.005102040711790323,0.00024919165298342705,0.9997711389283533,0.21488568672434025,0.3872804343700409,0.02189895324409008,0.020408162847161293,0.0009791060583665967,0.9997001979303333,0.21454165249403323,0.36496880650520325,0.016464448533952236,0.01530612213537097,0.0007299144053831697,-7.094099802007481e-05,-0.0003440342303070165,-0.022311627864837646,0.5683043106558021,0.6981865006441973,0.39637300037607853,0.28970434986305976,0.7890607887041184,0.2943136254515575,-0.4113727479184769,0.3342106191581246,0.8141005374408256,0.34423326124076026,-0.31153347950466737,0.3405229082735747,0.20297877071623213,0.25581632653061226,0.3783783783783784,0.59375,0.2542804479598999,-0.016581050499100285,0.0163265306122449,0.24324324324324326,0.4375,0.3708067536354065,0.053472823865842456,0.5759726762771606,0.7885518670082092,0.21257919073104858,0.7167684435844421,0.8688564896583557,0.15208804607391357,0.7675911784172058,0.8896566033363342,0.12206542491912842,0.2365814447402954,0.45859992504119873,0.22201848030090332,1,0.608332062291514,0,0.35087713449779845,0,0.2756727791336866,KEEP_AMBIGUOUS,0.08695720150906258,0.13138401230322758,0.7816587861877098
8,10045181004,flickr_144k,0.6421705522040332,0.6054505104305371,0.5480917089639384,0.5507593643186863,0.6487230800301099,0.5522077441583517,0.5523920269682981,0.5523920269682981,0.6060746085627455,0.0,0.0,False,False,KEEP_AMBIGUOUS,0.5791214923469388,0.41470025510204084,0.7160850712368366,0.7143741190222436,0.16499920280612246,0.0005779655612244898,0.4141222895408163,0.2849129327551793,0.0013936947327950787,0.7143741190222436,0.09256147593259811,0.26720336079597473,0.0543920062482357,0.967338350338009,0.8611778020858765,0.02020827342444126,0.01638645084389595,False,False,True,False,False,False,True,0.005742162931710482,0.005102040711790323,0.0003547708038240671,0.9995371875859984,0.22322910674886312,0.30991628766059875,0.023287547752261162,0.020408162847161293,0.0014710536925122142,0.9993295519540678,0.2241735597437418,0.375965416431427,0.01754538482055068,0.01530612213537097,0.001116282888688147,-0.00020763563193060275,0.0009444529948786917,0.06604912877082825,0.580542974100927,0.6084174697610493,0.2168349431523559,0.32396313539213195,0.7493066959210655,0.5446557280968647,0.08931145794233497,0.3375090655266042,0.7881396896815162,0.4737100183526624,-0.05257996395040227,0.36139020848898407,-0.2497512480833732,-0.2939795918367347,0.15151515151515152,0.7272727272727273,0.3048303425312042,0.19764731169210098,0.15540816326530613,0.25806451612903225,1.0526315789473684,0.2471216917037964,0.0839338388192513,0.5276344418525696,0.7859676480293274,0.2583332061767578,0.820589542388916,0.9214087128639221,0.1008191704750061,0.8168398141860962,0.9270240664482117,0.11018425226211548,0.4599059820175171,0.7402306199073792,0.28032463788986206,,,1,0.5064213383620615,1,0.6416451879737535,EXPAND,0.5050534675756666,0.31067340189516457,0.1842731305291688
9,10060697266,flickr_144k,0.86928011404134,0.7855379938216113,0.7269325601853572,0.7636049714654752,0.7931000313785074,0.7269325601853572,0.7636049714654752,0.7636049714654752,0.7834458410290777,0.0,0.0,False,False,KEEP_AMBIGUOUS,0.6051698022959183,0.5110212053571429,0.8444261485262637,0.8405468467580269,0.09542410714285714,0.0012755102040816326,0.5097456951530612,0.15768154124814754,0.002496002496002496,0.8405468467580269,0.06053362041711807,0.20395460724830627,0.04802890494465828,0.9775833380943915,0.9260583519935608,0.03394059750147904,0.030261214400180036,False,False,True,False,False,False,False,0.005831066053360701,0.005102040711790323,0.00045445049181580544,0.9992358150457097,0.2265552660262697,0.37356165051460266,0.022886548191308975,0.020408160984516144,0.0017144595040008426,0.9990828391528203,0.2249914806796589,0.4388003945350647,0.017055482137948275,0.01530612027272582,0.0012600090121850371,-0.0001529758928894287,-0.0015637853466108076,0.06523874402046204,0.4456897822331923,0.8370371844087329,0.6740743651444434,0.24171069947115642,0.6983014965197024,0.45016539446553405,-0.0996692206482498,0.37803068154506775,0.7263611372510903,0.39694419220964217,-0.20611161481094908,0.39920632925721455,-0.01868035929049232,0.007551020408163266,0.3142857142857143,1.0,0.3069921135902405,0.3619360481607618,0.3762244897959184,0.5161290322580645,1.0434782608695652,0.23326937854290009,0.3494254246702117,0.5306506156921387,0.8242928981781006,0.2936422824859619,0.8095110058784485,0.9016479849815369,0.09213697910308838,0.7968944907188416,0.9130313396453857,0.11613684892654419,0.3023257553577423,0.6228966116905212,0.32057085633277893,,,1,0.6653381393259542,0,0.2710340940405284,KEEP_AMBIGUOUS,0.18125476334846916,0.394732437145328,0.4240127995062028
