task,positive_class,signal,direction,AUROC_raw,AUROC_directed,AUPRC_directed,effect_size_cohen_d,positive_mean,positive_std,negative_mean,negative_std,Pearson_expand_gain,Spearman_expand_gain,Pearson_shrink_gain,Spearman_shrink_gain,EXPAND_mean,SHRINK_mean,KEEP_mean,num_samples
EXPAND_vs_SHRINK,SHRINK,AUD_area,lower,0.4903420166578061,0.5096579833421938,0.6434184914813987,-0.009847830659144106,0.6478075960497836,0.0950322398787126,0.6487406434613318,0.0942443492790605,-0.039762718942323416,0.08824019398791737,-0.03912493895253857,-0.03926396940365224,0.6487406434613318,0.6478075960497836,0.6465441645408162,156
EXPAND_vs_SHRINK,SHRINK,IMG_area,higher,0.511518695729222,0.511518695729222,0.6409040487443862,0.05749998837949705,0.544881612682952,0.11194356450568034,0.5381747476951307,0.12443594226240895,0.00018608936811886077,0.050161648613239296,-0.17579168349970198,-0.04269133487438486,0.5381747476951307,0.544881612682952,0.5508995569637429,156
EXPAND_vs_SHRINK,SHRINK,IMG_AUD_area_ratio,higher,0.5277334751018962,0.5277334751018962,0.6392400639590429,0.1096352929779181,0.8395505854327476,0.10992979234151252,0.8264252595099322,0.1351523864684361,0.034041636142296605,-0.004654640666145425,-0.22195637847406807,-0.03553325311561249,0.8264252595099322,0.8395505854327476,0.8529035354388771,156
EXPAND_vs_SHRINK,SHRINK,AUD_IMG_mask_IoU,higher,0.5947191210349105,0.5947191210349105,0.7359279466528605,0.34302263727446475,0.8193650791867375,0.09883585116281438,0.7840200460875831,0.11001119348429307,-0.058000798650872196,-0.076646416302528,-0.1768488659537974,0.0148498607494289,0.7840200460875831,0.8193650791867375,0.8134184563352675,156
EXPAND_vs_SHRINK,SHRINK,AUD_only_area,lower,0.4375332270069112,0.5624667729930888,0.6844887822628176,-0.23009039959171879,0.10961919095289632,0.0671543501178586,0.12592901058449696,0.07697829346395875,0.001318527154077406,0.06461212231485738,0.18904587128143224,0.022040850012735907,0.12592901058449696,0.10961919095289632,0.1083797797709509,156
EXPAND_vs_SHRINK,SHRINK,IMG_only_area,lower,0.3973950026581606,0.6026049973418394,0.689828889097283,-0.5087606078941088,0.0066932075860647285,0.011226828236438153,0.015363114818295739,0.024042397591391387,0.2024203721118371,0.12083521089563883,-0.16601971202622332,-0.1268146975828767,0.015363114818295739,0.0066932075860647285,0.012735172193877549,156
EXPAND_vs_SHRINK,SHRINK,intersection_area,higher,0.529151160730108,0.529151160730108,0.6695495064112784,0.13699199483298255,0.5381884050968873,0.11044885819520417,0.5228116328768351,0.11532301890125354,-0.03465222476936679,0.03740532263822884,-0.1543083784999412,-0.027904799409318993,0.5228116328768351,0.5381884050968873,0.5381643847698653,156
EXPAND_vs_SHRINK,SHRINK,AUD_only_ratio,lower,0.4444444444444445,0.5555555555555556,0.6764839447508086,-0.2365498725264175,0.1713755054127589,0.10294922034486002,0.19708747695193415,0.11808121242595374,0.013732658538570471,0.043626664358473094,0.20487897353687706,0.026110277552870185,0.19708747695193415,0.1713755054127589,0.16858471934805755,156
EXPAND_vs_SHRINK,SHRINK,IMG_only_ratio,lower,0.39907850434166225,0.6009214956583379,0.6895324760714,-0.5059784588802044,0.011932375042604124,0.018714551165735067,0.025251491662774954,0.03595324670299431,0.1996626045016072,0.11853278900563836,-0.16606805631027624,-0.11856293589600529,0.025251491662774954,0.011932375042604124,0.021497128454867422,156
EXPAND_vs_SHRINK,SHRINK,intersection_ratio,higher,0.5947191210349105,0.5947191210349105,0.7359279466528605,0.34302263727446475,0.8193650791867375,0.09883585116281438,0.7840200460875831,0.11001119348429307,-0.058000798650872196,-0.076646416302528,-0.1768488659537974,0.0148498607494289,0.7840200460875831,0.8193650791867375,0.8134184563352675,156
EXPAND_vs_SHRINK,SHRINK,disagreement_mean,lower,0.3990785043416623,0.6009214956583379,0.7517545953843037,-0.33631337471207495,0.08540598551432292,0.030040037234351013,0.09560742183474072,0.03083933242238883,0.06384167884463417,0.11823924303469811,0.12698547567338453,-0.02138961592810054,0.09560742183474072,0.08540598551432292,0.08536892257472302,156
EXPAND_vs_SHRINK,SHRINK,disagreement_max,lower,0.39943292574871525,0.6005670742512847,0.7102375364457852,-0.2987588178798825,0.2599427593175811,0.06764742835854909,0.27964001057440774,0.0628124031843686,0.11221975070622862,0.1368199053172654,0.12450930400823008,0.0075984655449436,0.27964001057440774,0.2599427593175811,0.2542977220517524,156
EXPAND_vs_SHRINK,SHRINK,disagreement_std,lower,0.39128123338649656,0.6087187666135035,0.738520462721875,-0.2951776257354261,0.05836909951058903,0.01835088280088671,0.06354069513709922,0.01596307691812535,0.11125502921159837,0.13820137424169085,0.1121542800777946,-0.031011755715068107,0.06354069513709922,0.05836909951058903,0.05809106927444326,156
EXPAND_vs_SHRINK,SHRINK,AUD_IMG_Pearson,higher,0.6468190678716994,0.6468190678716994,0.7532026793761242,0.6030454324195353,0.9605624342158151,0.022986823386224157,0.9404581298468916,0.04617049067408647,-0.21646718968400375,-0.18857192944839965,0.06813483112489006,0.09837423394308266,0.9404581298468916,0.9605624342158151,0.9522061155693681,156
EXPAND_vs_SHRINK,SHRINK,AUD_raw_max,higher,0.5821371610845295,0.5821371610845295,0.685358489710114,0.3075692251613792,0.005666373669160436,0.00013732105239470545,0.005621175959771662,0.0001624362609422371,-0.07927426907216763,-0.11858982156833146,0.15685144195023612,0.1434017149674866,0.005621175959771662,0.005666373669160436,0.005624253946812229,156
EXPAND_vs_SHRINK,SHRINK,AUD_raw_mean,lower,0.4763423710792132,0.5236576289207868,0.6493136493136493,-0.12341118568477123,0.005102040763530467,3.678482363775137e-10,0.005102040809824278,3.87513233173293e-10,0.10434809611191799,-0.0013044668082337321,-0.04865747049390556,-0.033971423391247806,0.005102040809824278,0.005102040763530467,0.005102040751421071,156
EXPAND_vs_SHRINK,SHRINK,AUD_raw_std,higher,0.634059897217792,0.634059897217792,0.7502068107183062,0.5189456056576266,0.0003901307794178432,9.08868746857095e-05,0.00034247563203200374,9.345950968543599e-05,-0.13189101944342452,-0.1344966118997817,0.15232726650249323,0.1889000116998352,0.00034247563203200374,0.0003901307794178432,0.0003547395285072816,156
EXPAND_vs_SHRINK,SHRINK,AUD_raw_entropy,lower,0.3668261562998406,0.6331738437001595,0.748942057525944,-0.4851284729429761,0.9994040422635068,0.00027987184251182854,0.9995336446265525,0.00024329310583051775,0.12850273625368488,0.1337386042594934,-0.14594114126289776,-0.18783088505683881,0.9995336446265525,0.9994040422635068,0.9994924570508893,156
