method,vggss_144k_cIoU,vggss_144k_AUC,flickr_144k_cIoU,flickr_144k_AUC
AUD_FINE,0.42690965490500193,0.42295463357890656,0.812,0.6356
IMG_QUERY,0.4069406746801086,0.416614967041489,0.804,0.6165999999999998
SLOT_L3,0.12466072120977123,0.25600038774718886,0.352,0.4524000000000001
SLOT_L4,0.21442419542458316,0.3472179139201241,0.732,0.5952000000000001
AUD_SLOT_L3,0.27801473439317564,0.3672547499030633,0.724,0.5982000000000001
AUD_SLOT_L4,0.38580845288871657,0.4157231485071734,0.836,0.6396000000000001
OBJ_PRIOR,0.34780922838309425,0.3924195424583172,0.448,0.4668
OGL,0.4569600620395502,0.44010275300504076,0.868,0.6596000000000002
