sample_id,mean_iou,hard_iou,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,precision,coverage,pred_area_ratio,hard_minus_mean_iou,subset
10000130166,0.7151409991871444,0.5978754510389449,0.6996071338653564,0.5206674337387085,0.1789397001266479,0.76239013671875,0.9566917607695524,0.7151409991871444,0.4765226403061224,-0.11726554814819945,hard_hurt
10007936344,0.7576507936507937,0.770232736327938,0.7978537082672119,0.6755682229995728,0.1222854852676391,0.777374267578125,0.7673461513729021,0.9469131883827964,0.6198580994897959,0.012581942677144298,middle
10008553263,0.4132565053033361,0.4169019917918596,0.7654159069061279,0.7693880200386047,-0.0039721131324768,0.628448486328125,0.3745966266342859,0.8110054739268222,0.5990712691326531,0.0036454864885235305,middle
10009662863,0.6193296623633027,0.65440909816209,0.674601137638092,0.5527037978172302,0.1218973398208618,0.715850830078125,0.7757534775888717,0.7380930497601147,0.5157844387755102,0.03507943579878736,middle
10013411946,0.5944360118710496,0.6006527221480492,0.6829104423522949,0.622261643409729,0.0606487989425659,0.6213226318359375,0.6833072916666667,0.7106025727826676,0.3826530612244898,0.00621671027699966,middle
10016382545,0.5971175790164754,0.4353971082025629,0.7298048734664917,0.6960779428482056,0.0337269306182861,0.5512237548828125,0.617763115337344,0.8507795100222717,0.6161910076530612,-0.16172047081391255,hard_hurt
10031203703,0.8630348676708876,0.8727348993288591,0.7953217029571533,0.5601052045822144,0.2352164983749389,0.8697662353515625,0.9234115645166469,0.9059025481117516,0.6207549426020408,0.009700031657971508,middle
10035917404,0.6234541877459246,0.706881508584295,0.7024328112602234,0.6733675003051758,0.0290653109550476,0.5878143310546875,0.8306185875833146,0.6989916495982353,0.5322464923469388,0.08342732083837034,middle
10045181004,0.6356135214266703,0.5303409309566708,0.7140322327613831,0.6950404047966003,0.0189918279647827,0.5721435546875,0.825117479038054,0.7200434197037007,0.4325972576530612,-0.10527259046999948,hard_hurt
10060697266,0.7904125789096723,0.7280220238591808,0.7275571823120117,0.600029468536377,0.1275277137756347,0.7637939453125,0.9640027627676432,0.8057937545635157,0.4905333227040816,-0.062390555050491514,middle
10061269855,0.7049163350150168,0.6363133254558236,0.7040665149688721,0.6477912664413452,0.0562752485275268,0.577880859375,0.9607210549663264,0.7187184167257478,0.4942004145408163,-0.06860300955919318,middle
10067897816,0.3271398848405671,0.2859418682743218,0.7984317541122437,0.8358094096183777,-0.037377655506134,0.503326416015625,0.343221199404359,0.7953181978590754,0.5888871173469388,-0.04119801656624533,middle
10069511285,0.8027436922652695,0.8333622434229546,0.8254510164260864,0.7554866075515747,0.0699644088745117,0.7039642333984375,0.8318284424379232,0.9130155245413204,0.6974848533163265,0.03061855115768508,middle
