dataset,scale,model,group,n,cIoU_success_count,iou,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,precision,coverage,pred_area_ratio,RemoveFP,RemoveTP,AddTP,AddFP,vs_mean_RemoveFP,vs_mean_RemoveTP,vs_mean_AddTP,vs_mean_AddFP
vggss,144k,baseline,A_ogl_help,428,125,0.4105133884241239,0.8258700925752381,0.7910943087277837,0.03653331660608728,0.6498320007455163,0.44493843520795123,0.9115852316339301,0.5170616718869206,0.0,0.0,0.0,0.0,1950.964953271028,313.7616822429907,1164.9719626168223,4204.642523364486
vggss,144k,hard_adjusted,A_ogl_help,428,138,0.4243691891005025,0.7900956098303616,0.7289250066302752,0.06284557968517983,0.6765517589815062,0.48218655716979697,0.8538517492500763,0.4380022042038194,4656.855140186916,1207.768691588785,302.5911214953271,1595.1448598130842,2152.7219626168226,442.6214953271028,388.6542056074766,1344.6892523364486
vggss,144k,hard_default,A_ogl_help,428,140,0.4292287441252302,0.7909101814588654,0.7241465413654354,0.06836010473714745,0.6899320043536679,0.4892505440830559,0.8558727128694564,0.4346454219465239,4797.252336448598,1236.214953271028,324.3785046728972,1573.771028037383,2177.4205607476633,415.64252336448595,355.01635514018693,1207.6168224299065
vggss,144k,mean,A_ogl_help,428,126,0.4106387686996237,0.7974234150252609,0.7339069522182706,0.06492153355773063,0.6876037326164828,0.46520162911413404,0.8607506424112321,0.4551817322650438,4204.642523364486,1164.9719626168223,313.7616822429907,1950.964953271028,,,,
