sample_id,mean_iou,hard_iou,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,precision,coverage,pred_area_ratio,hard_minus_mean_iou,subset,gt_area_ratio,size_bin,auto_taxonomy,over_diagnosis,group
-0BIyqJj9ZU_000030,0.3136286201022146,0.3058156402479229,0.7487200498580933,0.7809536457061768,-0.0322335958480834,0.603729248046875,0.3484234830992846,0.7584871456822676,0.5265266262755102,-0.00781297985429169,middle,0.2418686224489795,large,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
-0UuUoXQUoI_000107,0.4980217358641758,0.4734811003364338,0.7186250686645508,0.5612801313400269,0.1573449373245239,0.8070220947265625,0.5808750511127987,0.7773608505315822,0.3411790497448979,-0.024540635527741994,middle,0.2549426020408163,large,GOOD,,transition
-2-wdcN5vOw_000017,0.5716436205672997,0.6248853235476094,0.6381984353065491,0.6954874992370605,-0.0572890639305114,0.4625091552734375,0.9252027426821204,0.5993416305916306,0.5726044323979592,0.053241702980309724,middle,0.8839285714285714,very_large,GOOD,,transition
-23CeprtibU_000030,0.4340978688831948,0.448574091332712,0.8292539119720459,0.7906240224838257,0.0386298894882202,0.6263275146484375,0.4408899044717382,0.9657281890858532,0.6279695471938775,0.014476222449517184,middle,0.2866908482142857,large,OVER,PERSISTENT_OVER,B_close
-2Dm0VjW8oM_000001,0.4794548579847753,0.5186181789402873,0.6190485954284668,0.6186996102333069,0.0003489851951599,0.5066375732421875,0.8538007433860506,0.5223381487426432,0.2734574298469387,0.039163320955512004,middle,0.4469866071428571,very_large,GOOD,,B_close
-2sOH8XovEE_000484,0.1281826471207126,0.1575770640224186,0.9254804849624634,0.8326283693313599,0.0928521156311035,0.81854248046875,0.1281826471207126,1.0,0.5682796556122449,0.029394416901706022,middle,0.0728435905612244,medium,OVER,CALIBRATION_RECOVERABLE,B_close
-3Kv4fdm7Uk_000030,0.180714047380714,0.2855605188095366,0.8927152156829834,0.75400710105896,0.1387081146240234,0.870941162109375,0.1807924692058617,0.997605452201142,0.597038424744898,0.10484647142882259,hard_help,0.1081991390306122,large,OVER,CALIBRATION_RECOVERABLE,transition
-4bPiXbovf0_000008,0.3759420395383551,0.4005316321105794,0.8069570064544678,0.7460476160049438,0.0609093904495239,0.7322540283203125,0.3948908180045126,0.8868086568189626,0.5211455676020408,0.024589592572224317,middle,0.232063137755102,large,OVER,CALIBRATION_RECOVERABLE,A_ogl_help
-5CGQGSFGyg_000060,0.3322692652329749,0.3428339234921925,0.8825722932815552,0.7276307940483093,0.1549414992332458,0.8717193603515625,0.3322878745449454,0.9998314796090328,0.3558474170918367,0.010564658259217596,middle,0.1182637117346938,large,OVER,CALIBRATION_RECOVERABLE,transition
-5z9IXBJefc_000227,0.2151230949589683,0.2691786566875282,0.5242071747779846,0.6821200847625732,-0.1579129099845886,0.32293701171875,0.30388341475532,0.4241303594129204,0.2406927614795918,0.05405556172855991,middle,0.1724529655612245,large,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
-79qo5MUYBk_000207,0.3213632526730444,0.3232036353308719,0.7229577302932739,0.819283127784729,-0.096325397491455,0.4031982421875,0.3815987303708653,0.670605504587156,0.4772002551020408,0.0018403826578274884,middle,0.2715441645408163,large,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
-7TanrCbmME_000030,0.2904568152395043,0.1404711454568116,0.6112385988235474,0.7293559312820435,-0.1181173324584961,0.316192626953125,0.3849736487314621,0.5419254658385093,0.3252152423469387,-0.14998566978269268,hard_hurt,0.2310267857142857,large,OVER,PRECISION_COVERAGE_TRADEOFF,C_aud_better
-7sg--aJdrc_000049,0.5195758804006226,0.4461667364893171,0.807266354560852,0.7728080749511719,0.0344582796096801,0.5876312255859375,0.5411275274540394,0.9288039483356084,0.6515266262755102,-0.07340914391130554,middle,0.3795838647959184,very_large,OVER,PERSISTENT_OVER,B_close
-7tYmeOmsRg_000058,0.1953726321611282,0.2020792411248982,0.8010448217391968,0.8288476467132568,-0.02780282497406,0.468170166015625,0.1986969157213837,0.9211212516297262,0.4251833545918367,0.006706608963769983,middle,0.0917171556122449,medium,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
-7tYmeOmsRg_000180,0.2387918270654427,0.2111879321181646,0.847172737121582,0.7869806289672852,0.0601921081542968,0.66180419921875,0.2387918270654427,1.0,0.3365154655612244,-0.02760389494727808,middle,0.0803571428571428,medium,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
-86gl1hp1Aw_000105,0.6475797224018706,0.6091442076080534,0.8248242139816284,0.703649640083313,0.1211745738983154,0.80255126953125,0.6658993247391037,0.9592483419307296,0.3895886479591837,-0.03843551479381713,middle,0.2704480229591837,large,GOOD,,transition
-8cgbhIR_pw_000030,0.2791390558380849,0.3589010372862349,0.7114825248718262,0.761603593826294,-0.0501210689544677,0.407379150390625,0.3003371469629138,0.7981786133960047,0.3605907206632653,0.07976198144815,middle,0.1356823979591837,large,OVER,PERSISTENT_OVER,transition
-A3zsFeU_OI_000030,0.1472124057176011,0.1545010902294673,0.7620609402656555,0.7040241956710815,0.0580367445945739,0.587188720703125,0.1545404208194906,0.7563685636856369,0.3599330357142857,0.007288684511866206,middle,0.0735411352040816,medium,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
-ANxUxvGASw_000010,0.0881355932203389,0.0962158290557478,0.9262580871582032,0.8699154257774353,0.0563426613807678,0.6678009033203125,0.0881355932203389,1.0,0.3645169005102041,0.0080802358354089,middle,0.0321269132653061,medium,OVER,PRECISION_COVERAGE_TRADEOFF,B_close
-ByoSbgzr4M_000000,0.3382392056033336,0.3373633211841053,0.5355439186096191,0.488042414188385,0.0475015044212341,0.55169677734375,0.9698741578746664,0.3418305631468124,0.1567881058673469,-0.0008758844192283122,middle,0.4448541135204081,very_large,GOOD,,B_close
