dataset,subset,n,hard_minus_mean_iou,mean_iou,precision,coverage,pred_area_ratio,gt_nearfp_gap,nearfp_response,gt_vs_nearfp_auroc,gt_area_ratio
vggss,hard_help,114,0.13682395470298364,0.45623242621538707,0.6235105107949086,0.7442553927902407,0.4409564298581274,0.04355786583925546,0.6865300737452089,0.6219616904228734,0.4117698683091658
vggss,hard_hurt,141,-0.1364715079855736,0.5884742156350967,0.7724963941329801,0.7597933449658647,0.4466558564915328,0.05418968704693456,0.6654399482204634,0.6200924611945148,0.4961625857124765
flickr,hard_help,8,0.14658107719993463,0.6091795821366436,0.7343728510621415,0.7709862115501513,0.4731196189413265,0.07655799388885495,0.6598793183054242,0.6759883335658482,
flickr,hard_hurt,22,-0.14446525701208363,0.6979846590295563,0.7846712663044394,0.8316180831407999,0.5378984157583487,0.08678491626467022,0.66385228009451,0.6926007952008929,
