outcome,feature,count,mean,median,std
Rescue,semantic_margin,11,0.02173348655924201,0.012296393513679504,0.019470934232937446
Rescue,ownership_confidence,11,0.29823691736568103,0.2958980202674866,0.06361110868292046
Rescue,eval_soft_containment,11,19124.339222301136,17450.54296875,4857.585722816338
Rescue,eval_seed_top10,11,0.9014482714913108,0.90234375,0.04253516126591892
Rescue,eval_seed_top20,11,0.8513420495119962,0.8536337614059448,0.06133139661800217
Rescue,raw_seed_top10,11,0.7668538689613342,0.7662721872329712,0.0797295872194837
Rescue,raw_seed_top20,11,0.7238482995466753,0.7179754376411438,0.09231183449639484
Rescue,centroid_distance,11,0.029908931271000125,0.03231778296105904,0.007823178546862009
Rescue,js_divergence,11,0.021196523068056305,0.019322790659205398,0.010747584500950097
Rescue,extent_ratio,11,0.7881277088394602,0.7965159267693945,0.07759739710432133
Hurt,semantic_margin,5,0.03977008908987045,0.044339682906866074,0.02201011104810323
Hurt,ownership_confidence,5,0.2505569577217102,0.24719351530075073,0.09987726430336699
Hurt,eval_soft_containment,5,16727.179296875,16606.47265625,3173.001424551523
Hurt,eval_seed_top10,5,0.8426726222038269,0.8684616088867188,0.08777960144998997
Hurt,eval_seed_top20,5,0.7808948397636414,0.767149031162262,0.08754680105732028
Hurt,raw_seed_top10,5,0.6810362696647644,0.6452420949935913,0.07180417312677301
Hurt,raw_seed_top20,5,0.6340162277221679,0.594847559928894,0.08209578671845373
Hurt,centroid_distance,5,0.035952092453785285,0.039114312802316614,0.011411245708833258
Hurt,js_divergence,5,0.01951927580277969,0.015898907722923815,0.006990982032992346
Hurt,extent_ratio,5,0.8106131450320191,0.8261795066192336,0.06305771059343743
Neutral,semantic_margin,234,0.028404859020016514,0.024775500409305096,0.01992001999732099
Neutral,ownership_confidence,234,0.25974385504029757,0.24686408042907715,0.092668448665932
Neutral,eval_soft_containment,234,21270.98053135016,21114.1328125,3894.509548723896
Neutral,eval_seed_top10,234,0.9140392786417252,0.9231545627117157,0.047594841137804156
Neutral,eval_seed_top20,234,0.8829898123557751,0.8970047533512115,0.05553369197454765
Neutral,raw_seed_top10,234,0.7925110311589689,0.8180510699748993,0.10957377552681585
Neutral,raw_seed_top20,234,0.76653712707707,0.7880294919013977,0.11144608573521522
Neutral,centroid_distance,234,0.024524904870528087,0.02186854657511264,0.01539099124456953
Neutral,js_divergence,234,0.0148510058320059,0.011706095971965993,0.011427140738803266
Neutral,extent_ratio,234,0.8424709337350024,0.8526673197940091,0.08662959305535588
