experiment,default_native_cIoU,default_native_AUC,default_pooled_cIoU,default_pooled_AUC,default_native_minus_pooled_cIoU,default_native_minus_pooled_AUC,best_native_tau_aff,best_native_alpha,best_native_cIoU,best_native_AUC,best_pooled_tau_aff,best_pooled_alpha,best_pooled_cIoU,best_pooled_AUC,best_native_minus_pooled_cIoU,best_native_minus_pooled_AUC
vggss_10k,0.0,0.044387359441644056,0.0019387359441644049,0.08478092283830943,-0.0019387359441644049,-0.040393563396665375,0.2,0.75,0.01609150833656456,0.16045948041876698,0.2,0.75,0.11070182241178751,0.24250678557580457,-0.09461031407522295,-0.08204730515703759
vggss_144k,0.0,0.04171190383869717,0.00038774718883288094,0.07912950756107019,-0.00038774718883288094,-0.03741760372237302,0.2,0.75,0.005622334238076774,0.1282376890267546,0.2,0.75,0.06863125242341993,0.20287902287708415,-0.06300891818534315,-0.07464133385032956
flickr_10k,0.0,0.061200000000000004,0.0,0.13260000000000002,0.0,-0.07140000000000002,0.2,0.75,0.112,0.27860000000000007,0.2,0.75,0.332,0.3976,-0.22000000000000003,-0.11899999999999994
flickr_144k,0.0,0.047599999999999996,0.004,0.11320000000000001,-0.004,-0.06560000000000002,0.2,0.75,0.04,0.19400000000000003,0.2,0.75,0.224,0.3268,-0.184,-0.13279999999999995
