dataset,model,sample_id,AUD,IMG_QUERY,OBJ_PRIOR,IQR,OGL,EXTRA_IQR_OGL
flickr,original_1.3g_final,10000130166,0.7799756972899652,0.7042819190498515,0.34208716313387105,0.7858076677510565,0.7098909657320872,0.761100015363343
flickr,original_1.3g_final,10007936344,0.643244233840354,0.7092784137994537,0.611953455571227,0.6725950440804294,0.7529808522200556,0.6966569051001769
flickr,original_1.3g_final,10008553263,0.3685962111857362,0.3848758871635984,0.032498809082729056,0.38203445447087775,0.42560806802452045,0.39463127632546635
flickr,original_1.3g_final,10009662863,0.6527465584486593,0.6569641093184063,0.5280003965827784,0.6655182386299338,0.6749486570289535,0.6816971648982454
flickr,original_1.3g_final,10013411946,0.5230990753430599,0.48094597830291197,0.36950915592155165,0.49695030848464605,0.6056449430718315,0.5605947385564561
flickr,original_1.3g_final,10016382545,0.6273317650177264,0.4964880422120195,0.3830368514029826,0.6053913335572724,0.6365341092790171,0.6331411348447123
flickr,original_1.3g_final,10031203703,0.8400152418279306,0.8113295755082414,0.43856499417304484,0.8283055801356823,0.839409204721593,0.8401208947324438
flickr,original_1.3g_final,10035917404,0.681939433971851,0.638945962605301,0.5083175996325968,0.6680251662039277,0.695060995224309,0.6836406678295539
flickr,original_1.3g_final,10045181004,0.6421705522040332,0.6054505104305371,0.4701702560827129,0.6371030145376118,0.6488332384746728,0.661667439742995
flickr,original_1.3g_final,10060697266,0.86928011404134,0.7855379938216113,0.599158886365548,0.8191800760087329,0.7931467261167534,0.8376329020028023
flickr,original_1.3g_final,10061269855,0.6964758159998831,0.637073577847658,0.48332606308569365,0.6739031044908192,0.6386194620849863,0.6661596958174905
flickr,original_1.3g_final,10067897816,0.3571332926665972,0.2754713601146491,0.4838752978287862,0.33872710767856373,0.4378467081675972,0.3764321538673906
flickr,original_1.3g_final,10069511285,0.8027168069650958,0.7510930848003682,0.36855613634229556,0.7868867975553031,0.782890779410501,0.7873853147434654
flickr,original_1.3g_final,10079676496,0.7591026527932685,0.7305342219075616,0.47359786547440913,0.773411141198106,0.8400390723680886,0.7973916599766734
flickr,original_1.3g_final,10080652613,0.8630861423220973,0.7438118811881188,0.490019105342908,0.8363178259695851,0.8060904684975767,0.821703288284147
flickr,original_1.3g_final,10106776154,0.6832728927374764,0.4098365141254532,0.23268632739384829,0.5525710745508364,0.7442097554671683,0.6938599346229499
flickr,original_1.3g_final,10109936483,0.5154831567294006,0.5392775330396475,0.05744977817656149,0.53554786313407,0.5786818802590422,0.571893523400851
flickr,original_1.3g_final,10110769444,0.6744996400287977,0.6947876241677644,0.4027098453770906,0.6999369085173501,0.716321897073663,0.7257841716923285
flickr,original_1.3g_final,10111706074,0.6329745749493059,0.5963349539319348,0.5517910107232489,0.6255997088310228,0.7222698957538775,0.6694150490164253
flickr,original_1.3g_final,10119607346,0.5694041189655951,0.5041658650644488,0.45942168583678017,0.5396789779951832,0.602685247571938,0.5699075717129323
flickr,original_1.3g_final,10119736773,0.9629781869998904,0.9570325336838647,0.3251180151498518,0.9641320728866968,0.8373586562740147,0.9346883914856265
flickr,original_1.3g_final,10129791115,0.6873584198432229,0.6418931048551612,0.4661579368339134,0.6698709101242185,0.6384882070811403,0.6551514640114758
flickr,original_1.3g_final,10129813456,0.8093123229562569,0.7613496646071001,0.45564987014797903,0.816710775047259,0.7872900833794688,0.85181245397267
flickr,original_1.3g_final,10163352444,0.8064857243567148,0.7793580679129686,0.35321980752872895,0.7967890610858154,0.8297917448099285,0.8288588143868858
flickr,original_1.3g_final,10165890496,0.5360557338343614,0.5322297883334256,0.42856826290247524,0.5386730173183673,0.5517613443363238,0.5501802491734689
flickr,original_1.3g_final,10173808724,0.790263980284052,0.7510643689812468,0.5005509719710669,0.7702590229261772,0.7582389219441954,0.7812393998695368
flickr,original_1.3g_final,10202025415,0.86358387640524,0.7190272357778468,0.47813837716598967,0.8363551214290493,0.7877910549675657,0.8327464076097956
flickr,original_1.3g_final,10221582415,0.66682201250534,0.6197662648385018,0.27023569354918076,0.6361691497674895,0.7595462979756408,0.7105953266272652
flickr,original_1.3g_final,10234680056,0.7826325293434799,0.6811291254546072,0.5379777539069268,0.7558939912878662,0.7476907230196704,0.7526004453158752
flickr,original_1.3g_final,10246013484,0.8345762370250932,0.8750131916839624,0.35835570586799625,0.8543414501057227,0.7413830361966505,0.8399242078669427
