dataset,model,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,original_1.3g_final,gt_response,0.8059670724868775,0.8137479424476624,0.7664981931447983,0.8472030311822891,0.08070483803749084,0.7984411828637122,0.8137155508339405,250
flickr,original_1.3g_final,nearfp_response,0.7639529941535672,0.7624324560165405,0.7245131433010101,0.8008564412593842,0.07634329795837402,0.7560620296278946,0.7715421393151708,247
flickr,original_1.3g_final,gt_nearfp_gap,0.04270621518857083,0.053158581256866455,0.0035441815853118896,0.09708172082901001,0.09353753924369812,0.033038907983766394,0.05208602603147869,247
flickr,original_1.3g_final,gt_vs_nearfp_auroc,0.6600211886019148,0.6843414306640625,0.5557861328125,0.7888107299804688,0.23302459716796875,0.637667379306606,0.682906817015366,247
flickr,original_1.3g_final,coverage,0.9113650997263851,0.9483132541234456,0.8570969830767197,0.9821363335735888,0.1250393504968691,0.8995700594083816,0.9220528566792797,250
flickr,original_1.3g_final,precision,0.644890094346536,0.6586219810418947,0.5227518014207264,0.7772564533273248,0.25450465190659843,0.622979442639731,0.6656796669610257,250
flickr,original_1.3g_final,background_response,0.5169068597555161,0.5157148241996765,0.45246345549821854,0.5683090537786484,0.11584559828042984,0.5056730720818042,0.5285076688200235,250
flickr,original_1.3g_final,pred_area_ratio,0.6475452806122449,0.6493642378826531,0.5898885921556123,0.7157206632653061,0.12583207110969385,0.6356627032844387,0.6591888911033162,250
flickr,original_1.3g_final,fp_area_ratio,0.1905322863520408,0.17157605229591838,0.09878726881377552,0.2649673150510204,0.16618004623724486,0.1757467075892857,0.20573126793686225,250
flickr,original_1.3g_final,RemoveFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,original_1.3g_final,RemoveTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,original_1.3g_final,AddTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,original_1.3g_final,AddFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
