dataset,model,reference,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,original_1.3g_final,cram_c3_stage2,gt_nearfp_gap,-0.05536837218261441,-0.05597102642059326,-0.09088534116744995,-0.021466195583343506,0.06941914558410645,-0.06269261884363557,-0.048169912678389416,247
flickr,original_1.3g_final,cram_c3_stage2,gt_vs_nearfp_auroc,-0.04780665299930294,-0.041748046875,-0.118072509765625,0.01932525634765625,0.13739776611328125,-0.06206054603943359,-0.03367870994749242,247
flickr,original_1.3g_final,cram_c3_stage2,coverage,0.07442960681247575,0.06840196497743095,0.014489482958919164,0.1309708314609731,0.11648134850205394,0.0640187626941345,0.08479362138763055,250
flickr,original_1.3g_final,cram_c3_stage2,precision,-0.08075519336845471,-0.07304901601796276,-0.12360782988182917,-0.033942386335949946,0.08966544354587921,-0.09002611577635931,-0.07195456440700086,250
flickr,original_1.3g_final,cram_c3_stage2,pred_area_ratio,0.12002790178571429,0.12295719068877553,0.0693459024234694,0.1755670041454082,0.10622110172193881,0.10892798947704081,0.13108905452806122,250
flickr,original_1.3g_final,cram_c3_stage2,gt_response,0.04970864248275757,0.05013573169708252,0.01999625563621521,0.08236834406852722,0.06237208843231201,0.04354828425645828,0.05588292570114135,250
flickr,original_1.3g_final,cram_c3_stage2,nearfp_response,0.10499614078988913,0.10641598701477051,0.05441248416900635,0.15298983454704285,0.0985773503780365,0.09681413637602378,0.1133453445305467,247
flickr,original_1.3g_final,short_step000,gt_nearfp_gap,-0.05056566446416291,-0.05407273769378662,-0.09849807620048523,-0.0038400888442993164,0.09465798735618591,-0.0604687971292961,-0.04069862317459787,247
flickr,original_1.3g_final,short_step000,gt_vs_nearfp_auroc,-0.01815099268901092,-0.0203094482421875,-0.0933380126953125,0.050067901611328125,0.14340591430664062,-0.03470033784349747,-0.0024372312541222395,247
flickr,original_1.3g_final,short_step000,coverage,0.13815936399183126,0.13681013147741405,0.06541305692937865,0.20608211525815223,0.14066905832877358,0.12416445812667237,0.1508793410525802,250
flickr,original_1.3g_final,short_step000,precision,-0.10296447575896295,-0.09584699339284392,-0.16055016415075482,-0.051730984280007386,0.10881917987074743,-0.11309313521512206,-0.09234677800778751,250
flickr,original_1.3g_final,short_step000,pred_area_ratio,0.1788529974489796,0.18106265943877548,0.12025669642857141,0.24106146364795916,0.12080476721938775,0.16682208027742348,0.1903229512117347,250
flickr,original_1.3g_final,short_step000,gt_response,0.08462345886230468,0.08667254447937012,0.0495428740978241,0.12033578753471375,0.07079291343688965,0.07788521124720574,0.09161387184262275,250
flickr,original_1.3g_final,short_step000,nearfp_response,0.13477493430438794,0.13507986068725586,0.0783647894859314,0.19323015213012695,0.11486536264419556,0.12320269653912981,0.14601554117101406,247
flickr,cram_c3_stage1,cram_c3_stage2,gt_nearfp_gap,-0.009170133575254124,-0.010402143001556396,-0.026678651571273804,0.012820720672607422,0.039499372243881226,-0.013217395927138657,-0.005183166615393485,247
flickr,cram_c3_stage1,cram_c3_stage2,gt_vs_nearfp_auroc,-0.034661469801581316,-0.0281829833984375,-0.05727386474609375,-0.004688262939453125,0.052585601806640625,-0.04135989787449139,-0.028322678531031733,247
flickr,cram_c3_stage1,cram_c3_stage2,coverage,-0.07139574404120015,-0.06149299153200949,-0.10224899035209917,-0.0340913122591493,0.06815767809294987,-0.07861692101923198,-0.06445427266499636,250
flickr,cram_c3_stage1,cram_c3_stage2,precision,0.02355596684210569,0.016666629118281706,-0.0024843898285406285,0.04820458390628704,0.05068897373482767,0.018844474554449618,0.0283933533888388,250
flickr,cram_c3_stage1,cram_c3_stage2,pred_area_ratio,-0.06440481505102041,-0.05708904655612243,-0.09182178730867345,-0.0319923867984694,0.05982940051020405,-0.07101786312181121,-0.05804679926658163,250
flickr,cram_c3_stage1,cram_c3_stage2,gt_response,-0.04310423684120178,-0.03657644987106323,-0.06158068776130676,-0.022334426641464233,0.03924626111984253,-0.04739109463095665,-0.039036346954107286,250
flickr,cram_c3_stage1,cram_c3_stage2,nearfp_response,-0.03358098587043855,-0.03379619121551514,-0.06028240919113159,-0.007084846496582031,0.05319756269454956,-0.0391439870150707,-0.028359787464745132,247
flickr,cram_c3_stage1,short_step000,gt_nearfp_gap,-0.004367425856802627,-0.003156423568725586,-0.010761916637420654,0.003915905952453613,0.014677822589874268,-0.006252573361160301,-0.0025383467344861294,247
flickr,cram_c3_stage1,short_step000,gt_vs_nearfp_auroc,-0.005005809491289302,-0.00189208984375,-0.01488494873046875,0.00958251953125,0.02446746826171875,-0.007983269780072964,-0.0020864844799883273,247
flickr,cram_c3_stage1,short_step000,coverage,-0.007665986861844653,-0.0047812577553126845,-0.018096391884637714,0.002300659538574862,0.020397051423212575,-0.009866548338783383,-0.005546760787611779,250
flickr,cram_c3_stage1,short_step000,precision,0.0013466844515974646,0.0005224461951949255,-0.00556743980816829,0.008374415804438429,0.013941855612606718,-0.000254843209624245,0.0028742380237029457,250
flickr,cram_c3_stage1,short_step000,pred_area_ratio,-0.0055797193877551,-0.003597337372448939,-0.01388612085459183,0.0038813376913265224,0.017767458545918352,-0.007352281967474487,-0.003873266103316323,250
flickr,cram_c3_stage1,short_step000,gt_response,-0.008189420461654663,-0.007130831480026245,-0.01691696047782898,0.0001458674669265747,0.017062827944755554,-0.00976047991514206,-0.006666529268026352,250
flickr,cram_c3_stage1,short_step000,nearfp_response,-0.0038021923559397337,-0.004214167594909668,-0.01573580503463745,0.006230980157852173,0.021966785192489624,-0.0059946390087546614,-0.0016263283819322163,247
flickr,cram_c3_stage2,cram_c3_stage2,gt_nearfp_gap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247
flickr,cram_c3_stage2,cram_c3_stage2,gt_vs_nearfp_auroc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247
flickr,cram_c3_stage2,cram_c3_stage2,coverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,cram_c3_stage2,cram_c3_stage2,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,cram_c3_stage2,cram_c3_stage2,pred_area_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,cram_c3_stage2,cram_c3_stage2,gt_response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,cram_c3_stage2,cram_c3_stage2,nearfp_response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247
flickr,cram_c3_stage2,short_step000,gt_nearfp_gap,0.004802707718451496,0.0011829137802124023,-0.018362969160079956,0.02272629737854004,0.041089266538619995,0.0007507371335377096,0.008946837490869433,247
flickr,cram_c3_stage2,short_step000,gt_vs_nearfp_auroc,0.029655660310292015,0.022247314453125,0.0022430419921875,0.05389404296875,0.0516510009765625,0.02366778076181379,0.03582014826486801,247
flickr,cram_c3_stage2,short_step000,coverage,0.0637297571793555,0.052886152962046795,0.02291990570568697,0.09717177526275403,0.07425186955706706,0.05667454144365444,0.07064692831184496,250
flickr,cram_c3_stage2,short_step000,precision,-0.022209282390508227,-0.014761845346047464,-0.044871125638093895,0.004303096530163364,0.04917422216825726,-0.02691963300103248,-0.01776868475524404,250
flickr,cram_c3_stage2,short_step000,pred_area_ratio,0.05882509566326532,0.05318279655612243,0.0214146205357143,0.0871083785076531,0.0656937579719388,0.05169356265943878,0.06563572624362243,250
flickr,cram_c3_stage2,short_step000,gt_response,0.03491481637954712,0.032758891582489014,0.013365581631660461,0.054501697421073914,0.04113611578941345,0.030657504165172576,0.03922282879948616,250
flickr,cram_c3_stage2,short_step000,nearfp_response,0.029778793514498816,0.03010249137878418,0.005491584539413452,0.059660494327545166,0.054168909788131714,0.024209046903771427,0.035205733353792415,247
flickr,short_step000,cram_c3_stage2,gt_nearfp_gap,-0.004802707718451496,-0.0011829137802124023,-0.02272629737854004,0.018362969160079956,0.041089266538619995,-0.008977436241109362,-0.000674015135779555,247
flickr,short_step000,cram_c3_stage2,gt_vs_nearfp_auroc,-0.029655660310292015,-0.022247314453125,-0.05389404296875,-0.0022430419921875,0.0516510009765625,-0.03571998741920524,-0.023881565979852942,247
flickr,short_step000,cram_c3_stage2,coverage,-0.0637297571793555,-0.052886152962046795,-0.09717177526275403,-0.02291990570568697,0.07425186955706706,-0.07092893716551531,-0.05660134784996554,250
flickr,short_step000,cram_c3_stage2,precision,0.022209282390508227,0.014761845346047464,-0.004303096530163364,0.044871125638093895,0.04917422216825726,0.01736662488522269,0.026910576569567187,250
flickr,short_step000,cram_c3_stage2,pred_area_ratio,-0.05882509566326532,-0.05318279655612243,-0.0871083785076531,-0.0214146205357143,0.0656937579719388,-0.06548485331632653,-0.05229501753826531,250
flickr,short_step000,cram_c3_stage2,gt_response,-0.03491481637954712,-0.032758891582489014,-0.054501697421073914,-0.013365581631660461,0.04113611578941345,-0.03903385396599769,-0.030837112975120543,250
flickr,short_step000,cram_c3_stage2,nearfp_response,-0.029778793514498816,-0.03010249137878418,-0.059660494327545166,-0.005491584539413452,0.054168909788131714,-0.03520174746510953,-0.024198800111227194,247
flickr,short_step000,short_step000,gt_nearfp_gap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247
flickr,short_step000,short_step000,gt_vs_nearfp_auroc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247
flickr,short_step000,short_step000,coverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,short_step000,short_step000,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,short_step000,short_step000,pred_area_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,short_step000,short_step000,gt_response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,short_step000,short_step000,nearfp_response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247
flickr,short_step016,cram_c3_stage2,gt_nearfp_gap,-0.007101150297442911,-0.003319263458251953,-0.02502495050430298,0.01509404182434082,0.0401189923286438,-0.011081069306685374,-0.0029108999802274814,247
flickr,short_step016,cram_c3_stage2,gt_vs_nearfp_auroc,-0.03140350348132924,-0.0243072509765625,-0.0573577880859375,-0.00313568115234375,0.05422210693359375,-0.037440398227434654,-0.02489025810556126,247
flickr,short_step016,cram_c3_stage2,coverage,-0.05919406380779595,-0.04698007062746268,-0.08945374924414395,-0.018440879147386624,0.07101287009675733,-0.06621256027232225,-0.052141203039276225,250
flickr,short_step016,cram_c3_stage2,precision,0.01784272383713746,0.01206871371500462,-0.007119834417546558,0.037931840201820055,0.04505167461936661,0.013179938330066069,0.022283762452051728,250
flickr,short_step016,cram_c3_stage2,pred_area_ratio,-0.05317984693877551,-0.048070790816326564,-0.0824996014030612,-0.017289142219387738,0.06521045918367346,-0.06015312499999999,-0.04651125438456633,250
flickr,short_step016,cram_c3_stage2,gt_response,-0.03233918702602386,-0.029681265354156494,-0.05159252882003784,-0.011074617505073547,0.040517911314964294,-0.03670029146671295,-0.02816071752309799,250
flickr,short_step016,cram_c3_stage2,nearfp_response,-0.024948198303037326,-0.02556055784225464,-0.05432063341140747,0.0010683536529541016,0.05538898706436157,-0.03034544328627316,-0.019602299240315976,247
flickr,short_step016,short_step000,gt_nearfp_gap,-0.002298442578991415,-0.002077758312225342,-0.004851698875427246,0.0003579258918762207,0.005209624767303467,-0.002846995539028152,-0.0017826360427898918,247
flickr,short_step016,short_step000,gt_vs_nearfp_auroc,-0.0017478431710372228,-0.0014495849609375,-0.0043487548828125,0.00225830078125,0.0066070556640625,-0.00253474134256891,-0.0008870770202845821,247
flickr,short_step016,short_step000,coverage,0.004535693371559546,0.004506113229893249,0.0011502564871223864,0.007886029618586254,0.006735773131463868,0.0038882477080812525,0.00519157000878881,250
flickr,short_step016,short_step000,precision,-0.004366558553370762,-0.00342327097630718,-0.006401632788919864,-0.0010584453937940719,0.0053431873951257924,-0.00506617862851782,-0.003649958284154619,250
flickr,short_step016,short_step000,pred_area_ratio,0.005645248724489799,0.0053611288265306145,0.0030094068877551394,0.007822464923469385,0.004813058035714246,0.0051032764668367345,0.006227610809948983,250
flickr,short_step016,short_step000,gt_response,0.0025756293535232544,0.0023892223834991455,0.0007364153861999512,0.0044983625411987305,0.0037619471549987793,0.002131633234024048,0.0030041423231363293,250
flickr,short_step016,short_step000,nearfp_response,0.004830595211461488,0.004625797271728516,0.0016380846500396729,0.007565826177597046,0.005927741527557373,0.004220339049573852,0.00549320054018063,247
flickr,short_step064,cram_c3_stage2,gt_nearfp_gap,-0.004708931392986282,-0.002667665481567383,-0.020285338163375854,0.013027608394622803,0.03331294655799866,-0.008157015965897062,-0.0012951455829355904,247
