sample_id,AUD_iou,IQR_iou
-0BIyqJj9ZU_000030,0.31362862010221465,0.33651388038742663
-0UuUoXQUoI_000107,0.49802173586417586,0.4699275538483979
-2-wdcN5vOw_000017,0.5716436205672997,0.5770393401563242
-23CeprtibU_000030,0.4340978688831948,0.514440768687507
-2Dm0VjW8oM_000001,0.47945485798477533,0.4651835553925763
-2sOH8XovEE_000484,0.12818264712071264,0.12281173347669769
-3Kv4fdm7Uk_000030,0.18071404738071406,0.2219944234869608
-4bPiXbovf0_000008,0.37594203953835514,0.36618357487922704
-5CGQGSFGyg_000060,0.3322692652329749,0.3585239402256786
-5z9IXBJefc_000227,0.21512309495896834,0.2052464514583458
-79qo5MUYBk_000207,0.32136325267304444,0.3262657177624544
-7TanrCbmME_000030,0.29045681523950434,0.2560011781454028
-7sg--aJdrc_000049,0.5195758804006226,0.5070799963458084
-7tYmeOmsRg_000058,0.19537263216112827,0.21440446184372822
-7tYmeOmsRg_000180,0.2387918270654427,0.2889701139539884
-86gl1hp1Aw_000105,0.6475797224018706,0.6582774626095925
-8cgbhIR_pw_000030,0.27913905583808496,0.28675182857731535
-A3zsFeU_OI_000030,0.14721240571760114,0.1396388747382125
-ANxUxvGASw_000010,0.08813559322033898,0.08455284552845528
-ByoSbgzr4M_000000,0.33823920560333365,0.34446069956111186
-CZ1LIc8aos_000020,0.42246201277251705,0.48777015001271296
-Cr0WQoFQQs_000045,0.38579895827096927,0.3678082191780822
-Cv3gOXEoxA_000040,0.2838128176911387,0.2900390088456678
-D64b_8YJK4_000046,0.2640790292470442,0.2601233574684902
-E5o64ACjm0_000017,0.1710043161759969,0.2005820813340675
-FoTxwPOz3U_000000,0.18538045954566165,0.186016175319593
-GOaBCyC5Js_000087,0.3902727525744503,0.3693290314084414
-GW1J75oAKU_000304,0.48152682555229076,0.41243537414965986
-HMEhGV38GM_000216,0.17507370678102385,0.16636969912946087
-IKnJa9U66I_000150,0.30595752678068033,0.3507321554006592
-Igq1W20Gi8_000000,0.27872805787673155,0.303529986564065
-JGpAlLrSD0_000458,0.628702984577832,0.6293403514729603
-JUBdOr8Hes_000030,0.6668289516390782,0.6607810215024644
-JUhUI_KvUI_000026,0.5900505778581376,0.5707282571581874
-K-ccLMFE5M_000259,0.5790599329217907,0.5895125446287616
-K1BRF6qng8_000030,0.4748790601243953,0.4588522191513575
-KBH8YmHR-0_000050,0.15065611182427613,0.16456978148249132
-Lmibx_Iu_E_000173,0.5205489820117567,0.5303343587674618
-Lv13WPa4xk_000170,0.6095633615965853,0.6127585494674103
-N00SskHxS4_000529,0.29801211013366846,0.32469711090400744
-NCa3eFLULw_000221,0.6085459425751701,0.5748486666303103
-NwBdmVSg1w_000000,0.5090634441087614,0.4881827988624105
-OAyRsvFGgc_000030,0.38762793723880784,0.39558242966368495
-OVb-UG8yJw_000030,0.6374866554826902,0.6451163289374933
-PvlrLjIAYo_000009,0.11577250748330647,0.11002952574275697
-Q3MX7Tgx_E_000111,0.5823821633449642,0.5272176493987332
-RBs9pPhHY8_000030,0.5107632782272248,0.5202375966188173
-S-TDT5oq0Q_000290,0.5482033855641558,0.556986829424992
-SWaCArvQug_000021,0.7064294928372599,0.546433938273032
-Vo4CAMX26U_000030,0.41883759101047935,0.4094955489614243
-W3WpZvJX2o_000027,0.041623191675361666,0.034008017349017546
-Wd5YV97ftU_000320,0.4952352367374503,0.5125019412952322
-XwtCzUaN1I_000160,0.7097331282549448,0.6572216857497586
-Y-UegG9tLw_000282,0.14386421560652893,0.14637823664372338
-YwPSwhe2jo_000030,0.17533689903487018,0.16946799843085186
-Z1ZSWDouUU_000030,0.11706910907577019,0.11109940473054838
-ZJqu_4zLMc_000030,0.267640376501136,0.2840941064433046
-ZSgg6jFUd8_000688,0.16704663212435233,0.16848669292278315
-_QPd-VskKY_000030,0.48406745532343315,0.5377930712702671
-_umX4zgLVY_000028,0.5964867208323966,0.5974989605654524
-aK9JKAGme0_000041,0.42658516121299295,0.41899745731928806
-aK9JKAGme0_000051,0.07746420590912853,0.07722453694154531
-aUJLRXkj-Y_000118,0.23355452971725332,0.21950395350408866
-cA9HsnV1ao_000030,0.39213064267768866,0.38407563335549155
-d1KR2BSfHM_000065,0.6435596257216802,0.6275726886638353
-e4wXAy1iVo_000000,0.3986825893280258,0.3886085435923058
-fAVezaAX18_000126,0.5832364716518146,0.5238633428054766
-fJsZm3YRc0_000030,0.6009861695730607,0.5647477716443233
-fPdOa99Iwg_000030,0.3934767071665259,0.4167552917767333
