metric,pearson,spearman
RemoveFP,0.4836684821330351,0.49472021555943857
AddTP,0.2062998627859519,0.03143255008367942
RemoveTP,-0.6384334780624518,-0.520717102497739
AddFP,-0.22458370098848754,-0.14021830567474777
aud_coverage,0.2225242482561232,0.30642378853845526
ogl_coverage,0.4596079358204321,0.47037496464318407
aud_precision,-0.2801515010664234,-0.283627958532236
ogl_precision,-0.13135177272520976,-0.16890531533927639
aud_gap,0.09983376473591514,0.13315765618407815
ogl_gap,0.2735916765993747,0.29305219066530397
gt_area_ratio,-0.31409048207313217,-0.2746471870003495
gt_components,-0.00803709840327852,-0.011392088611138676
