group,metric,mean,median,q1,q3,ci_low,ci_high,valid
B_close,GT response,-0.020014062596014095,-0.017170846462249756,-0.04312849044799805,0.005314826965332031,-0.02165663900430602,-0.018417037894042955,3097
B_close,NearFP response,-0.02911344122753943,-0.02799820899963379,-0.060133323073387146,0.0015825778245925903,-0.030899278667817026,-0.027325044739710872,3054
B_close,GT-Near gap,0.00902644771723944,0.009030133485794067,-0.010603606700897217,0.02807411551475525,0.0077230456911549505,0.010337777635583942,3054
B_close,GT/Near AUROC,0.007935100476156863,0.009731292724609375,-0.030260086059570312,0.047023773193359375,0.0049723689688127145,0.01094417663384692,3054
B_close,Coverage,-0.03239600450159918,-0.01530611515045166,-0.057503730058670044,0.0,-0.03556909131851779,-0.02961614892403161,3099
B_close,Precision,0.02111110122259535,0.01641830515644152,-0.0002661851879353916,0.041220259165425197,0.019781786778484207,0.022485695049815662,3099
B_close,Activated area,-0.03673690101645692,-0.03077168367346944,-0.0665158641581633,-0.004175302933673464,-0.03884825125143233,-0.03463984525358122,3099
B_close,Normalized entropy,-0.002603028292368391,-0.002492015992745511,-0.0038492668358349746,-0.0012406771510449222,-0.0026760620319946473,-0.0025309798376928734,3099
transition,GT response,-0.02412627459526756,-0.02643457055091858,-0.05095034837722778,0.002728089690208435,-0.026631022372663977,-0.02176057328747957,1374
transition,NearFP response,-0.0395374093093865,-0.043399542570114136,-0.06965935230255127,-0.01283380389213562,-0.04238323140335047,-0.03667645484231235,1344
transition,GT-Near gap,0.015390111177804925,0.021740078926086426,-0.00635547935962677,0.03999966382980347,0.012912751187104731,0.017671935600117736,1344
transition,GT/Near AUROC,0.016104920526704255,0.02065277099609375,-0.030757904052734375,0.061908721923828125,0.01180487781349172,0.020340431213611992,1344
transition,Coverage,-0.036032849425935286,-0.02592584490776062,-0.08659803122282028,0.0008740723133087158,-0.04066500114034685,-0.03134507206260136,1374
transition,Precision,0.04289810083427659,0.057743550560222734,0.000893958603679218,0.08541856004108307,0.03947357500677618,0.04628180789343622,1374
transition,Activated area,-0.056834426080748894,-0.05999880420918366,-0.09624621332908166,-0.02193777901785715,-0.06075772052390142,-0.05276374577788949,1374
transition,Normalized entropy,-0.0028325907447720802,-0.0027088624448403653,-0.004136912200671805,-0.0014155376891116234,-0.0029458597016552733,-0.00271485419006566,1374
A_ogl_help,GT response,-0.009285167486311119,-0.02323123812675476,-0.0443069189786911,0.013716667890548706,-0.01424076654643656,-0.004123506390393894,428
A_ogl_help,NearFP response,-0.059689032149986485,-0.06800583004951477,-0.09382385015487671,-0.03879585862159729,-0.06427071910753776,-0.054582678348245754,426
A_ogl_help,GT-Near gap,0.04989530460935243,0.04568004608154297,0.02972319722175598,0.0656360536813736,0.04635960097149224,0.0532976771989059,426
A_ogl_help,GT/Near AUROC,0.07020415520475279,0.05744171142578125,0.016376495361328125,0.10820770263671875,0.06196569283174157,0.07889403875431764,426
A_ogl_help,Coverage,0.02331660644403685,-0.002077758312225342,-0.03244648873806,0.044162899255752563,0.0135096861201852,0.03419937392627106,428
A_ogl_help,Precision,0.14909498078799976,0.14821991400435966,0.11486525918891814,0.19106139080470724,0.14279731092804812,0.1553448759522367,428
A_ogl_help,Activated area,-0.10766527058399293,-0.12110371492346939,-0.17362384406887754,-0.060970384247448994,-0.11818015887813214,-0.09810991128982989,428
A_ogl_help,Normalized entropy,-0.0030997939157947933,-0.003248599520137785,-0.004310296843544503,-0.0018470277646535083,-0.003296546947276889,-0.00290566342387311,428
C_aud_better,GT response,-0.07851482991578514,-0.07585936784744263,-0.10070180892944336,-0.05965995788574219,-0.0840704925242333,-0.07288115591912418,257
C_aud_better,NearFP response,-0.06012854027558133,-0.06275105476379395,-0.10948619246482849,-0.015369206666946411,-0.06860852204708463,-0.05123769129474325,251
C_aud_better,GT-Near gap,-0.018473854221670753,-0.019358187913894653,-0.056688129901885986,0.02165314555168152,-0.02589330917810539,-0.01141660809813743,251
C_aud_better,GT/Near AUROC,-0.04636352369986917,-0.04095458984375,-0.1045684814453125,0.0169525146484375,-0.05768150140401125,-0.03444155722605371,251
C_aud_better,Coverage,-0.18575616647645193,-0.16792243719100952,-0.22962898015975952,-0.12804841995239258,-0.20087948906441955,-0.17202055638271893,257
C_aud_better,Precision,-0.024627114345296124,0.000939975798989745,-0.0807685197045458,0.02216806107705982,-0.03394297014912861,-0.014762915418338343,257
C_aud_better,Activated area,-0.10431972065333915,-0.115234375,-0.16802853954081637,-0.06439333545918369,-0.11766171403507901,-0.09034961332995016,257
C_aud_better,Normalized entropy,-0.0024176522689736933,-0.002389628517193154,-0.0036736132794549237,-0.0013103305928900966,-0.002673186186335647,-0.0021519548773685187,257
