epoch,learning_rate,epoch_seconds,loss_coarse,loss_equiv,loss_total,mean_valid_ratio,skipped_small_overlap_samples,actual_flip_ratio,mean_crop_scale,aud_l4_ciou,aud_l4_auc,aud_fine_ciou,aud_fine_auc
1,5e-05,165.5849552154541,0.0002180910854402754,0.0006080282489239699,0.0008261193329919117,0.6623814638399145,0,0.49849171485765126,0.7783087847283726,0.864,0.6184000000000001,0.884,0.6470000000000001
2,5e-05,158.5326166152954,0.0002416626695154924,0.0005327995163384408,0.0007744621854396437,0.6626458400296995,0,0.5000486543594306,0.7786438181943316,0.864,0.6184000000000001,0.88,0.6492000000000001
3,5e-05,163.59245491027832,0.0002414422452599357,0.0005220576203751354,0.0007634998667484739,0.6631149343112185,0,0.49721975088967973,0.7789337649888415,0.864,0.6184000000000001,0.884,0.6507999999999999
4,5e-05,152.69643092155457,0.0002440748526476526,0.0005169715472887307,0.0007610464001694211,0.662455938146632,0,0.4995621107651246,0.7782277069269975,0.864,0.6184000000000001,0.892,0.6517999999999998
5,5e-05,163.13854718208313,0.0002444288318954388,0.0005117230228350574,0.0007561518544715654,0.662848967780422,0,0.5023215080071174,0.778832512287907,0.864,0.6184000000000001,0.888,0.6512
6,5e-05,167.0742552280426,0.0002455435883785346,0.0005081773507102223,0.0007537209396325118,0.6627577943097654,0,0.5035309163701067,0.7785543448348062,0.864,0.6184000000000001,0.888,0.6516
7,5e-05,168.50140190124512,0.00024580624335370063,0.0005042060720402867,0.0007500123149538048,0.6627717288575563,0,0.4998401356761566,0.7788388208350253,0.864,0.6184000000000001,0.892,0.6519999999999999
8,5e-05,135.22153329849243,0.0002453436733385485,0.0005012578736937662,0.0007466015469546354,0.6629871290137335,0,0.4980260231316726,0.7790246924047368,0.864,0.6184000000000001,0.884,0.6526
9,5e-05,168.2240583896637,0.0002465687686054606,0.0005002656027267014,0.0007468343712803758,0.6629190405704797,0,0.49879754225978645,0.7788434948149101,0.864,0.6184000000000001,0.884,0.6524
10,5e-05,132.71094274520874,0.0002459261771836285,0.000496967135327023,0.0007428933121222552,0.6628153136404383,0,0.4999582962633452,0.778843740339381,0.864,0.6184000000000001,0.88,0.6526
11,5e-05,135.57132148742676,0.0002471011808484683,0.0004959865469067918,0.0007430877276775809,0.6626482133975656,0,0.5012094083629893,0.7788378207072668,0.864,0.6184000000000001,0.872,0.6524
12,5e-05,154.82842087745667,0.00024801545590617997,0.0004942641760060213,0.0007422796325854214,0.6627958437089818,0,0.5015082851423488,0.7788316866257012,0.864,0.6184000000000001,0.888,0.6522
13,5e-05,160.22500777244568,0.00024752420460986757,0.000492455968794867,0.0007399801731199106,0.662701409694563,0,0.49887399911032027,0.7786774666071786,0.864,0.6184000000000001,0.884,0.6529999999999999
14,5e-05,173.21027159690857,0.0002482111336459535,0.0004922624196222522,0.0007404735536824952,0.662504947376421,0,0.4989852090747331,0.7785212150460036,0.864,0.6184000000000001,0.892,0.6531999999999999
15,5e-05,157.37072920799255,0.00024830288722596603,0.0004907399232128927,0.0007390428098951039,0.6628030800522434,0,0.499756728202847,0.778768353721001,0.864,0.6184000000000001,0.892,0.6534
16,5e-05,159.22308349609375,0.0002485181235683853,0.0004902220560752313,0.0007387401789445032,0.6629070535673366,0,0.4993257895907473,0.778955324476724,0.864,0.6184000000000001,0.876,0.6526
17,5e-05,132.28559517860413,0.00024799045662207567,0.0004884971491536755,0.0007364876060605752,0.662782759640989,0,0.5004100867437722,0.7787809860876023,0.864,0.6184000000000001,0.892,0.6533999999999999
18,5e-05,126.66711664199829,0.00024866302576607085,0.0004886219790039643,0.0007372850051325385,0.6624948055718717,0,0.5011399021352313,0.7783901556742997,0.864,0.6184000000000001,0.884,0.6533999999999999
19,5e-05,124.68551087379456,0.0002478919790991834,0.0004862075089684147,0.0007340994871095539,0.6631812520086553,0,0.5025161254448398,0.7791999812864324,0.864,0.6184000000000001,0.884,0.6526
20,5e-05,135.38762521743774,0.00024844064847259615,0.00048580042960070857,0.000734241078176877,0.6630630912093506,0,0.49863767793594305,0.779185316528714,0.864,0.6184000000000001,0.892,0.6527999999999999
21,5e-05,152.26256942749023,0.0002487522456038899,0.000485998229123652,0.000734750475064152,0.6626242776782487,0,0.49875583852313166,0.7786175766661498,0.864,0.6184000000000001,0.888,0.6518
22,5e-05,137.94506669044495,0.0002488187808701702,0.000484398708650196,0.0007332174880703533,0.6628593931842953,0,0.5003892348754448,0.7789566570965845,0.864,0.6184000000000001,0.888,0.6527999999999999
23,5e-05,160.74290871620178,0.0002483280388649977,0.00048276310558952853,0.0007310911451277465,0.6627552412795003,0,0.5016264457295374,0.7787100689691157,0.864,0.6184000000000001,0.892,0.6533999999999999
24,5e-05,131.17244744300842,0.00024863803373203114,0.00048293335657621474,0.000731571390955573,0.6626207316261169,0,0.4989713078291815,0.7786976161588554,0.864,0.6184000000000001,0.892,0.6522
25,5e-05,126.64058494567871,0.0002489899999217223,0.00048325259524962643,0.0007322425946793801,0.662794640267871,0,0.4980955293594306,0.7788208776097281,0.864,0.6184000000000001,0.892,0.6527999999999999
26,5e-05,119.74353623390198,0.00024861140069767196,0.00048175030187007665,0.0007303617014284528,0.663093763420166,0,0.4978870106761566,0.7791833191367655,0.864,0.6184000000000001,0.888,0.6524
27,5e-05,132.55271649360657,0.00024939443076317763,0.00048231400722999033,0.0007317084376824509,0.6625123577610029,0,0.4999860987544484,0.7785007555925973,0.864,0.6184000000000001,0.888,0.6527999999999999
28,5e-05,147.36838364601135,0.0002498231430028837,0.0004818185036931538,0.0007316416472915785,0.6630753601148883,0,0.5013275689501779,0.7790735374566075,0.864,0.6184000000000001,0.888,0.6522
29,5e-05,154.88862872123718,0.00024932902350336533,0.0004808560916507663,0.0007301851145068045,0.6630840122275505,0,0.49797736877224197,0.7790799453801531,0.864,0.6184000000000001,0.888,0.652
30,5e-05,142.08026313781738,0.0002487077328487916,0.00047983110689075857,0.0007285388397654432,0.6629214171200885,0,0.4990686165480427,0.7791259956953789,0.864,0.6184000000000001,0.896,0.6532
31,5e-05,127.87097907066345,0.00024913839087635113,0.0004795227376694436,0.0007286611283645432,0.6629956760228316,0,0.5010703959074733,0.7790209786747698,0.864,0.6184000000000001,0.892,0.6537999999999999
32,5e-05,123.3446295261383,0.0002487800558156904,0.00047909989645431196,0.000727879952140537,0.6632322445246672,0,0.4991103202846975,0.7793536162885483,0.864,0.6184000000000001,0.896,0.6532
33,5e-05,152.09190249443054,0.0002491456527999118,0.00047955022882661876,0.0007286958820667131,0.6627969821364854,0,0.4988879003558719,0.7787225104311607,0.864,0.6184000000000001,0.896,0.6522
34,5e-05,135.00392937660217,0.0002492009463750681,0.00047813610767645704,0.0007273370543622421,0.662251286023028,0,0.4990269128113879,0.7783483221225467,0.864,0.6184000000000001,0.896,0.653
35,5e-05,127.44336247444153,0.0002499395224627843,0.00047914466166701434,0.000729084184233371,0.6630261032394668,0,0.5012928158362989,0.7789520185401007,0.864,0.6184000000000001,0.892,0.6521999999999999
36,5e-05,134.28555011749268,0.0002492868748907368,0.00047788075853952825,0.0007271676328865102,0.6624945568656582,0,0.5019948287366548,0.7786457471788142,0.864,0.6184000000000001,0.888,0.6519999999999999
37,5e-05,151.43606114387512,0.0002500415348064227,0.0004776744301442481,0.0007277159648988846,0.6629213810603389,0,0.5002154693060499,0.7786751572983969,0.864,0.6184000000000001,0.892,0.6533999999999999
38,5e-05,115.28422689437866,0.0002497194200583064,0.00047732034522677137,0.0007270397658806188,0.6630703593700382,0,0.5011468527580071,0.7790371158369072,0.864,0.6184000000000001,0.888,0.6526
39,5e-05,117.44866347312927,0.000249632531219805,0.000476973137254429,0.0007266056695099575,0.6627883979009987,0,0.4993049377224199,0.7790010355121301,0.864,0.6184000000000001,0.888,0.6522
40,5e-05,125.7435257434845,0.0002492952609885885,0.0004763736169382572,0.0007256688780045249,0.6631367451567667,0,0.4996594194839858,0.7792217555419406,0.864,0.6184000000000001,0.884,0.6511999999999999
41,5e-05,131.40860843658447,0.00024959634855580996,0.0004768499981191878,0.0007264463450955194,0.662552148103714,0,0.49851951734875444,0.7784528056709792,0.864,0.6184000000000001,0.892,0.6531999999999999
42,5e-05,143.18502473831177,0.0002503535162170295,0.0004767183253990678,0.0007270718419268144,0.6626341736401528,0,0.4989574065836299,0.7785196565224183,0.864,0.6184000000000001,0.884,0.6519999999999999
43,5e-05,137.56700038909912,0.00024951781171396394,0.00047567703793682093,0.000725194850557043,0.6630041154890298,0,0.49943699955516013,0.7788288374812578,0.864,0.6184000000000001,0.888,0.6535999999999998
44,5e-05,118.84709978103638,0.00024940641524930557,0.0004750711684802123,0.0007244775837554109,0.6627736820232826,0,0.4991242215302491,0.7788913297695621,0.864,0.6184000000000001,0.892,0.6517999999999999
45,5e-05,120.23177671432495,0.0002505891488552644,0.0004761667010288195,0.0007267558509715936,0.6625478928411559,0,0.49889485097864766,0.7783151866066074,0.864,0.6184000000000001,0.892,0.6537999999999999
46,5e-05,120.87066197395325,0.00025065123934002123,0.00047648908203555557,0.0007271403212720045,0.6627238930544395,0,0.49877669039145905,0.7786558833622848,0.864,0.6184000000000001,0.888,0.6524
47,5e-05,121.96977758407593,0.0002492523971570944,0.0004746603208914684,0.0007239127193173241,0.6630447548267255,0,0.5007923709964412,0.7792023716235924,0.864,0.6184000000000001,0.892,0.6522
48,5e-05,146.26905298233032,0.0002496604655889605,0.0004745491780754961,0.0007242096435349912,0.6631695116966221,0,0.5010564946619217,0.779189976084699,0.864,0.6184000000000001,0.888,0.6516
49,5e-05,117.96111178398132,0.00024993329592611725,0.00047504271700020444,0.0007249760127450701,0.6628119096000847,0,0.49632312055160144,0.778905511114521,0.864,0.6184000000000001,0.884,0.6526000000000001
50,5e-05,119.49080991744995,0.0002503951069371927,0.00047443885767577197,0.0007248339650272541,0.6627985764016461,0,0.4987627891459075,0.7787795172891583,0.864,0.6184000000000001,0.888,0.6536
