dataset,method,rescue,hurt,net,rescue_intersect_OGL_rescue,oracle_cIoU,oracle_AUC
flickr_144k,T2_RAW_MEAN,0,0,0,0,0.9375,0.69375
flickr_144k,T2_RAW_GEO,0,0,0,0,0.9375,0.69375
flickr_144k,T4_RAW_MEAN,0,0,0,0,0.9375,0.6953125
flickr_144k,T4_RAW_GEO,0,0,0,0,0.9375,0.6953125
