dataset,model,display,audio_swap_spearman,audio_map_difference,audio_swap_pearson,audio_swap_cosine,top10_jaccard,GT_response,NearFP_response,GT_NearFP_gap,GT_vs_NearFP_AUROC,S_CF_GT_vs_NearFP_AUROC,AUD_matched_S_CF_GT_vs_NearFP_AUROC,RemoveFP,AddTP,RemoveTP,AddFP,precision,coverage,cIoU,AUC
vggss,original_1.3g_final,1.3G,0.9754615950822624,0.0002032787160715,0.9806626439094543,0.9999000430107116,0.8187680940059306,0.7979034993124157,0.7861899683628176,0.0149744018604015,0.5919623857614168,0.522942003950785,0.49994010287963,0.0,0.0,0.0,0.0,0.4964387039945127,0.8677180259190166,0.4269096549050019,0.4229740209383482
vggss,cram_c3_stage1,8.7-S1,0.9733650007712136,0.0003328395541757,0.9791982769966124,0.9997593760490416,0.8191670720897127,0.7309336136763552,0.7034150089771289,0.0304102544802163,0.5901137203816287,0.5351194739226237,0.5007600764820488,4845.657813105855,351.7002714230322,2300.5252035672743,953.176424970919,0.5441795946042858,0.7577253384851914,0.3912369135323769,0.4132318728189221
vggss,cram_c3_stage2,8.7-S2,0.977938764432128,0.0002913419739343,0.9826261401176452,0.9998046159744264,0.8382755550800292,0.7630600732678217,0.7203488923293616,0.045514206909781,0.6255593936957632,0.5561120633527187,0.5092451894307701,3887.74098487786,441.61147731678943,1497.0044590926716,1053.7047305157037,0.5375669992972066,0.8109505163965264,0.4342768514928267,0.4296238852268321
flickr,original_1.3g_final,1.3G,0.9876314156834016,0.0001714904938125,0.992581307888031,0.9999356269836426,0.8455351315351315,0.8059670724868775,0.7639529941535672,0.0427062151885708,0.6600211886019148,0.5334268074427687,0.4877936588266347,0.0,0.0,0.0,0.0,0.644890094346536,0.9113650997263852,0.812,0.6356
flickr,cram_c3_stage1,8.7-S1,0.9860376530612246,0.0003033966640941,0.9908174872398376,0.9998133778572084,0.8350920745920746,0.7131541931629181,0.6253758674932395,0.0889044537959311,0.6731663717996365,0.5393263155765825,0.4789274506322261,5175.376,222.364,4656.144,355.06,0.7492012545570964,0.7655397488727091,0.864,0.6184000000000001
flickr,cram_c3_stage2,8.7-S2,0.989265955882774,0.000260296073975,0.9930059313774108,0.9998573064804076,0.8805698051948053,0.7562584300041199,0.658956853363678,0.0980745873711852,0.7078278416012178,0.5690455725491759,0.5090525860283335,4183.672,366.972,2734.844,529.024,0.7256452877149907,0.8369354929139093,0.896,0.6532
