comparison,metric,left_n,left_mean,left_median,left_p10,left_p25,left_p75,left_p90,left_bootstrap_mean_ci_low,left_bootstrap_mean_ci_high,right_n,right_mean,right_median,right_p10,right_p25,right_p75,right_p90,right_bootstrap_mean_ci_low,right_bootstrap_mean_ci_high,mean_diff_left_minus_right,bootstrap_ci_low,bootstrap_ci_high,mannwhitney_p,rank_biserial
fixed Group-A vs non-Group-A,margin,428,3.1395857798464686e-05,1.7784836018108766e-05,-1.323308156315761e-05,5.100838109228784e-06,4.2722539546957705e-05,8.005595846047093e-05,2.520879313211241e-05,3.840148206100523e-05,4730,3.1762953796387274e-05,1.7658848491919347e-05,-1.4120556852503794e-05,2.9976362156958203e-06,4.353356223418814e-05,9.182917256109338e-05,2.9836975783363907e-05,3.3477770391575374e-05,-3.670959979225883e-07,-7.5680811232794555e-06,5.530111151582751e-06,0.6262282317592758,0.014195530615874086
fixed Group-A vs non-Group-A,violation,428,0.18691588785046728,0.0,0.0,0.0,0.0,1.0,0.15186915887850466,0.2266355140186916,4730,0.20465116279069767,0.0,0.0,0.0,0.0,1.0,0.19333509513742073,0.21575581395348836,-0.01773527494023039,-0.05447983145956415,0.021905860386082037,0.3825961822452417,-0.017735274940230417
fixed Group-A vs non-Group-A,softplus_loss,428,0.6931314833095351,0.6931382881814739,0.6931071533821186,0.6931258195183252,0.6931446301441431,0.6931537971226169,0.693127959181908,0.6931342438508312,4730,0.6931312997663357,0.6931383511746787,0.6931012670277394,0.6931254140157246,0.6931456817429607,0.6931542408632954,0.693130340790111,0.6931321721460344,1.8354319941682462e-07,-3.2477180052226107e-06,3.602755396298062e-06,0.6262282317592758,-0.014195530615873975
fixed Group-A vs non-Group-A,normalized_margin,428,0.2703659996495117,0.26074105338438625,-0.13382628187342294,0.06683459654497008,0.48387499095414055,0.6690481639719353,0.24135268915773517,0.2974078749678299,4730,0.25977964330670517,0.2612726751976566,-0.1496591024995079,0.04190399459326331,0.49400253594893373,0.6574016629369266,0.25093522727443285,0.2679555139701434,0.010586356342806524,-0.020569349287905055,0.03980678119565766,0.6823811450254602,0.011927249017012143
