scale,dataset,n,margin_mean,margin_median,violation_rate,softplus_loss_mean,normalized_margin_mean
10k,flickr,250,-5.3513081184064635e-09,-2.1120882820468766e-08,0.516,0.6931471832356638,-0.0037651915764264085
10k,vggss,5158,1.3595062917338389e-05,1.0785052040773735e-05,0.24311748739821637,0.6931403831675007,0.22143228959339772
144k,flickr,250,8.504232325547714e-06,4.893823700058422e-06,0.276,0.6931429284976357,0.1545740632794041
144k,vggss,5158,3.1732492941964856e-05,1.7699250065561497e-05,0.2031795269484296,0.6931313149963646,0.2606580769078531
