sample_id,sample_index,d_pos,d_neg_mean,d_neg_min,d_neg_max,margin,violation,softplus_loss,normalized_margin,group,delta_iou,aud_iou,ogl_iou,aud_precision,aud_coverage,aud_area,aud_gap,aud_auroc,aud_nearfp_response,auto_taxonomy
-0BIyqJj9ZU_000030,0,2.300675623700954e-05,3.0071244964346988e-05,1.9328434063936584e-05,4.0846083720680326e-05,7.064488727337448e-06,False,0.6931436483218201,0.13309635695287902,B_close,0.0240046788313939,0.3136286201022146,0.3376332989336085,0.3484234830992846,0.7584871649742126,0.5265266262755102,-0.0322335958480834,0.603729248046875,0.7809536457061768,OVER
-0UuUoXQUoI_000107,1,3.490945528028533e-05,0.00012743879779,3.303837002022192e-05,0.0002645318163558,9.252934250971468e-05,False,0.6931009169589003,0.5699435638504372,transition,-0.0594579888082277,0.4980217358641758,0.4385637470559481,0.5808750511127987,0.7773608565330505,0.3411790497448979,0.1573449373245239,0.8070220947265625,0.5612801313400269,GOOD
-2-wdcN5vOw_000017,2,1.9696279196068645e-05,2.3018885258352384e-05,1.903315569506958e-05,3.196104080416262e-05,3.3226060622837394e-06,False,0.6931455192582942,0.0777851619427556,transition,-0.0920751841115371,0.5716436205672997,0.4795684364557625,0.9252027426821204,0.599341630935669,0.5726044323979592,-0.0572890639305114,0.4625091552734375,0.6954874992370605,GOOD
-23CeprtibU_000030,3,1.7700269381748512e-05,2.871887249966676e-05,1.144141879194649e-05,3.623835436883383e-05,1.1018603117918246e-05,False,0.6931416712735625,0.23737196410685427,B_close,0.0311579279515494,0.4340978688831948,0.4652557968347442,0.4408899044717382,0.9657281637191772,0.6279695471938775,0.0386298894882202,0.6263275146484375,0.7906240224838257,OVER
-2Dm0VjW8oM_000001,4,5.9838753259100486e-06,6.447583518820466e-05,2.578285238996613e-05,0.0001285727630602,5.849195986229461e-05,False,0.6931179350076778,0.8301475922247755,B_close,0.0243790210718832,0.4794548579847753,0.5038338790566586,0.8538007433860506,0.5223381519317627,0.2734574298469387,0.0003489851951599,0.5066375732421875,0.6186996102333069,GOOD
-2sOH8XovEE_000484,5,4.0068185626296327e-05,4.8957364924717695e-05,2.7367914299247783e-05,7.408364035654813e-05,8.889179298421368e-06,False,0.6931427359801733,0.09984975261094149,B_close,0.0178654628449231,0.1281826471207126,0.1460481099656357,0.1281826471207126,1.0,0.5682796556122449,0.0928521156311035,0.81854248046875,0.8326283693313599,OVER
-3Kv4fdm7Uk_000030,6,9.942896576831116e-05,0.0003482575302768,0.000161975985975,0.0005441441899165,0.0002488285645084888,False,0.6930227740171478,0.5558098494166009,transition,0.0518522467240415,0.180714047380714,0.2325662941047556,0.1807924692058617,0.9976054430007936,0.597038424744898,0.1387081146240234,0.870941162109375,0.75400710105896,OVER
-4bPiXbovf0_000008,7,2.708511965465732e-05,3.781747227549204e-05,1.4532428394886663e-05,5.504542059497908e-05,1.0732352620834718e-05,False,0.6931418143980328,0.16536092221130957,A_ogl_help,0.1414490701800744,0.3759420395383551,0.5173911097184296,0.3948908180045126,0.8868086338043213,0.5211455676020408,0.0609093904495239,0.7322540283203125,0.7460476160049438,OVER
-5CGQGSFGyg_000060,8,7.621491386089474e-05,0.0001752667558321,7.023647776804864e-05,0.0002454686036799,9.905184197120525e-05,False,0.6930976558653682,0.39387300751682347,transition,0.0714634093930715,0.3322692652329749,0.4037326746260464,0.3322878745449454,0.99983149766922,0.3558474170918367,0.1549414992332458,0.8717193603515625,0.7276307940483093,OVER
-5z9IXBJefc_000227,9,2.270123877678997e-05,9.721527862893709e-05,1.0140866834262852e-05,0.0002663032209966,7.451403985214711e-05,False,0.693109924234062,0.6213826155295417,B_close,-0.004625755997691,0.2151230949589683,0.2104973389612772,0.30388341475532,0.4241303503513336,0.2406927614795918,-0.1579129099845886,0.32293701171875,0.6821200847625732,OVER
-79qo5MUYBk_000207,10,4.508713027462363e-05,0.0001492665360274,6.612137804040685e-05,0.0002170449442928,0.00010417940575277636,False,0.6930950922137376,0.5360300487198043,B_close,0.0043467900223333,0.3213632526730444,0.3257100426953778,0.3815987303708653,0.670605480670929,0.4772002551020408,-0.096325397491455,0.4031982421875,0.819283127784729,OVER
-7TanrCbmME_000030,11,7.137220381991938e-05,6.625937930948567e-05,3.537710290402174e-05,8.62065062392503e-05,-5.112824510433711e-06,True,0.6931497369754681,-0.037148627931409196,C_aud_better,-0.1042787957281514,0.2904568152395043,0.1861780195113528,0.3849736487314621,0.5419254899024963,0.3252152423469387,-0.1181173324584961,0.316192626953125,0.7293559312820435,OVER
-7sg--aJdrc_000049,12,2.1747835489804856e-05,2.5659276616352145e-05,1.1689810889947694e-05,4.1323353798361495e-05,3.911441126547288e-06,False,0.6931452248412945,0.08250747346265405,B_close,-0.0232340204396427,0.5195758804006226,0.4963418599609798,0.5411275274540394,0.9288039207458496,0.6515266262755102,0.0344582796096801,0.5876312255859375,0.7728080749511719,OVER
-7tYmeOmsRg_000058,13,9.129390491580123e-06,5.19605664521805e-05,3.554093564162031e-05,7.913487934274599e-05,4.2831175960600376e-05,False,0.6931257652012787,0.7011164748227643,B_close,-0.0425612709241974,0.1953726321611282,0.1528113612369308,0.1986969157213837,0.9211212396621704,0.4251833545918367,-0.02780282497406,0.468170166015625,0.8288476467132568,OVER
-7tYmeOmsRg_000180,14,9.293892071582376e-05,0.0001414374455634,8.477954543195665e-05,0.0001995001948671,4.849852484757626e-05,False,0.6931229315915348,0.2069258322013228,B_close,0.0279888099689283,0.2387918270654427,0.266780637034371,0.2387918270654427,1.0,0.3365154655612244,0.0601921081542968,0.66180419921875,0.7869806289672852,OVER
-86gl1hp1Aw_000105,15,2.1051733710919507e-05,2.1311581804184243e-05,1.4236073184292763e-05,4.053060547448695e-05,2.5984809326473624e-07,False,0.6931470506359071,0.006133799585122021,transition,0.0569897661048361,0.6475797224018706,0.7045694885067068,0.6658993247391037,0.9592483639717102,0.3895886479591837,0.1211745738983154,0.80255126953125,0.703649640083313,GOOD
