sample_index,sample_id,group,correction_type,area_AUD,area_IMG,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG
1019,A0dHhG6Y8C0_000030,IMG_ONLY,SHRINK,0.42807318239795916,0.29103555484693877,3.5968267929964877,1,1,8831.0,8498.0
1019,A0dHhG6Y8C0_000030,OGL_RESCUE,SHRINK,0.42807318239795916,0.29103555484693877,3.5968267929964877,1,1,8831.0,8498.0
1034,AA0Ekw6dlQo_000046,IMG_ONLY,SHRINK,0.3822743941326531,0.2712252869897959,13.889612507665012,1,1,9438.0,9425.0
1034,AA0Ekw6dlQo_000046,OGL_RESCUE,SHRINK,0.3822743941326531,0.2712252869897959,13.889612507665012,1,1,9438.0,9425.0
1035,AA0N8XMqx9s_000030,OGL_RESCUE,MIXED,0.5887675382653061,0.578125,1.694692682193782,1,1,12879.0,13073.0
1036,AAHybONa3n4_000150,OGL_RESCUE,MIXED,0.589225924744898,0.5529336734693877,1.5027582871909484,1,1,13091.0,13091.0
1045,ADtA2TMXVvo_000092,IMG_ONLY,SHRINK,0.3722297512755102,0.25404575892857145,34.48065219620927,1,2,7888.0,7856.0
1060,AK_xkz5nfIM_000089,OGL_RESCUE,MIXED,0.5036870216836735,0.4768614477040816,3.3716495667764548,2,2,10290.0,10180.0
1064,ALVS3Q_jNaU_000030,OGL_RESCUE,EXPAND,0.3381497130102041,0.644172512755102,21.73556474006165,1,1,7144.0,7144.0
1076,AQ3TnlK8dS8_000584,OGL_RESCUE,MIXED,0.6420998086734694,0.6329121492346939,7.496072649966706,1,1,15876.0,16276.0
1101,Ah-IBgwj2lg_000030,OGL_RESCUE,SHRINK,0.47092235331632654,0.38472576530612246,4.891579131120562,1,2,11584.0,11160.0
1105,Aiks9EreMFY_000171,IMG_ONLY,SHRINK,0.39194036989795916,0.2700294961734694,19.81782767293748,1,1,7723.0,7402.0
1110,AlnFwT2U1xM_000163,IMG_ONLY,SHRINK,0.6890545280612245,0.47060347576530615,4.59381811689049,1,1,15883.0,14856.0
1110,AlnFwT2U1xM_000163,OGL_RESCUE,SHRINK,0.6890545280612245,0.47060347576530615,4.59381811689049,1,1,15883.0,14856.0
1116,Aq58qBpVkv8_000160,OGL_RESCUE,SHRINK,0.7084263392857143,0.5410355548469388,6.01845863479279,1,1,15200.0,13292.0
1125,Atrj65qRrBo_000200,OGL_RESCUE,SHRINK,0.5648915816326531,0.4255420918367347,14.756882846971306,1,3,10026.0,9603.0
1142,B2d1f3VfiYA_000171,IMG_ONLY,SHRINK,0.47066326530612246,0.36949936224489793,14.589315157493562,1,1,11192.0,10227.0
1142,B2d1f3VfiYA_000171,OGL_RESCUE,SHRINK,0.47066326530612246,0.36949936224489793,14.589315157493562,1,1,11192.0,10227.0
1166,BFEeNJkKx6g_000030,IMG_ONLY,SHRINK,0.5659478635204082,0.49435985331632654,9.084678003606365,1,1,12870.0,12867.0
1166,BFEeNJkKx6g_000030,OGL_RESCUE,SHRINK,0.5659478635204082,0.49435985331632654,9.084678003606365,1,1,12870.0,12867.0
1168,BGtTepVOst4_000252,OGL_RESCUE,EXPAND,0.4284717793367347,0.4999402104591837,11.569473250194246,1,1,11056.0,12494.0
1176,BNrmXcZQ-p4_000030,IMG_ONLY,SHRINK,0.4756656568877551,0.35740194515306123,7.0883199866985285,1,1,9009.0,9008.0
1176,BNrmXcZQ-p4_000030,OGL_RESCUE,SHRINK,0.4756656568877551,0.35740194515306123,7.0883199866985285,1,1,9009.0,9008.0
1182,BR5NGmkK8w4_000056,IMG_ONLY,MIXED,0.6567083864795918,0.6089564732142857,1.929498956021483,1,1,15453.0,15453.0
1182,BR5NGmkK8w4_000056,OGL_RESCUE,MIXED,0.6567083864795918,0.6089564732142857,1.929498956021483,1,1,15453.0,15453.0
1187,BT2JPFpMrzM_000018,IMG_ONLY,SHRINK,0.5627590880102041,0.48965640943877553,9.175753685905727,1,1,13875.0,13774.0
