group,n,fraction,delta_iou,aud_iou,ogl_iou,aud_gt_response,ogl_gt_response,aud_nearfp_response,ogl_nearfp_response,aud_gap,ogl_gap,aud_auroc,ogl_auroc,aud_coverage,ogl_coverage,aud_precision,ogl_precision,aud_area,ogl_area,aud_entropy,ogl_entropy,AddTP,AddFP,RemoveTP,RemoveFP,gt_area_ratio,gt_components,delta_iou_mean,delta_iou_median,delta_iou_q1,delta_iou_q3,delta_iou_ci_low,delta_iou_ci_high,delta_iou_valid,aud_iou_mean,aud_iou_median,aud_iou_q1,aud_iou_q3,aud_iou_ci_low,aud_iou_ci_high,aud_iou_valid,ogl_iou_mean,ogl_iou_median,ogl_iou_q1,ogl_iou_q3,ogl_iou_ci_low,ogl_iou_ci_high,ogl_iou_valid,aud_gt_response_mean,aud_gt_response_median,aud_gt_response_q1,aud_gt_response_q3,aud_gt_response_ci_low,aud_gt_response_ci_high,aud_gt_response_valid,ogl_gt_response_mean,ogl_gt_response_median,ogl_gt_response_q1,ogl_gt_response_q3,ogl_gt_response_ci_low,ogl_gt_response_ci_high,ogl_gt_response_valid,aud_nearfp_response_mean,aud_nearfp_response_median,aud_nearfp_response_q1,aud_nearfp_response_q3,aud_nearfp_response_ci_low,aud_nearfp_response_ci_high,aud_nearfp_response_valid,ogl_nearfp_response_mean,ogl_nearfp_response_median,ogl_nearfp_response_q1,ogl_nearfp_response_q3,ogl_nearfp_response_ci_low,ogl_nearfp_response_ci_high,ogl_nearfp_response_valid,aud_gap_mean,aud_gap_median,aud_gap_q1,aud_gap_q3,aud_gap_ci_low,aud_gap_ci_high,aud_gap_valid,ogl_gap_mean,ogl_gap_median,ogl_gap_q1,ogl_gap_q3,ogl_gap_ci_low,ogl_gap_ci_high,ogl_gap_valid,aud_auroc_mean,aud_auroc_median,aud_auroc_q1,aud_auroc_q3,aud_auroc_ci_low,aud_auroc_ci_high,aud_auroc_valid,ogl_auroc_mean,ogl_auroc_median,ogl_auroc_q1,ogl_auroc_q3,ogl_auroc_ci_low,ogl_auroc_ci_high,ogl_auroc_valid,aud_coverage_mean,aud_coverage_median,aud_coverage_q1,aud_coverage_q3,aud_coverage_ci_low,aud_coverage_ci_high,aud_coverage_valid,ogl_coverage_mean,ogl_coverage_median,ogl_coverage_q1,ogl_coverage_q3,ogl_coverage_ci_low,ogl_coverage_ci_high,ogl_coverage_valid,aud_precision_mean,aud_precision_median,aud_precision_q1,aud_precision_q3,aud_precision_ci_low,aud_precision_ci_high,aud_precision_valid,ogl_precision_mean,ogl_precision_median,ogl_precision_q1,ogl_precision_q3,ogl_precision_ci_low,ogl_precision_ci_high,ogl_precision_valid,aud_area_mean,aud_area_median,aud_area_q1,aud_area_q3,aud_area_ci_low,aud_area_ci_high,aud_area_valid,ogl_area_mean,ogl_area_median,ogl_area_q1,ogl_area_q3,ogl_area_ci_low,ogl_area_ci_high,ogl_area_valid,aud_entropy_mean,aud_entropy_median,aud_entropy_q1,aud_entropy_q3,aud_entropy_ci_low,aud_entropy_ci_high,aud_entropy_valid,ogl_entropy_mean,ogl_entropy_median,ogl_entropy_q1,ogl_entropy_q3,ogl_entropy_ci_low,ogl_entropy_ci_high,ogl_entropy_valid,AddTP_mean,AddTP_median,AddTP_q1,AddTP_q3,AddTP_ci_low,AddTP_ci_high,AddTP_valid,AddFP_mean,AddFP_median,AddFP_q1,AddFP_q3,AddFP_ci_low,AddFP_ci_high,AddFP_valid,RemoveTP_mean,RemoveTP_median,RemoveTP_q1,RemoveTP_q3,RemoveTP_ci_low,RemoveTP_ci_high,RemoveTP_valid,RemoveFP_mean,RemoveFP_median,RemoveFP_q1,RemoveFP_q3,RemoveFP_ci_low,RemoveFP_ci_high,RemoveFP_valid,gt_area_ratio_mean,gt_area_ratio_median,gt_area_ratio_q1,gt_area_ratio_q3,gt_area_ratio_ci_low,gt_area_ratio_ci_high,gt_area_ratio_valid,gt_components_mean,gt_components_median,gt_components_q1,gt_components_q3,gt_components_ci_low,gt_components_ci_high,gt_components_valid
ALL,5158,1.0,0.010088515006904619,0.4297730128644223,0.4398615278713269,0.7630600732678217,0.739924810248766,0.7203488923293616,0.684374405841522,0.045514206909781016,0.0582963828911335,0.6255593936957632,0.6381994992545083,0.8109505163794929,0.7745673872038257,0.5375669992972066,0.5728226752618523,0.43028378031005926,0.37894041821180297,0.9902896264336003,0.9875934626510385,384.93718495540907,740.5321830166731,1049.0682435052345,2652.605661108957,0.31243964247013756,1.1128344319503685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_close,3099,0.600814269096549,,,,,,,,,,,,,,,,,,,,,,,,,,0.002912777010655541,0.0044894788505527305,-0.016100741588534404,0.023314948145998812,0.002025926598013669,0.003800860077750629,3099.0,0.4020753553321998,0.4325043828322836,0.18048673296483014,0.5983551470205186,0.39410994299685503,0.41038475057463636,3099.0,0.4049881323428553,0.43577212050477787,0.18533687228699175,0.5999953249314112,0.3968168650682093,0.41288656818688246,3099.0,0.7627392396893777,0.767168402671814,0.6971673965454102,0.8335384130477905,0.7591706967422144,0.7663957748907322,3097.0,0.7427251770933636,0.7389734983444214,0.6726499795913696,0.8173094987869263,0.7389964131843497,0.7465217914260276,3097.0,0.7252090596243221,0.731315016746521,0.6577835381031036,0.7985755503177643,0.721551876995266,0.7289186107196016,3054.0,0.6960956183967828,0.6992000341415405,0.6162441670894623,0.7790607064962387,0.6925564471071131,0.6998899575066707,3054.0,0.04035113783115332,0.04958799481391907,-0.013005584478378296,0.10168600082397461,0.037129577951165456,0.04340784933098446,3054.0,0.049377585548392756,0.0565054714679718,-0.006886199116706848,0.1143893375992775,0.04598804638863156,0.05297164288547668,3054.0,0.612382257486317,0.6282730102539062,0.4978828430175781,0.746795654296875,0.6059511854272439,0.6184199693606169,3054.0,0.6203173579624739,0.6355133056640625,0.505096435546875,0.7576026916503906,0.6142700283323533,0.626426470133572,3054.0,0.811294186280613,0.8471643924713135,0.6984347403049469,0.9853680729866028,0.8050292625140204,0.8176464361300398,3099.0,0.7788981817790138,0.7919028401374817,0.6566615402698517,0.9588760137557983,0.7723483249036611,0.7856893682558476,3099.0,0.5067724028888886,0.509433165913983,0.183658171274092,0.8148774714246021,0.49600450457862977,0.5183095624948849,3099.0,0.527883504111484,0.5321949097237328,0.19175379242619234,0.8585991569817979,0.5157404871706301,0.5391956115441917,3099.0,0.42266852817482264,0.4061702806122449,0.3242287149234694,0.5071647799744898,0.4179880893150913,0.4273234701427613,3099.0,0.38593162715836576,0.3697983099489796,0.290656887755102,0.46745455994897955,0.3815921811306808,0.3901372539747537,3099.0,0.989938312823975,0.9903447957688722,0.9877634330461698,0.9927493594642979,0.9898031123761131,0.9900762168619373,3099.0,0.9873352845316067,0.9879220367088153,0.984557920854384,0.9908939168942095,0.9871658012347468,0.9875040397321129,3099.0,318.1206840916425,24.0,0.0,379.0,298.29868505969665,340.0179493384963,3099.0,784.893191352049,235.0,6.0,1005.0,739.010148434979,831.4372055501775,3099.0,743.1458535011294,449.0,10.5,1161.0,713.0470877702485,773.4255808325266,3099.0,2203.1787673443046,1615.0,691.0,3004.0,2129.182639561149,2278.6889238464023,3099.0,0.2885921903399549,0.2366669323979592,0.08498086734693877,0.4372409119897959,0.2810424572365551,0.2971152233071502,3099.0,1.1400451758631818,1.0,1.0,1.0,1.1229428848015488,1.1581155211358503,3099.0
transition,1374,0.26638231872818924,,,,,,,,,,,,,,,,,,,,,,,,,,0.014454427536510241,0.05578001537464386,-0.06332493581697385,0.07416069995326494,0.01069398206053806,0.018319029254953104,1374.0,0.4658501649820455,0.4811060871380083,0.32556563862234367,0.601610179965191,0.45644469839257273,0.4752826980942688,1374.0,0.48030459251855573,0.4908081276776806,0.35616940194560065,0.6162416986779056,0.4717610582407845,0.48973353923782065,1374.0,0.7623476245300912,0.762237012386322,0.6965358555316925,0.8418739289045334,0.7571729033610619,0.7676049311120697,1374.0,0.7382213499348237,0.7427833080291748,0.6654586046934128,0.8194319605827332,0.7328964113847528,0.7437095412661848,1374.0,0.7138156805054418,0.7243844270706177,0.6553343236446381,0.7834684103727341,0.7087900515983901,0.7187670036108189,1344.0,0.6742782711960553,0.685267299413681,0.6095419973134995,0.74452243745327,0.6692248670212436,0.679547046871102,1344.0,0.05183957432884546,0.06763648986816406,-0.0023875683546066284,0.11962263286113739,0.046953725230525295,0.057069732147889816,1344.0,0.06722968550665039,0.08911162614822388,0.008388862013816833,0.13956570625305176,0.06156131994045739,0.07259383156418889,1344.0,0.6413047229604558,0.6589584350585938,0.5244922637939453,0.7817878723144531,0.6312767610995567,0.6508940239837098,1344.0,0.6574096434871601,0.6842269897460938,0.5365524291992188,0.8025398254394531,0.6474102274866234,0.6671748307839208,1344.0,0.8073072095863857,0.8305914998054504,0.6949243545532227,0.9703647494316101,0.7978150186962631,0.8163865223288362,1374.0,0.7712743601604505,0.7907424867153168,0.6361436247825623,0.948183000087738,0.7612372764391829,0.7812767828867555,1374.0,0.581897196252235,0.5731948719923396,0.3541539447685491,0.8363224679284242,0.567695672124539,0.5961590232147581,1374.0,0.6247952970865116,0.6328232309597603,0.38737555199891205,0.8774535275926635,0.6102623974328304,0.6388677498485572,1374.0,0.42913029106975764,0.411441725127551,0.32646085778061223,0.5183653539540816,0.4218171272927157,0.43620659245975274,1374.0,0.3722958649890087,0.3536551339285714,0.2806421396683673,0.4421984614158163,0.36634121436937905,0.3787925965666357,1374.0,0.9904003213515489,0.9909945421068436,0.9883273351517341,0.9930858855968306,0.9901979247547754,0.9906032862380328,1374.0,0.9875677306067768,0.9883020246505703,0.984740711575583,0.9911435414365845,0.9873208391110194,0.9878098081636141,1374.0,428.688500727802,28.0,0.0,438.75,386.6385371179039,475.2850254730713,1374.0,709.7933042212518,70.0,0.0,522.25,619.8368267831149,803.1910116448325,1374.0,1186.4112081513829,511.0,55.0,2060.0,1111.4917758369722,1262.3092066957786,1374.0,2803.7947598253277,2203.5,717.75,4045.5,2658.7653566229983,2949.1353347889376,1374.0,0.33998064803159256,0.27084661989795916,0.152034837372449,0.48828125,0.3276293309994235,0.35192424956728735,1374.0,1.0822416302765647,1.0,1.0,1.0,1.0633187772925765,1.1026200873362446,1374.0
A_ogl_help,428,0.08297789841023652,,,,,,,,,,,,,,,,,,,,,,,,,,0.1437617228627105,0.13030456129036544,0.11223961899443578,0.16502175974500582,0.1399855142116037,0.14762044369960028,428.0,0.4106387686996237,0.4120144098375048,0.3107994913449962,0.5152703930862301,0.39715914648931067,0.4244800478174413,428.0,0.5544004915623341,0.5630013918803985,0.4535013167721068,0.6567241273448625,0.5412996586473627,0.5676132686584356,428.0,0.7974234150252609,0.8230203986167908,0.7506804466247559,0.8705261647701263,0.7871113869648809,0.8068821473760861,428.0,0.7881382475389498,0.7951551675796509,0.7545906752347946,0.836227297782898,0.781634494338498,0.7944683194056014,428.0,0.7339069522182706,0.7413628101348877,0.6942631602287292,0.7874412536621094,0.726289030362113,0.7417132411082166,426.0,0.6742179200682842,0.6713572144508362,0.6275317221879959,0.7201528251171112,0.6676652782959558,0.6806490281133305,426.0,0.06492153355773066,0.0857449471950531,0.036115579307079315,0.12512187659740448,0.055439289318214,0.07388958679118625,426.0,0.1148168381670831,0.1312445104122162,0.08700127899646759,0.16925273835659027,0.1070857958964339,0.1225350979418262,426.0,0.6876037326164828,0.7244873046875,0.5993232727050781,0.8288497924804688,0.6699886912241844,0.7068088689473122,426.0,0.7578078878212356,0.7930221557617188,0.7021675109863281,0.8637962341308594,0.743565774949609,0.7728324678548957,426.0,0.8607506425616062,0.9531643986701965,0.7965431958436966,0.9997775107622147,0.8423204516965861,0.8804384181946168,428.0,0.884067249005643,0.9198684692382812,0.8238497376441956,0.9826304614543915,0.8722720861957173,0.8951586414180766,428.0,0.4652016291141341,0.4502126023144743,0.32291873766073903,0.5744119181826166,0.44673614755970736,0.48365568168756967,428.0,0.614296609902134,0.6294427551873387,0.4663583883089032,0.7349101026726864,0.5975430381757891,0.6308926318804254,428.0,0.45518173226504394,0.4385363520408163,0.35897640306122447,0.5495505819515306,0.44389691626595884,0.46769893689167397,428.0,0.347516461681051,0.32566366390306123,0.2666713169642857,0.39968809789540816,0.3376098784148954,0.3577010989075463,428.0,0.9914116691219859,0.9919576187916859,0.9897414189739382,0.9939746828996673,0.991080049898349,0.9917331700897065,428.0,0.9883118752061911,0.9892260672117725,0.9858966679368314,0.9914553958882613,0.9878970098578673,0.988741859756435,428.0,868.3317757009346,13.5,0.0,633.0,706.7266355140187,1031.6450934579439,428.0,268.85981308411215,16.5,0.0,264.0,215.37114485981309,329.011214953271,428.0,354.7920560747664,165.5,10.75,520.0,305.7847546728972,400.7358644859812,428.0,6184.612149532711,5905.5,3585.0,8354.25,5818.3441588785045,6564.8862149532715,428.0,0.2583006881198741,0.22043407206632654,0.15205974968112246,0.312873684630102,0.2443703653792855,0.2722280586354723,428.0,1.0397196261682242,1.0,1.0,1.0,1.0210280373831775,1.060747663551402,428.0
C_aud_better,257,0.049825513765025205,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14934060844674185,-0.13385146458314945,-0.16796280178358625,-0.1134717966134281,-0.15541698479278465,-0.1434610436852668,257.0,0.6027476828460466,0.6262885206972854,0.5216621712744437,0.7065327706853266,0.5837684591633723,0.6196583614759291,257.0,0.4534070743993047,0.4817422178690582,0.36681644479905934,0.5609499507565583,0.4347203941629452,0.4717399641250851,257.0,0.7135076058977773,0.7132151126861572,0.6716196537017822,0.7543635964393616,0.705595595757785,0.7210842048843547,257.0,0.6349927759819921,0.630228579044342,0.580812394618988,0.6728411316871643,0.6245038024414374,0.6457567513916743,257.0,0.673185355516069,0.6791226863861084,0.6084457039833069,0.7333970665931702,0.6606246296865531,0.6852211676686408,251.0,0.6130568152404876,0.6220468878746033,0.5311373770236969,0.6958495676517487,0.5985366758686375,0.6276871912151695,251.0,0.04152694795711107,0.04946333169937134,-0.028642207384109497,0.10851684212684631,0.029362399698016177,0.05358665520213989,251.0,0.02305309373544032,0.03076040744781494,-0.06529709696769714,0.11225003004074097,0.008056884226333572,0.03783616380268834,251.0,0.5962779716705635,0.6088104248046875,0.47322115123781383,0.724700927734375,0.5738183065984245,0.6184468816873578,251.0,0.5499144479706943,0.565826416015625,0.39953131424753285,0.70684814453125,0.5265494954132256,0.5727213938189724,251.0,0.7433490241779891,0.7461012601852417,0.6551246047019958,0.8290700912475586,0.7287024426176157,0.7590250049641624,257.0,0.5575928577015372,0.5437324047088623,0.46305418014526367,0.6394582390785217,0.5373881671541454,0.5785431609028798,257.0,0.7924119101591656,0.8643094696306669,0.7129816469683866,0.9529004106776181,0.7665058584879577,0.8178358550828935,257.0,0.7677847958138694,0.8828715365239295,0.6158198820656382,0.9783947449450888,0.7339713512237047,0.7987589902946082,257.0,0.4868138859386167,0.4689891581632653,0.3876953125,0.5941685267857143,0.4695167174968236,0.5031798051403805,257.0,0.3824941652852775,0.36240433673469385,0.3014389349489796,0.4541812818877551,0.3693627167777982,0.39612738646346185,257.0,0.9920654699679902,0.9923571237952608,0.9903626827374928,0.9943556180577409,0.9917093697315182,0.9924095620797949,257.0,0.9896478176990166,0.9896965473543814,0.987427369507653,0.9926155596522271,0.9891965418251308,0.9900611893889314,257.0,151.69649805447472,4.0,0.0,150.0,111.92801556420234,195.75710116731517,257.0,1155.4591439688716,18.0,0.0,805.0,865.8480544747082,1493.7426070038905,257.0,5159.941634241245,4952.0,3253.0,6875.0,4797.766926070039,5523.857587548638,257.0,1381.5603112840467,913.0,284.0,1956.0,1179.3998054474707,1611.262548638132,257.0,0.5429197396370999,0.5450414540816326,0.38008211096938777,0.7213010204081632,0.5155443519744352,0.5711504919027436,257.0,1.0700389105058365,1.0,1.0,1.0,1.038910505836576,1.105058365758755,257.0
