dataset,batch,weighted_loss,raw_loss,weight,weighted_loss_value,global_gradient_l2
vggss,0,info,0.7820175886154175,1.0,0.7820175886154175,76.10425396189174
vggss,0,rec_img,3.0919017791748047,0.1,0.30919018387794495,0.12346366845464382
vggss,0,rec_aud,0.8945462703704834,0.1,0.08945462852716446,0.10778680418846204
vggss,0,div_img,0.004150327295064926,0.1,0.0004150327295064926,0.05038193726706077
vggss,0,div_aud,0.007825730368494987,0.1,0.0007825730717740953,0.2335394405605452
vggss,0,att_space,2.6222151063848287e-05,100.0,0.0026222150772809982,0.2536984909763004
vggss,0,att_time,9.658264752943069e-05,100.0,0.009658264927566051,1.2173213352492565
vggss,1,info,0.8690288662910461,1.0,0.8690288662910461,90.69365268144767
vggss,1,rec_img,3.124296188354492,0.1,0.31242963671684265,0.10519231324050572
vggss,1,rec_aud,0.9113261699676514,0.1,0.09113261848688126,0.0933002661186315
vggss,1,div_img,0.005089432001113892,0.1,0.0005089432233944535,0.053630761781453345
vggss,1,div_aud,0.00967901200056076,0.1,0.000967901200056076,0.33573157533209685
vggss,1,att_space,2.5866904252325185e-05,100.0,0.0025866904761642218,0.42899994792897445
vggss,1,att_time,8.857852662913501e-05,100.0,0.008857852779328823,1.1636231271846758
vggss,2,info,0.6474650502204895,1.0,0.6474650502204895,70.47331347128511
vggss,2,rec_img,3.0928101539611816,0.1,0.30928102135658264,0.12550969053000446
vggss,2,rec_aud,0.895969808101654,0.1,0.08959697932004929,0.20512135842337118
vggss,2,div_img,0.003809221088886261,0.1,0.0003809221088886261,0.04566821740305357
vggss,2,div_aud,0.005681454204022884,0.1,0.0005681454204022884,0.22685855259928753
vggss,2,att_space,3.0099057767074555e-05,100.0,0.003009905805811286,0.5484704906232579
vggss,2,att_time,8.952707867138088e-05,100.0,0.00895270798355341,1.164499855107196
vggss,3,info,0.6226516962051392,1.0,0.6226516962051392,58.97148406458881
vggss,3,rec_img,3.1239140033721924,0.1,0.31239140033721924,0.1073557014320691
vggss,3,rec_aud,0.8997279405593872,0.1,0.08997279405593872,0.08277386571580582
vggss,3,div_img,0.0034286705777049065,0.1,0.0003428670752327889,0.03495025686495285
vggss,3,div_aud,0.006824670359492302,0.1,0.0006824670708738267,0.2877264788119006
vggss,3,att_space,2.802532799250912e-05,100.0,0.0028025328647345304,0.2540546298679538
vggss,3,att_time,9.052154928212985e-05,100.0,0.00905215460807085,1.3515953754549916
vggss,4,info,0.7588238716125488,1.0,0.7588238716125488,79.157673346405
vggss,4,rec_img,3.089547634124756,0.1,0.30895477533340454,0.10750081129570639
vggss,4,rec_aud,0.9018014669418335,0.1,0.09018015116453171,0.1015761797955925
vggss,4,div_img,0.004013046622276306,0.1,0.0004013046564068645,0.045944334081698734
vggss,4,div_aud,0.008031599223613739,0.1,0.0008031599572859704,0.28360513734553805
vggss,4,att_space,2.796838634822052e-05,100.0,0.0027968385256826878,0.483006073900175
vggss,4,att_time,9.305731509812176e-05,100.0,0.009305731393396854,1.1393404187679785
vggss,5,info,0.8992556929588318,1.0,0.8992556929588318,85.56211752466062
vggss,5,rec_img,3.1090075969696045,0.1,0.3109007775783539,0.10794299078729533
vggss,5,rec_aud,0.8966235518455505,0.1,0.08966235816478729,0.2870531577601749
vggss,5,div_img,0.003733554854989052,0.1,0.0003733554913196713,0.039746836324196705
vggss,5,div_aud,0.013137424364686012,0.1,0.00131374248303473,0.46296339922072005
vggss,5,att_space,2.8769673008355312e-05,100.0,0.002876967191696167,0.5159554454541936
vggss,5,att_time,9.189864795189351e-05,100.0,0.009189864620566368,1.2442212072573073
vggss,6,info,0.612155556678772,1.0,0.612155556678772,55.286868672116185
vggss,6,rec_img,3.078172206878662,0.1,0.3078172206878662,0.10579165001037968
vggss,6,rec_aud,0.9022961854934692,0.1,0.09022962301969528,0.08577450368470525
vggss,6,div_img,0.004694155417382717,0.1,0.0004694155359175056,0.04730330611532542
vggss,6,div_aud,0.01126718521118164,0.1,0.0011267185909673572,0.35347777315536205
vggss,6,att_space,2.8537737307487987e-05,100.0,0.0028537737671285868,0.2952042078506064
vggss,6,att_time,8.947498281486332e-05,100.0,0.00894749816507101,1.193147040383866
vggss,7,info,0.5580673217773438,1.0,0.5580673217773438,68.99047453784306
vggss,7,rec_img,3.1189634799957275,0.1,0.31189635396003723,0.10865689598986394
vggss,7,rec_aud,0.8974902629852295,0.1,0.08974903076887131,0.09809845874143686
vggss,7,div_img,0.0035421140491962433,0.1,0.00035421139909885824,0.040074411454102864
vggss,7,div_aud,0.006398581899702549,0.1,0.0006398581899702549,0.2849066759206203
vggss,7,att_space,2.8902299163746648e-05,100.0,0.0028902299236506224,0.4369978241407948
vggss,7,att_time,8.833438187139109e-05,100.0,0.008833438158035278,1.258063786183839
vggss,8,info,0.49268949031829834,1.0,0.49268949031829834,57.16560975807142
vggss,8,rec_img,3.1215903759002686,0.1,0.3121590316295624,0.11306985976054361
vggss,8,rec_aud,0.9037050008773804,0.1,0.09037049859762192,0.21407837531718366
vggss,8,div_img,0.003956515341997147,0.1,0.00039565152837894857,0.053229822054087855
vggss,8,div_aud,0.008316826075315475,0.1,0.0008316826424561441,0.3174300539323965
vggss,8,att_space,2.7713698727893643e-05,100.0,0.002771369880065322,0.45557539393818214
vggss,8,att_time,9.637618495617062e-05,100.0,0.009637618437409401,1.1575323707909084
vggss,9,info,0.590984582901001,1.0,0.590984582901001,69.38264455531947
vggss,9,rec_img,3.131472110748291,0.1,0.3131472170352936,0.10233039674951419
vggss,9,rec_aud,0.8989362120628357,0.1,0.08989362418651581,0.16653682776257056
vggss,9,div_img,0.0041085220873355865,0.1,0.00041085222619585693,0.053276072245396294
vggss,9,div_aud,0.009445633739233017,0.1,0.0009445633622817695,0.34668934349212527
vggss,9,att_space,2.5601964807719924e-05,100.0,0.0025601964443922043,0.9422979028507779
vggss,9,att_time,9.332827903563157e-05,100.0,0.009332828223705292,1.1939135105736636
vggss,10,info,0.7445258498191833,1.0,0.7445258498191833,80.19657113400045
vggss,10,rec_img,3.1004445552825928,0.1,0.31004446744918823,0.09873803508812694
vggss,10,rec_aud,0.9015500545501709,0.1,0.09015500545501709,0.2496477936154921
vggss,10,div_img,0.00443178229033947,0.1,0.000443178229033947,0.051859057394375414
vggss,10,div_aud,0.0075337570160627365,0.1,0.0007533757016062737,0.28343765379844654
vggss,10,att_space,2.902869164245203e-05,100.0,0.0029028691351413727,0.6904694781992123
vggss,10,att_time,8.556441025575623e-05,100.0,0.008556441403925419,1.1997781186006011
vggss,11,info,0.6079097986221313,1.0,0.6079097986221313,59.21520647683057
vggss,11,rec_img,3.1085946559906006,0.1,0.31085947155952454,0.12328840644313559
vggss,11,rec_aud,0.900410532951355,0.1,0.09004105627536774,0.10753338396403649
vggss,11,div_img,0.004161536693572998,0.1,0.0004161536635365337,0.05645860653729705
vggss,11,div_aud,0.01045801118016243,0.1,0.0010458010947331786,0.2878979851183004
vggss,11,att_space,2.7555441192816943e-05,100.0,0.0027555441483855247,0.1858977582873691
vggss,11,att_time,9.529572707833722e-05,100.0,0.009529572911560535,1.0865885958308652
vggss,12,info,0.5306582450866699,1.0,0.5306582450866699,65.33140190144609
vggss,12,rec_img,3.128169298171997,0.1,0.31281694769859314,0.10779231506760775
vggss,12,rec_aud,0.897972583770752,0.1,0.0897972583770752,0.2303094312702555
vggss,12,div_img,0.004255848005414009,0.1,0.0004255848180036992,0.048172173406185737
vggss,12,div_aud,0.009047575294971466,0.1,0.0009047575294971466,0.28409187993102253
vggss,12,att_space,3.0060136850806884e-05,100.0,0.0030060135759413242,0.5333867807693379
vggss,12,att_time,8.608568896306679e-05,100.0,0.008608568459749222,1.2887374208307985
vggss,13,info,0.5989078283309937,1.0,0.5989078283309937,73.07816028985673
vggss,13,rec_img,3.1054108142852783,0.1,0.3105410933494568,0.11443262775818813
vggss,13,rec_aud,0.9004243612289429,0.1,0.09004243463277817,0.2791204145935981
vggss,13,div_img,0.004018909297883511,0.1,0.00040189092396758497,0.05547278152828197
vggss,13,div_aud,0.008647449314594269,0.1,0.0008647449431009591,0.3418114642062401
vggss,13,att_space,2.6510999305173755e-05,100.0,0.0026511000469326973,0.47836279129733333
vggss,13,att_time,8.578379492973909e-05,100.0,0.008578379638493061,1.093610123705934
vggss,14,info,0.6733968257904053,1.0,0.6733968257904053,70.91536510869557
vggss,14,rec_img,3.0865671634674072,0.1,0.3086567223072052,0.10607991719287833
vggss,14,rec_aud,0.8980956077575684,0.1,0.08980955928564072,0.07407462164335182
vggss,14,div_img,0.004459569230675697,0.1,0.00044595691724680364,0.04994118576453071
vggss,14,div_aud,0.008772358298301697,0.1,0.0008772358414717019,0.2979430156145324
vggss,14,att_space,2.7482012228574604e-05,100.0,0.002748201135545969,0.4106134709440737
vggss,14,att_time,9.176419553114101e-05,100.0,0.009176419116556644,1.024522200296708
vggss,15,info,0.5845059156417847,1.0,0.5845059156417847,65.45524054946249
vggss,15,rec_img,3.135969400405884,0.1,0.3135969340801239,0.12544242481036177
vggss,15,rec_aud,0.8973554372787476,0.1,0.08973554521799088,0.12054635389498597
vggss,15,div_img,0.004397984594106674,0.1,0.0004397984594106674,0.05619290722131127
vggss,15,div_aud,0.0051079243421554565,0.1,0.0005107924225740135,0.2510515294868216
vggss,15,att_space,2.8092741558793932e-05,100.0,0.0028092742431908846,0.38807788395299564
vggss,15,att_time,8.96131678018719e-05,100.0,0.008961317129433155,1.180262238903387
vggss,16,info,0.7187527418136597,1.0,0.7187527418136597,75.63267814196766
vggss,16,rec_img,3.0870585441589355,0.1,0.3087058663368225,0.11873489267579507
vggss,16,rec_aud,0.9087157845497131,0.1,0.09087157994508743,0.10248701922281502
vggss,16,div_img,0.005417032167315483,0.1,0.0005417032516561449,0.054488506078294606
vggss,16,div_aud,0.00791073590517044,0.1,0.0007910736021585763,0.23878799183076843
vggss,16,att_space,3.002945231855847e-05,100.0,0.0030029453337192535,0.19061196167786093
vggss,16,att_time,9.110003884416074e-05,100.0,0.00911000370979309,1.3094401390326835
vggss,17,info,0.7365887761116028,1.0,0.7365887761116028,72.11024749432674
vggss,17,rec_img,3.0972158908843994,0.1,0.30972158908843994,0.11399570842123423
vggss,17,rec_aud,0.9002805948257446,0.1,0.0900280624628067,0.09179268171732469
vggss,17,div_img,0.0037485379725694656,0.1,0.00037485381471924484,0.0468836441555167
vggss,17,div_aud,0.01080620288848877,0.1,0.0010806203354150057,0.28957750446571895
vggss,17,att_space,2.9623512091347948e-05,100.0,0.0029623513109982014,0.2534250897447544
vggss,17,att_time,0.00010279116395395249,100.0,0.010279116220772266,1.308373899891071
vggss,18,info,0.38954633474349976,1.0,0.38954633474349976,45.198953223086406
vggss,18,rec_img,3.1034507751464844,0.1,0.3103450834751129,0.10566081361203764
vggss,18,rec_aud,0.9024637937545776,0.1,0.09024637937545776,0.15847264444523518
vggss,18,div_img,0.0037510544061660767,0.1,0.00037510544643737376,0.03929588249815779
vggss,18,div_aud,0.008729800581932068,0.1,0.0008729800465516746,0.2981012141321836
vggss,18,att_space,3.0464276278507896e-05,100.0,0.003046427620574832,0.2731459507245339
vggss,18,att_time,8.476719085592777e-05,100.0,0.00847671926021576,1.2160237624394932
vggss,19,info,0.5618525743484497,1.0,0.5618525743484497,58.01912438996534
vggss,19,rec_img,3.128688097000122,0.1,0.31286880373954773,0.10559186084013072
vggss,19,rec_aud,0.8981142044067383,0.1,0.08981142193078995,0.10127945893995706
vggss,19,div_img,0.005667302757501602,0.1,0.0005667302757501602,0.052668000783168654
vggss,19,div_aud,0.007626768201589584,0.1,0.0007626768201589584,0.19183922667884648
vggss,19,att_space,2.857736217265483e-05,100.0,0.002857736311852932,0.2060378857961911
vggss,19,att_time,8.63160312292166e-05,100.0,0.008631602860987186,1.0239725685251588
