dataset,metric,n,mean,median,p25,p75,ci_low,ci_high
vggss_144k,positive_excess_total_mass,5158,2992.308416853953,2721.1722412109375,1700.2861328125,3977.13330078125,2948.485198400667,3040.876646783621
vggss_144k,positive_excess_aud_mass_ratio,5158,0.10873169833391585,0.100233469158411,0.06347159110009667,0.14482095465064043,0.10713693384675634,0.11040160703761819
vggss_144k,excess_gt_ratio,5158,0.2626352624344956,0.17468221485614774,0.061394030228257124,0.3989818692207336,0.2559379538572611,0.26926851116829786
vggss_144k,excess_nearfp_ratio,5158,0.0032791713245729466,0.0029216365655884,0.001417973806383,0.004551691818051,0.0032076866612772603,0.003352254117196521
vggss_144k,excess_bg_ratio,5158,0.734085568277972,0.8218950033187866,0.5973155200481415,0.9354611784219743,0.7271697970187478,0.7409731200442955
vggss_144k,excess_fp_ratio,5158,0.7373647394256226,0.8253178000450134,0.6010180711746216,0.9386060237884521,0.730368125930677,0.7443281823121773
vggss_144k,overlap_removefp_excess,5158,0.6011467632757647,0.6729731189966857,0.2994522061219276,0.9407066959760495,0.5917639789817345,0.6107207934721318
vggss_144k,overlap_removetp_excess,5158,0.5529985814708209,0.6558899769585254,0.001083995241932375,0.995351752677702,0.5417292681368111,0.5648428081131436
vggss_144k,excess_precision_removefp,5158,0.04566858993755084,0.0260323987878297,0.0071990208096268,0.06392208423216234,0.0440413400278507,0.04727358937833248
vggss_144k,excess_precision_removetp,5158,0.01944708563896004,0.007031709727986351,2.1124301171962775e-05,0.025338201178457975,0.018593188324603,0.020233730587436983
flickr_144k,positive_excess_total_mass,250,3559.4458767089845,3340.9442138671875,2328.6848754882812,4567.3768310546875,3353.7906784606935,3779.6947944519043
flickr_144k,positive_excess_aud_mass_ratio,250,0.11786734735220668,0.11071677878499026,0.0795975662767887,0.1505343653261661,0.11150120176523921,0.12493173881582914
flickr_144k,excess_gt_ratio,250,0.4637161711603403,0.4632884711027145,0.2873817756772041,0.6211591511964798,0.43614262720309194,0.4900625032164156
flickr_144k,excess_nearfp_ratio,250,0.003920067693754339,0.0036225554067641002,0.002214041363913525,0.005375573178753175,0.0036404918223153287,0.004216105864504919
flickr_144k,excess_bg_ratio,250,0.532363758767955,0.5349622368812561,0.376609481871128,0.706783801317215,0.5063277774333256,0.558685143560497
flickr_144k,excess_fp_ratio,250,0.5362838238067925,0.5367114841938019,0.37884076684713364,0.7126183062791824,0.5089109655193984,0.5617007495926692
flickr_144k,overlap_removefp_excess,250,0.6865351974236614,0.7983398380272612,0.4838308739982237,0.9985700464641657,0.6467108850645105,0.7261050949172432
flickr_144k,overlap_removetp_excess,250,0.7537230343812693,0.8450733143472438,0.6156758124832131,0.9944903184201985,0.7180519227553978,0.7895083459912517
flickr_144k,excess_precision_removefp,250,0.04132985235026158,0.0285546594732521,0.00864147026934785,0.05998430219066985,0.036001430193685256,0.04691590149096319
flickr_144k,excess_precision_removetp,250,0.048592136834580274,0.04297227029473055,0.015689190680888025,0.07123858725282906,0.043836816208046234,0.053335901829939185
