dataset,subset,n,positive_excess_total_mass,positive_excess_aud_mass_ratio,excess_gt_ratio,excess_nearfp_ratio,excess_bg_ratio,excess_fp_ratio,overlap_removefp_excess,overlap_removetp_excess,excess_precision_removefp,excess_precision_removetp
vggss,all,5158,2992.308416853953,0.10873169833391585,0.2626352624344956,0.0032791713245729466,0.734085568277972,0.7373647394256226,0.6011467632757647,0.5529985814708209,0.04566858993755084,0.01944708563896004
vggss,groupA,428,3134.565950768016,0.11032965639660515,0.2072334089276988,0.0031358659163380587,0.7896307253444167,0.7927665925697884,0.6440289651852749,0.5365541661407465,0.11053441482991296,0.006517780704514184
vggss,ogl_help,428,3134.565950768016,0.11032965639660515,0.2072334089276988,0.0031358659163380587,0.7896307253444167,0.7927665925697884,0.6440289651852749,0.5365541661407465,0.11053441482991296,0.006517780704514184
vggss,aud_better,257,3162.121019623159,0.10902156919813513,0.4941983854731976,0.0037650609240819704,0.502036555132064,0.5058016153451069,0.6065119277712474,0.682808297649876,0.023952441265236272,0.09743842355726984
flickr,all,250,3559.4458767089845,0.11786734735220668,0.4637161711603403,0.003920067693754339,0.532363758767955,0.5362838238067925,0.6865351974236614,0.7537230343812693,0.04132985235026158,0.048592136834580274
flickr,ogl_help,25,3750.5639208984376,0.12576772779226297,0.2623524744808674,0.0036727811396121564,0.733974746465683,0.7376475286483765,0.7647863267956203,0.7689970150051955,0.12264745984061794,0.01551944311107132
flickr,aud_better,32,3616.7527618408203,0.11482941999565804,0.5629217498935759,0.004289037366106588,0.43278920280135935,0.43707824024022557,0.7663721664199727,0.7907174499644749,0.01663784121277531,0.10712518099219766
