dataset,model,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,original_1.3g_final,gt_response,0.7979034993124157,0.806538850069046,0.7369124889373779,0.8705896139144897,0.13367712497711182,0.7951484836106202,0.8005574959461036,5156
vggss,original_1.3g_final,nearfp_response,0.7861899683628176,0.7905629277229309,0.7422546148300171,0.8347292542457581,0.09247463941574097,0.7842471327121034,0.7879791619795297,5075
vggss,original_1.3g_final,gt_nearfp_gap,0.014974401860401549,0.029069066047668457,-0.029822885990142822,0.07226046919822693,0.10208335518836975,0.012724512357576727,0.017159087984139107,5075
vggss,original_1.3g_final,gt_vs_nearfp_auroc,0.5919623857614168,0.61248779296875,0.4657783508300781,0.7382659912109375,0.2724876403808594,0.5863811903447619,0.5976494607684466,5075
vggss,original_1.3g_final,coverage,0.8677180259190166,0.9262695172611374,0.7853445513582873,1.0,0.2146554486417127,0.8633651967260063,0.8724880030063842,5158
vggss,original_1.3g_final,precision,0.49643870399451273,0.481153641093786,0.23492228654267283,0.7576722025462322,0.5227499160035594,0.4885655740390977,0.504411297493878,5158
vggss,original_1.3g_final,background_response,0.5046125020336805,0.5072184801101685,0.43807895481586456,0.5769925713539124,0.1389136165380478,0.5019613316756331,0.5072275465374919,5155
vggss,original_1.3g_final,pred_area_ratio,0.507799509665489,0.5037667410714286,0.4017608019770408,0.6106654575892858,0.20890465561224503,0.5040174248722821,0.5115003760821621,5158
vggss,original_1.3g_final,fp_area_ratio,0.2572118341962851,0.23678651147959184,0.11464644451530612,0.3784329161352041,0.263786471619898,0.2526037044832898,0.2621093439924347,5158
vggss,original_1.3g_final,RemoveFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,original_1.3g_final,RemoveTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,original_1.3g_final,AddTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,original_1.3g_final,AddFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,original_1.3g_final,entropy,5.276241165764202,5.276531065600798,5.275675410886631,5.27712341238808,0.001448001501448637,5.276207107712383,5.276275803420282,5158
vggss,original_1.3g_final,normalized_entropy,0.9996450449474343,0.9996999698316615,0.9995378561283015,0.9998121967963118,0.0002743406680103533,0.9996383858053416,0.999651231347477,5158
vggss,original_1.3g_final,iou,0.42293380826945803,0.43595364229843075,0.2301054130055559,0.6138491747525567,0.38374376174700087,0.41679678148897775,0.4289430703113887,5158
vggss,original_1.3g_final,raw_range,0.0013008106032894875,0.0012775645591318607,0.00107627606485039,0.0015013458905741572,0.0004250698257237673,0.001291814516511758,0.0013093151383915087,5158
vggss,cram_c3_stage1,gt_response,0.7309336136763552,0.7336704432964325,0.6537777632474899,0.8173402100801468,0.16356244683265686,0.7277668597166556,0.7339180464479896,5156
vggss,cram_c3_stage1,nearfp_response,0.7034150089771289,0.7147889137268066,0.6343256235122681,0.7796477377414703,0.14532211422920227,0.7004249571348206,0.7064072735253814,5075
vggss,cram_c3_stage1,gt_nearfp_gap,0.030410254480216302,0.0415952205657959,-0.030099540948867798,0.10165911912918091,0.1317586600780487,0.027550670491357152,0.03331424154979842,5075
vggss,cram_c3_stage1,gt_vs_nearfp_auroc,0.5901137203816287,0.603759765625,0.4730987548828125,0.7250518798828125,0.251953125,0.585019434920197,0.595000343302492,5075
vggss,cram_c3_stage1,coverage,0.7577253384851914,0.7772024728337438,0.6215114312770563,0.9502360435769711,0.3287246122999148,0.7521729347273648,0.7632891939151676,5158
vggss,cram_c3_stage1,precision,0.5441795946042858,0.5522217283534485,0.27455103665942104,0.8267055121679261,0.552154475508505,0.5360589758755852,0.5524200744645382,5158
vggss,cram_c3_stage1,background_response,0.41308612698322356,0.41339653730392456,0.34104034304618835,0.4843248575925827,0.14328451454639435,0.4103551113653917,0.4157730298787067,5155
vggss,cram_c3_stage1,pred_area_ratio,0.3913831687798229,0.37588687818877553,0.30416434151785715,0.4657655054209184,0.16160116390306123,0.3880799405789179,0.3944375189600153,5158
vggss,cram_c3_stage1,fp_area_ratio,0.1796352759187234,0.15730628188775508,0.06196687659438775,0.2709113919005102,0.20894451530612246,0.17578327273650107,0.18326091131686412,5158
vggss,cram_c3_stage1,RemoveFP,4845.657813105855,3876.0,1623.5,6962.5,5339.0,4731.517506785576,4960.294663629314,5158
vggss,cram_c3_stage1,RemoveTP,2300.5252035672743,1170.5,159.0,3287.75,3128.75,2219.4255816207833,2385.786152578519,5158
vggss,cram_c3_stage1,AddTP,351.7002714230322,0.0,0.0,157.0,157.0,323.6409800310198,382.21370686312525,5158
