dataset,model,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,coverage,precision,background_response,pred_area_ratio,fp_area_ratio,RemoveFP,RemoveTP,AddTP,AddFP,entropy,normalized_entropy,iou,raw_range,cIoU,AUC,swap_rho,swap_mae
vggss,original_1.3g_final,0.7979034993124157,0.7861899683628176,0.014974401860401549,0.5919623857614168,0.8677180259190166,0.49643870399451273,0.5046125020336805,0.507799509665489,0.2572118341962851,0.0,0.0,0.0,0.0,5.276241165764202,0.9996450449474343,0.42293380826945803,0.0013008106032894875,0.42690965490500193,0.4229740209383482,0.9754615950822624,0.00020327871607150882
vggss,cram_c3_stage1,0.7309336136763552,0.7034150089771289,0.030410254480216302,0.5901137203816287,0.7577253384851914,0.5441795946042858,0.41308612698322356,0.3913831687798229,0.1796352759187234,4845.657813105855,2300.5252035672743,351.7002714230322,953.176424970919,3.8874180545553663,0.998868847167122,0.41282245599816375,0.007167431782099074,0.3912369135323769,0.4132318728189221,0.9733650007712137,0.0003328395541757345
vggss,cram_c3_stage2,0.7630600732678217,0.7203488923293616,0.045514206909781016,0.6255593936957632,0.8109505163965264,0.5375669992972066,0.4559084708169175,0.43028378031005926,0.2007299254279067,3887.74098487786,1497.0044590926716,441.61147731678943,1053.7047305157037,5.27423893660198,0.9992656994251236,0.4297730128644223,0.001847050325558985,0.4342768514928267,0.4296238852268321,0.9779387644321281,0.0002913419739343226
vggss,short_step000,0.7305637703958503,0.7022879808612645,0.031249542444797572,0.5936013639656309,0.7520205079806941,0.5456460238045814,0.4041739670182176,0.3866556491216834,0.1769067763210606,4957.259790616518,2387.763474214812,338.63571151609153,927.8732066692517,5.273987020542762,0.9992179710077846,0.4120342321273628,0.0016795944027691507,0.38813493602171384,0.4126308646762311,0.9730532632389203,0.000315655255690217
vggss,short_step016,0.7376513873841801,0.7088116858774806,0.031747178564517954,0.5961573505418526,0.7641551435523126,0.5389743548963541,0.4168567074735574,0.39974090348927965,0.18545459030355063,4667.561264055836,2206.9854594804187,385.5283055447848,1067.06979449399,5.27427345664862,0.9992722396480763,0.4129659053213846,0.0016475820894229951,0.3931756494765413,0.41342574641333846,0.9717802375491191,0.00031162009690888226
vggss,short_step064,0.7507769693934797,0.7177396361170144,0.03585512802518647,0.6066212593374274,0.7862355076812532,0.5309335810415463,0.43700833542328454,0.419392277376732,0.19772583909060423,4252.358084528887,1911.1560682435052,460.00407134548277,1267.5887941062426,5.274698717189439,0.9993528101866632,0.41640125245190296,0.0016082825994381941,0.3989918573090345,0.41629507561070184,0.969687222603028,0.0003030277439393103
vggss,lambda025k_best,0.737662045483075,0.7035923420619494,0.0365896157942382,0.5978643418207754,0.7763495446063451,0.5276396416879305,0.4538618058804513,0.4193790552099573,0.20134843845205785,4458.770259790616,2156.9145017448623,523.3315238464521,1655.7685149282668,5.2749757301150195,0.9994052934962284,0.4079871751650881,0.0016709746652166855,0.3790228770841411,0.40807483520744475,0.8201694705310213,0.0006092069670557976
vggss,lambda025k_latest,0.43101724055129675,0.418999669375678,0.01289581082577776,0.5808512964092013,0.21336674804115185,0.2240927013294108,0.3519632142929633,0.15006941367085805,0.08981770750904083,10521.331136099263,9858.243892981776,307.94629701434667,2122.163435440093,5.267901355848122,0.9980649712933891,0.11318049589953365,0.005175812464039852,0.07270259790616518,0.1271132221791392,0.6730092742936107,0.0013099720235913992
vggss,lambda050k_best,0.6594007400553052,0.6383717829488181,0.022931106509686692,0.5657846600412331,0.6336339815118733,0.4362211938241628,0.4942809651666307,0.43367268888580063,0.24838346453596952,5373.80418766964,4159.229546335789,882.8144629701435,4930.831911593641,5.274994598561233,0.9994088683420648,0.29901402435062974,0.0020002202158750475,0.20763861962000776,0.30093059325319893,0.7483409354532112,0.0009125338401645422
vggss,lambda050k_latest,0.350066765765692,0.3411054228400362,0.009386725896978613,0.59556807182145,0.17191001719408197,0.15860397643157845,0.3115290170410787,0.13765011680018555,0.09145743392718661,10778.617875145404,10547.276657619232,291.5535091120589,2461.7250872431173,5.253690359231713,0.9953725332669515,0.07834928057935311,0.008181044121869428,0.05195812330360605,0.09504652966265995,0.9274282163124135,0.001132954959757626
