dataset,model,reference,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,original_1.3g_final,cram_c3_stage2,gt_nearfp_gap,-0.030539805049379472,-0.024577438831329346,-0.057928234338760376,0.0029718875885009766,0.06090012192726135,-0.03198449115154191,-0.029041161507368088,5075
vggss,original_1.3g_final,cram_c3_stage2,gt_vs_nearfp_auroc,-0.03359700793434633,-0.0181121826171875,-0.08637237548828125,0.03414154052734375,0.120513916015625,-0.03675199146888672,-0.030349025182795523,5075
vggss,original_1.3g_final,cram_c3_stage2,coverage,0.05676750952249015,0.03566769083635768,0.0,0.11189970671633498,0.11189970671633498,0.05374658002604262,0.060003651350126065,5158
vggss,original_1.3g_final,cram_c3_stage2,precision,-0.041128295302693824,-0.028273121617488517,-0.08142077286478605,0.0001875399709052564,0.08160831283569131,-0.043265160903950106,-0.039041598612024615,5158
vggss,original_1.3g_final,cram_c3_stage2,pred_area_ratio,0.07751572935542965,0.07471699617346939,0.016905492665816334,0.13904057716836737,0.12213508450255103,0.07472373177010176,0.08017059361671189,5158
vggss,original_1.3g_final,cram_c3_stage2,gt_response,0.03484342604459396,0.03530353307723999,0.002485990524291992,0.06899450719356537,0.06650851666927338,0.03325936985530878,0.0363838225760612,5156
vggss,original_1.3g_final,cram_c3_stage2,nearfp_response,0.06584107603345599,0.061829447746276855,0.020909667015075684,0.10596448183059692,0.08505481481552124,0.06396793859389616,0.06770484395538058,5075
vggss,original_1.3g_final,short_step000,gt_nearfp_gap,-0.016275140584396025,-0.011736690998077393,-0.05388292670249939,0.026347845792770386,0.08023077249526978,-0.018244633723876157,-0.014262942243973023,5075
vggss,original_1.3g_final,short_step000,gt_vs_nearfp_auroc,-0.0016389782042140462,0.011138916015625,-0.06341552734375,0.07298660278320312,0.13640213012695312,-0.005286129672128402,0.0019047519264484764,5075
vggss,original_1.3g_final,short_step000,coverage,0.11569751793832264,0.08770223036941888,0.0018035191009886098,0.19074066049470828,0.18893714139371967,0.1114407669020382,0.11993521614576372,5158
vggss,original_1.3g_final,short_step000,precision,-0.04920731981006866,-0.03399220618985627,-0.0956970813167611,0.002760211569338814,0.09845729288609992,-0.05168609856334583,-0.046820133229862206,5158
vggss,original_1.3g_final,short_step000,pred_area_ratio,0.12114386054380555,0.11155731823979595,0.044867067920918394,0.193115234375,0.14824816645408162,0.11793851520893835,0.12435765655107285,5158
vggss,original_1.3g_final,short_step000,gt_response,0.06733972891656533,0.06142580509185791,0.017007306218147278,0.11037859320640564,0.09337128698825836,0.06521692139120401,0.06952607725501997,5156
vggss,original_1.3g_final,short_step000,nearfp_response,0.08390198750155313,0.07316446304321289,0.02066493034362793,0.1389746367931366,0.11830970644950867,0.08133006836716178,0.0864410257362967,5075
vggss,cram_c3_stage1,cram_c3_stage2,gt_nearfp_gap,-0.015103952429564716,-0.01431185007095337,-0.030947059392929077,0.0014101862907409668,0.032357245683670044,-0.015853541295590072,-0.014395548584279168,5075
vggss,cram_c3_stage1,cram_c3_stage2,gt_vs_nearfp_auroc,-0.03544567331413444,-0.0295867919921875,-0.06005096435546875,-0.00368499755859375,0.056365966796875,-0.036974677010994515,-0.033911194605835415,5075
vggss,cram_c3_stage1,cram_c3_stage2,coverage,-0.05322517791133502,-0.031145164625679123,-0.0800559411566874,0.0,0.0800559411566874,-0.05549571617360386,-0.05100608612507382,5158
vggss,cram_c3_stage1,cram_c3_stage2,precision,0.006612595307079078,0.001809280814247416,-0.011962109114845403,0.02205474185355928,0.034016850968404684,0.005541252799384558,0.007611039206303603,5158
vggss,cram_c3_stage1,cram_c3_stage2,pred_area_ratio,-0.03890061153023637,-0.030383051658163268,-0.06862344547193881,-0.00036371970663263975,0.06825972576530617,-0.04054701375160984,-0.03730848413970571,5158
vggss,cram_c3_stage1,cram_c3_stage2,gt_response,-0.032126459591466386,-0.026913076639175415,-0.053073450922966,-0.005348294973373413,0.04772515594959259,-0.033208713340634424,-0.031091320553116784,5156
vggss,cram_c3_stage1,cram_c3_stage2,nearfp_response,-0.016933883352232684,-0.013409852981567383,-0.04111942648887634,0.010875701904296875,0.05199512839317322,-0.01809169504648359,-0.01575167712943601,5075
vggss,cram_c3_stage1,short_step000,gt_nearfp_gap,-0.0008392879645812688,-0.0017437934875488281,-0.010439962148666382,0.007929056882858276,0.018369019031524658,-0.0012656110486226717,-0.0004187819465921431,5075
vggss,cram_c3_stage1,short_step000,gt_vs_nearfp_auroc,-0.0034876435840021547,-0.00140380859375,-0.0164947509765625,0.012237794937626001,0.0287325459141885,-0.004319727473477061,-0.0027507663299183335,5075
vggss,cram_c3_stage1,short_step000,coverage,0.005704830504497493,0.000498373378034378,-0.005663805431811331,0.01568618242393935,0.02134998785575068,0.004885415463631521,0.00650525028833854,5158
vggss,cram_c3_stage1,short_step000,precision,-0.0014664292002957602,-3.484850970417175e-05,-0.008043141473236384,0.006096238965780321,0.014139380439016705,-0.0019220786764839615,-0.0009977286355384175,5158
vggss,cram_c3_stage1,short_step000,pred_area_ratio,0.004727519658139526,0.0037268813775510057,-0.0063775510204081565,0.014588647959183687,0.020966198979591844,0.0042035895609455485,0.005237536825009545,5158
vggss,cram_c3_stage1,short_step000,gt_response,0.00036984328050498726,-7.998943328857422e-05,-0.009419366717338562,0.009332343935966492,0.018751710653305054,-8.855495230519467e-05,0.0008087049321473061,5156
vggss,cram_c3_stage1,short_step000,nearfp_response,0.0011270281158644578,0.0005457401275634766,-0.010227471590042114,0.011952221393585205,0.02217969298362732,0.0006214977929304386,0.001639852353431321,5075
vggss,cram_c3_stage2,cram_c3_stage2,gt_nearfp_gap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075
vggss,cram_c3_stage2,cram_c3_stage2,gt_vs_nearfp_auroc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075
