sample_id,aud_iou,aud_precision,aud_coverage,aud_outside_leakage,aud_predicted_area_ratio,img_query_iou,img_query_precision,img_query_coverage,img_query_outside_leakage,img_query_predicted_area_ratio,iqr_iou,iqr_precision,iqr_coverage,iqr_outside_leakage,iqr_predicted_area_ratio,obj_prior_iou,obj_prior_precision,obj_prior_coverage,obj_prior_outside_leakage,obj_prior_predicted_area_ratio,ogl_iou,ogl_precision,ogl_coverage,ogl_outside_leakage,ogl_predicted_area_ratio,extra_iqr_ogl_iou,extra_iqr_ogl_precision,extra_iqr_ogl_coverage,extra_iqr_ogl_outside_leakage,extra_iqr_ogl_predicted_area_ratio,shrink_base_iou,shrink_base_precision,shrink_base_coverage,shrink_base_outside_leakage,shrink_base_predicted_area_ratio,expand_base_iou,expand_base_precision,expand_base_coverage,expand_base_outside_leakage,expand_base_predicted_area_ratio,aud_img_pearson,aud_img_spearman,aud_img_js,aud_img_top10_overlap,aud_img_threshold_mask_iou,aud_attention_entropy,aud_effective_active_area,aud_effective_active_ratio,img_attention_entropy,img_effective_active_area,img_effective_active_ratio,shrink_base_iou_gain_vs_aud,expand_base_iou_gain_vs_aud
-0BIyqJj9ZU_000030,0.3418095206145795,0.3656952121168617,0.8395682267633487,0.6343047878831384,0.5552853954081632,0.3263783469526178,0.34929139301762874,0.8326466710613052,0.6507086069823712,0.5765704719387755,0.33611193807680856,0.3596050396375991,0.8372610415293342,0.640394960362401,0.5631377551020408,0.42272030651340997,0.4413729647557707,0.9091133816743573,0.5586270352442293,0.49818638392857145,0.363403418863421,0.38766569310267357,0.8530817402768622,0.6123343068973265,0.5322464923469388,0.3465299790921967,0.3697200834712528,0.8467369808833224,0.6302799165287473,0.5539301658163265,0.34326380868265505,0.36870142664282846,0.8326466710613052,0.6312985733571715,0.5462173150510204,0.3251946891357079,0.346741534796665,0.8395682267633487,0.6532584652033351,0.5856385522959183,0.9865571980264835,0.9820408163265306,5.510434379629991e-05,0.6,0.9326867449378935,3.8883799260216745,48.831711421296724,0.9965655392101372,3.889656198267209,48.89407376648582,0.9978382401323637,0.001454288068075571,-0.01661483147887155
-0UuUoXQUoI_000107,0.37802042972877775,0.4075958982149639,0.8389618511569731,0.5924041017850361,0.5247528698979592,0.40475525591415007,0.45252218901922303,0.7931519699812383,0.547477810980777,0.4468470982142857,0.3895243383305571,0.4252404428998626,0.8226235146966854,0.5747595571001374,0.49318399234693877,0.2959703984477235,0.41179055750878957,0.5127423389618512,0.5882094424912104,0.3174426020408163,0.3896318375896238,0.44561662136637953,0.7561757348342715,0.5543833786336205,0.4326171875,0.39573586931513155,0.43717698890112683,0.8067542213883677,0.5628230110988731,0.4704639668367347,0.3840402010050251,0.44153263080051763,0.7467948717948718,0.5584673691994824,0.4312021683673469,0.39622839549366734,0.4176654988014014,0.8853189493433395,0.5823345011985985,0.540397799744898,0.9429245557260654,0.9378571428571428,4.7826281395165916e-05,0.8,0.7979347224783331,3.890336187393328,48.92733251148964,0.9985169900304007,3.8908264470028695,48.951325487335545,0.9990066425986845,0.006019771276247365,0.01820796576488959
-2-wdcN5vOw_000017,0.524717409284669,0.8983044693751588,0.5578553391053391,0.10169553062484116,0.5489277742346939,0.46900062020145855,0.9010970949582939,0.49445346320346323,0.09890290504170604,0.4850326849489796,0.49852111926800724,0.8986229910628668,0.5282287157287158,0.10137700893713321,0.5195910395408163,0.3897850673635831,0.9980386501297952,0.39008387445887444,0.001961349870204788,0.34548389668367346,0.496924571058595,0.9207053742802304,0.519142316017316,0.07929462571976967,0.49840561224489793,0.5060682734368299,0.9117635696349237,0.532129329004329,0.0882364303650763,0.5158840880102041,0.46900062020145855,0.9010970949582939,0.49445346320346323,0.09890290504170604,0.4850326849489796,0.524717409284669,0.8983044693751588,0.5578553391053391,0.10169553062484116,0.5489277742346939,0.9925963445363879,0.9925510204081632,1.0602721598151357e-05,0.8,0.8836001887957012,3.889009682306605,48.86247318365814,0.9971933302787376,3.8890002071422214,48.86201020588592,0.997183881752774,-0.05571678908321048,0.0
-23CeprtibU_000030,0.11166065601923407,0.18080195762193427,0.2259993048314216,0.8191980423780657,0.35835857780612246,0.12333355664232598,0.19226150070492404,0.2559610705596107,0.807738499295076,0.3816764987244898,0.1109936575052854,0.17888546933391955,0.22627737226277372,0.8211145306660804,0.36264349489795916,0.3822492636051958,0.5558988764044944,0.5502954466458116,0.44410112359550563,0.28380102040816324,0.33330987154671826,0.4030041274839369,0.6583941605839416,0.5969958725160631,0.46837133290816324,0.24446804137836542,0.32520732707554906,0.49614181438998955,0.6747926729244509,0.4373804209183674,0.09768378650553877,0.16330914368650218,0.19555092109836636,0.8366908563134978,0.34329161352040816,0.1365504441203765,0.2069623750439544,0.28640945429266595,0.7930376249560456,0.3967434630102041,0.9838597543390425,0.9808163265306122,5.0699848957697405e-05,0.6,0.8652735218767268,3.889877672387801,48.90490373771031,0.9980592599532717,3.890825852009934,48.95129636165137,0.9990060481969668,-0.013976869513695298,0.024889788101142438
-2Dm0VjW8oM_000001,0.6457047770921445,0.743731033381249,0.8304797574460496,0.256268966618751,0.49912308673469385,0.5632706946434088,0.603533377475471,0.8941055823078295,0.39646662252452897,0.6621890943877551,0.5946118916283181,0.6526291142627776,0.8699393615123953,0.34737088573722236,0.5958227040816326,0.5322961463867105,0.907294286740927,0.562912430889959,0.09270571325907294,0.27732382015306123,0.6126388565214014,0.8262008276151066,0.7032726948457285,0.1737991723848934,0.38048070790816324,0.6507185872095171,0.7915243573611361,0.7853130016051364,0.20847564263886392,0.4434789540816326,0.6478695865108794,0.75046600210714,0.8257535223827359,0.24953399789286004,0.49182876275510207,0.5621427177156242,0.6001131221719457,0.8988318173711433,0.3998868778280543,0.6694834183673469,0.9669218106084166,0.9662244897959184,4.631937536127486e-05,0.8,0.7346391998094784,3.8889788538230263,48.860966850925074,0.9971625887943892,3.8891407828868148,48.868879502169854,0.9973240714728542,0.002164809418734981,-0.08356205937652028
-2sOH8XovEE_000484,0.13185901367293193,0.13185901367293193,1.0,0.868140986327068,0.5524354272959183,0.12119102092244438,0.12119102092244438,1.0,0.8788089790775556,0.6010642538265306,0.13323369664272955,0.13323369664272955,1.0,0.8667663033572705,0.5467354910714286,0.20038377192982457,0.20038377192982457,1.0,0.7996162280701754,0.3635204081632653,0.15160942425750787,0.15160942425750787,1.0,0.8483905757424921,0.48046875,0.14196380020197313,0.14196380020197313,1.0,0.8580361997980269,0.5131138392857143,0.1324227383065831,0.1324227383065831,1.0,0.8675772616934169,0.5500837053571429,0.12071869736103313,0.12071869736103313,1.0,0.8792813026389669,0.6034159757653061,0.9801841333071748,0.9792857142857143,5.1882983847964255e-05,0.8,0.9116160782111834,3.8889514143290853,48.859626149115385,0.997135227532967,3.889966163320789,48.90923156975389,0.9981475830562019,0.0005637246336511748,-0.011140316311898796
-3Kv4fdm7Uk_000030,0.19835400310994805,0.19986242739223478,0.96334499907902,0.8001375726077652,0.5215242346938775,0.18632345870779246,0.18905734013809666,0.927979370049733,0.8109426598619033,0.5310905612244898,0.19248300082193828,0.1944958284570954,0.9489777122858721,0.8055041715429047,0.5279217155612245,0.2927117841930904,0.30128478353528587,0.9114017314422546,0.6987152164647141,0.3273078762755102,0.24038237351363953,0.24349345803221387,0.9495303002394547,0.7565065419677861,0.4219347895408163,0.21698033943874978,0.21941376380628716,0.9513722600847302,0.7805862361937128,0.46914859693877553,0.19942997387380254,0.20256523662096418,0.927979370049733,0.7974347633790358,0.4956752232142857,0.18583001705514496,0.187153336911791,0.96334499907902,0.812846663088209,0.5569395727040817,0.9680388332440305,0.9666326530612245,6.964236602113942e-05,0.6,0.8899982107711576,3.8885100605686227,48.8380665274397,0.9966952352538714,3.8895704289687894,48.88988033591836,0.9977526599167013,0.001075970763854489,-0.012523986054803093
-4bPiXbovf0_000008,0.48281586503948315,0.5027330063069376,0.924166952937135,0.4972669936930624,0.4265983737244898,0.5556287753981329,0.606449292735555,0.868945379594641,0.39355070726444497,0.3325095663265306,0.5103508179317666,0.5380819129992368,0.908278941944349,0.46191808700076314,0.3917211415816326,0.7401919732010565,0.7476088229552996,0.9867743043627619,0.2523911770447004,0.30630181760204084,0.6105570291777188,0.6149612610205717,0.9884060460322913,0.38503873897942825,0.3729870854591837,0.5719993930504274,0.581858407079646,0.9712298179319822,0.41814159292035397,0.38735650510204084,0.5556287753981329,0.606449292735555,0.868945379594641,0.39355070726444497,0.3325095663265306,0.48281586503948315,0.5027330063069376,0.924166952937135,0.4972669936930624,0.4265983737244898,0.981489945185232,0.9839795918367347,5.810835127630716e-05,0.8,0.7794440551273067,3.88740142556707,48.783952939130714,0.9955908763087901,3.888565070940037,48.84075320151531,0.9967500653370472,0.07281291035864979,0.0
-5CGQGSFGyg_000060,0.26360446004175736,0.26360446004175736,1.0,0.7363955399582426,0.44864078443877553,0.2588666404920822,0.2588666404920822,1.0,0.7411333595079178,0.456851881377551,0.26116808239073985,0.26116808239073985,1.0,0.7388319176092601,0.4528260522959184,0.40824329731892756,0.43740353284170813,0.8596225143242332,0.5625964671582919,0.232421875,0.362025780438634,0.36220279933989363,0.9986518368722616,0.6377972006601064,0.32607222576530615,0.29971210667205417,0.29971210667205417,1.0,0.7002878933279458,0.3945910395408163,0.2841273641369404,0.2841273641369404,1.0,0.7158726358630596,0.41623485331632654,0.24172064035194915,0.24172064035194915,1.0,0.7582793596480508,0.4892578125,0.9762980778714342,0.9739795918367347,2.8724376539940722e-05,1.0,0.8507474846225915,3.8895351445911324,48.88815531735027,0.9977174554561279,3.8893666043668333,48.87991639100227,0.9975493141020871,0.020522904095183037,-0.02188381968980821
-5z9IXBJefc_000227,0.21608527131782945,0.25376014248961015,0.5927424014792557,0.7462398575103899,0.4028220663265306,0.2586156111929308,0.3101560200176626,0.6088061943834508,0.6898439799823374,0.33850845025510207,0.23344916286836048,0.2769420204507736,0.5978273431179938,0.7230579795492265,0.37226961096938777,0.1534697508896797,0.22826896038375652,0.31896452097538425,0.7717310396162435,0.2409717793367347,0.20999338733674988,0.24636346004654772,0.5871951924188142,0.7536365399534523,0.41103316326530615,0.22941495124593717,0.2735051934772079,0.5873107592742401,0.7264948065227921,0.37031648596938777,0.2546926209156818,0.3087155411099073,0.5927424014792557,0.6912844588900927,0.3311144770408163,0.21979305740987984,0.2559393674391488,0.6088061943834508,0.7440606325608512,0.4102160395408163,0.9856721751194629,0.9791836734693877,4.188571781498391e-05,0.8,0.8071709663314386,3.8868297429943666,48.756071973698184,0.9950218770142486,3.887541325610004,48.79077829366394,0.9957301692584478,0.038607349597852336,0.003707786092050386
