epoch,learning_rate,epoch_seconds,gradient_l2_mean,parameter_l2,info_loss,recon_loss,div_loss,a2v_loss,v2a_loss,original_match_loss,d_pos,d_neg,g_match,cram_loss,weighted_cram_loss,total_loss,AUD_cIoU,AUD_AUC,IQR_cIoU,IQR_AUC
1,5e-05,301.55932331085205,12.976096700335823,199.3482919312192,10.184808620778691,5.687303161281708,0.04125475375316507,5.846911332706551e-06,7.515060565164045e-06,1.3361971903357705e-05,5.846911316927951e-06,5.849211732058775e-06,2.3004029934396853e-09,0.693147175570824,0.693147175570824,11.452147782485255,0.708,0.5801999999999999,0.716,0.5782000000000002
2,5e-05,265.8200387954712,22.879763853966324,199.6519840150945,9.51107359271881,4.5981009642848765,0.00033463923479314377,5.568270356892352e-06,4.323643718042835e-05,4.8804707464091815e-05,5.568270354464875e-06,5.7795040750297825e-06,2.112337234380537e-07,0.6931470724823636,0.6931470724823636,10.668944492883105,0.728,0.5938,0.72,0.5910000000000001
3,5e-05,266.57893800735474,23.43030617674611,199.93739841661682,9.132350534730959,4.349829806976047,0.0003495503393469173,7.6245879626059114e-06,4.9855320648736305e-05,5.747990866393755e-05,7.624587947231891e-06,8.310252891682195e-06,6.856649400378591e-07,0.6931468332153198,0.6931468332153198,10.26626319308298,0.764,0.6113999999999998,0.756,0.6122
4,5e-05,266.6332120895386,25.08223514525575,200.21205005968332,8.824313029699903,4.167004841502451,0.0004810762734175577,1.04579644818948e-05,6.421860791720533e-05,7.467657234164985e-05,1.0457964456810871e-05,1.155312221996749e-05,1.0951577835878838e-06,0.6931466274626314,0.6931466274626314,9.94167595316931,0.768,0.6196,0.772,0.6228
5,5e-05,266.9865381717682,26.818991414372345,200.47710578250263,8.551530825285726,4.001283800050457,0.0004733470769837711,1.2589294026165395e-05,8.044686847627344e-05,9.30361625008205e-05,1.2589294024547078e-05,1.4139917891053007e-05,1.5506238460620216e-06,0.693146399543803,0.693146399543803,9.654156572878149,0.792,0.6189999999999999,0.804,0.6232
6,5e-05,267.7626006603241,30.009349284086912,200.73403916609246,8.283683328017645,3.8960869265620817,0.0007038385937905131,1.4487025441910105e-05,0.00012485060357265805,0.00013933762928644555,1.4487025450001693e-05,1.683767093262665e-05,2.3506454965323766e-06,0.6931460015078033,0.6931460015078033,9.380442140789643,0.824,0.6152,0.808,0.6172000000000001
7,5e-05,266.8634774684906,31.358490765159303,200.9894234812229,8.018335580825806,3.7800945556884984,0.0008071453353635357,1.882711090515954e-05,0.0001637328689565983,0.00018255997975980383,1.882711095370908e-05,2.152598503327351e-05,2.6988740869480072e-06,0.6931458293755284,0.6931458293755284,9.107827561605868,0.82,0.6290000000000001,0.848,0.6326
8,5e-05,265.8830635547638,40.483326769768716,201.23885144715666,7.733326408786706,3.685181958395391,0.0008698727196460304,2.0733470549873032e-05,0.00019270380255865643,0.00021343727334480387,2.0733470627552296e-05,2.415346010678528e-05,3.419989518274908e-06,0.6931454680356267,0.6931454680356267,8.816420775715567,0.824,0.6292000000000002,0.82,0.629
9,5e-05,267.2047600746155,42.508224401190006,201.48785721887407,7.431058634218372,3.6018264577906325,0.0012195965323225989,2.136928426182901e-05,0.00022812022869926762,0.0002494895127701351,2.1369284240790876e-05,2.5259063425492512e-05,3.889779102470854e-06,0.6931452311018608,0.6931452311018608,8.509457403230497,0.852,0.64,0.84,0.6394
10,5e-05,266.26732063293457,49.58117578742974,201.72559658940114,7.114217923629326,3.5269810360097376,0.0013963946255646461,2.497768259203427e-05,0.00028161303689363626,0.0003065907201556542,2.497768268589671e-05,2.9337906195397666e-05,4.360223475010551e-06,0.6931449952286758,0.6931449952286758,8.190859737769564,0.804,0.6228,0.816,0.6206
