dataset,group,seed,region,raw_macro_auroc,raw_lo,raw_hi,raw_valid_images,conditional_macro_auroc,conditional_lo,conditional_hi,conditional_valid_images,conditional_pairs
flickr,C3,12345,FP,0.5356543837422264,0.5050207353146613,0.5655956890082838,247,0.47556969311004954,0.4449685836680673,0.5051809585509673,247,1033798
flickr,C3,12345,FarFP,0.5188756291410227,0.4695110777028531,0.5701957598054204,158,0.4757762105814741,0.4226504620464804,0.5343025427546523,150,456409
flickr,C3,12345,HighAUDFP,0.42772367184573923,0.3865920286013219,0.47220445622341567,167,0.434115567459445,0.3888367792272241,0.4808015250106166,167,208884
flickr,C3,12345,NearFP,0.5393260684706868,0.5123754136441814,0.565998105272776,247,0.47892931816390344,0.4498685350914427,0.508128134210722,247,1180219
