checkpoint,epoch,train_attention_match_loss,direct_eval_attention_MSE,AUD_cIoU,AUD_AUC,IMG_cIoU,IMG_AUC,IQR_cIoU,IQR_AUC,AUD_IMG_Pearson,AUD_IMG_Spearman,AUD_IMG_JS,Top20Overlap,AUD_ONLY,IMG_ONLY,IMG_ONLY_fraction,PairOracle_cIoU,OracleGain,IQRGain
flickr_best.pth,7,0.0001745369610355113,8.365117555877077e-05,0.804,0.6228,0.804,0.6165999999999998,0.808,0.6234,0.9709315865514272,0.960486198283996,0.0020446817851894365,0.7023785887384557,8,8,0.032,0.836,0.03199999999999992,0.0040000000000000036
final.pth,50,0.0003494675991506965,0.0003152280112844892,0.736,0.5944,0.74,0.5847999999999999,0.744,0.5920000000000001,0.979835649702105,0.9774239425367259,0.0018580044253864259,0.7828635665157336,8,9,0.036,0.772,0.03600000000000003,0.008000000000000007
