checkpoint,epoch,train_attention_match_loss,direct_eval_attention_MSE,AUD_cIoU,AUD_AUC,IMG_cIoU,IMG_AUC,IQR_cIoU,IQR_AUC,AUD_IMG_Pearson,AUD_IMG_Spearman,AUD_IMG_JS,Top20Overlap,AUD_ONLY,IMG_ONLY,IMG_ONLY_fraction,PairOracle_cIoU,OracleGain,IQRGain
vggss_best.pth,3,7.756223615961774e-05,6.509410180832731e-05,0.34375,0.38183593750000006,0.35546875,0.38984375000000004,0.3515625,0.3857421875,0.9737692104898671,0.9692905622610568,0.0026226295104396272,0.7914686692186094,6,9,0.03515625,0.37890625,0.03515625,0.0078125
final.pth,50,0.00047725563078830386,0.0005032893016334583,0.31640625,0.37109375000000006,0.2734375,0.362890625,0.3125,0.3685546875000001,0.9820843203179397,0.9793987598699296,0.0018926731284596948,0.8499723213355284,14,3,0.01171875,0.328125,0.01171875,-0.00390625
