sample_index,sample_id,Stage1_IoU_AUD,Stage1_IoU_IMG,Stage1_IoU_IQR,Stage1_IoU_OBJ,Stage1_IoU_OGL,Stage1_AUD_IMG_raw_pearson,Stage1_AUD_IMG_raw_spearman,Stage1_AUD_IMG_raw_js,Stage1_AUD_IMG_norm_pearson,Stage1_AUD_IMG_norm_spearman,Stage1_AUD_IMG_norm_js,Stage1_AUD_IMG_mask_iou,Stage1_AUD_IMG_top10_overlap,Stage1_AUD_IMG_top20_overlap,Stage1_AUD_IMG_top30_overlap,Stage2_IoU_AUD,Stage2_IoU_IMG,Stage2_IoU_IQR,Stage2_IoU_OBJ,Stage2_IoU_OGL,Stage2_AUD_IMG_raw_pearson,Stage2_AUD_IMG_raw_spearman,Stage2_AUD_IMG_raw_js,Stage2_AUD_IMG_norm_pearson,Stage2_AUD_IMG_norm_spearman,Stage2_AUD_IMG_norm_js,Stage2_AUD_IMG_mask_iou,Stage2_AUD_IMG_top10_overlap,Stage2_AUD_IMG_top20_overlap,Stage2_AUD_IMG_top30_overlap,Stage2_categories
0,-0BIyqJj9ZU_000030,0.2903851751237023,0.25156669650850494,0.2874796306355242,0.42272030651340997,0.3288627914248984,0.9286265006622529,0.9343835624290682,3.494690607036492e-05,0.9286265006622529,0.9343835624290682,0.005529751295992079,0.7239203589455973,0.37235060850540136,0.5089460231544128,0.6510913677744872,0.299209068494028,0.25156669650850494,0.29972884655496074,0.42272030651340997,0.34181855912565284,0.927889241984017,0.9304633306954604,3.14385501265065e-05,0.9278892419840173,0.9304633306954604,0.00550730083747665,0.7165237750921049,0.44527649769585254,0.5048732943469786,0.6334436547121697,BOTH_FAIL
1,-0UuUoXQUoI_000107,0.5905364405138468,0.500818094321463,0.600482912332838,0.2959703984477235,0.47115798536375375,0.96172827575624,0.96306664794145,6.599009670563182e-05,0.96172827575624,0.96306664794145,0.0045450043906751095,0.6222508314558524,0.7765976278987431,0.786241879505206,0.7799456071893106,0.6284455632473254,0.500818094321463,0.5812614051094891,0.2959703984477235,0.45500074378935884,0.966479768628608,0.969787368576872,9.236076144031511e-05,0.9664797686286084,0.969787368576872,0.006278465301902748,0.6984460990611848,0.7129202935654548,0.8642147301941117,0.7875549222182638,
2,-2-wdcN5vOw_000017,0.5842715724178952,0.5655701148937073,0.5774950078599652,0.3897850673635831,0.5157624633431085,0.9955846760189594,0.9962654531639527,8.636119462458897e-06,0.9955846760189597,0.9962654531639527,0.0004138365737462676,0.9538360655737705,0.7594670406732118,0.930556891410984,0.9576045256518629,0.6180354539500095,0.5655701148937073,0.5951922058667797,0.3897850673635831,0.5247595067467234,0.9915865787260635,0.9951958644563481,1.669230591259404e-05,0.9915865787260639,0.9951958644563481,0.0022919584488217963,0.9111952339580489,0.8154848046309696,0.8588627523615484,0.9029138486821313,
3,-23CeprtibU_000030,0.35710555967790697,0.3180734517795311,0.3419580032134744,0.3822492636051958,0.395560141116954,0.955085534566381,0.9408562791514442,1.0434677349133278e-05,0.9550855345663817,0.9408562791514442,0.001515969240716882,0.8628660332277602,0.37781438769906645,0.6416128240778605,0.7221141745795675,0.35660546925150854,0.3180734517795311,0.34407841287312946,0.3822492636051958,0.39265782767186036,0.9224572136491067,0.8878132620010032,1.271837706870145e-05,0.9224572136491073,0.8878132620010032,0.003137560104008366,0.8241655886157827,0.29865424430641824,0.5447129444358935,0.6046263724549622,BOTH_FAIL
4,-2Dm0VjW8oM_000001,0.54572940287226,0.5328180918297418,0.5412277377794619,0.5322961463867105,0.5528104988536643,0.9897226943053621,0.9865300109495209,3.172303268425925e-05,0.9897226943053621,0.9865300109495209,0.003296719716928883,0.9503088906795595,0.7563878193909696,0.9020183833980858,0.942071990710876,0.5905244122965642,0.5328180918297418,0.5621723399542199,0.5322961463867105,0.5793792781580585,0.9818633957756187,0.9775664239999725,7.197264076154561e-05,0.9818633957756192,0.9775664239999725,0.00949931416724821,0.8275174013921114,0.5552456221912289,0.8996782131364754,0.934211371667202,
5,-2sOH8XovEE_000484,0.14277901480526584,0.12690531578764627,0.13341850702682972,0.20038377192982457,0.1535456225844396,0.9809327353660829,0.9807636066307389,2.544491421026593e-05,0.9809327353660832,0.9807636066307389,0.0010234859244591201,0.8837869658563613,0.598343685300207,0.7015937605968124,0.7984468339307049,0.15380407338831847,0.12690531578764627,0.14119055896782168,0.20038377192982457,0.1596767147225863,0.9768547604159397,0.9825725530819986,4.165255211639069e-05,0.9768547604159398,0.9825725530819986,0.0013220092190913716,0.8249835086622921,0.6268438969038742,0.7251396648044692,0.795122532943772,BOTH_FAIL
6,-3Kv4fdm7Uk_000030,0.28273096552442456,0.4332801276935355,0.33956717538153613,0.2927117841930904,0.3599893906239639,0.9732996536774718,0.9783660828367369,3.997525752439999e-05,0.9732996536774724,0.9783660828367369,0.002916578242321845,0.6360074242111775,0.7873552983081032,0.6912706437478935,0.7596586591852241,0.21268510538274701,0.4332801276935355,0.277159485399224,0.2927117841930904,0.26331360946745563,0.937485096631294,0.9545152489287431,4.934574884154004e-05,0.937485096631294,0.9545152489287431,0.008753679631274216,0.4905216982610058,0.727069351230425,0.6175356596019018,0.6953485752900102,BOTH_FAIL
7,-4bPiXbovf0_000008,0.40188945596698883,0.49113375243876,0.4286531203537799,0.7401919732010565,0.549844757582995,0.9735415772051809,0.9710005363873943,5.9341706362419985e-05,0.9735415772051806,0.9710005363873943,0.0019050391015649815,0.8086959677712046,0.7835436289319353,0.7583880858519492,0.718869540393948,0.3683596786732314,0.49113375243876,0.4086641823133152,0.7401919732010565,0.5110013669033027,0.9664520678916969,0.9672654050286313,3.7509865137609226e-05,0.9664520678916966,0.9672654050286313,0.004364264649294023,0.7379222725347754,0.7079646017699115,0.7091280653950953,0.7121246587807097,OGL_RESCUE_NOT_CAPTURED_BY_IMG;BOTH_FAIL
8,-5CGQGSFGyg_000060,0.3332584522071212,0.42615760713258555,0.39428381522100364,0.40824329731892756,0.3842211120482709,0.9541512948002091,0.9512552186333021,3.95945026640197e-05,0.9541512948002087,0.9512552186333021,0.004602518861391137,0.7450192625206384,0.8499539170506912,0.8792247916861717,0.835284077054377,0.2660986547085202,0.42615760713258555,0.3601602330662782,0.40824329731892756,0.35866279772699794,0.9373011105837034,0.9246811644472581,5.668423661971801e-05,0.937301110583703,0.9246811644472581,0.009212449745657266,0.5996199902788211,0.6771390374331551,0.8340643274853801,0.7998445626830872,BOTH_FAIL
9,-5z9IXBJefc_000227,0.23012693662821565,0.272206463095834,0.2516580500287221,0.1534697508896797,0.2089993388558317,0.9609115046604011,0.934275830381792,0.0001615413610429229,0.960911504660401,0.934275830381792,0.0062335109865389385,0.8299351797289334,0.8462104488594555,0.8953729933899905,0.8608072192348105,0.23364234851538357,0.272206463095834,0.26163964990418975,0.1534697508896797,0.22880606908742726,0.9597349158111054,0.9593354081824339,0.0002016179041441895,0.9597349158111058,0.9593354081824339,0.011486157195210267,0.747203461376108,0.7597755567245309,0.897164461247637,0.8885891725738662,BOTH_FAIL
