dataset,sample_id,comparison,pearson,spearman,js_divergence,top10_overlap,threshold_mask_iou,left_entropy,right_entropy,left_effective_active_area,right_effective_active_area,left_effective_active_ratio,right_effective_active_ratio
flickr,10000130166,DECODER_TARGET_vs_IMG,0.7770224575884159,0.8637616128251828,0.001447525641242817,0.2,0.6222222222222222,3.891819800509541,3.8861010655755024,48.99997561755286,48.7205574658998,0.999999502399038,0.9942970911408123
flickr,10000130166,DECODER_TARGET_vs_AUD,0.8056816395135445,0.9144300486436733,0.001774404840465741,0.4,0.6444444444444445,3.891819800509541,3.8848432341214374,48.99997561755286,48.65931374147576,0.999999502399038,0.9930472192137911
flickr,10000130166,IMG_vs_AUD,0.9849627544238607,0.9386734693877551,6.444769329220683e-05,0.2,0.9655172413793104,3.8861010655755024,3.8848432341214374,48.7205574658998,48.65931374147576,0.9942970911408123,0.9930472192137911
flickr,10007936344,DECODER_TARGET_vs_IMG,0.410659266202763,0.005510204081632653,0.0008826606969789013,0.0,0.7111111111111111,3.8918196770853646,3.8883143725889067,48.99996956977161,48.82851043990394,0.9999993789749307,0.9965002130592641
flickr,10007936344,DECODER_TARGET_vs_AUD,0.4344059672383151,0.03224489795918367,0.0010999891453096018,0.0,0.6222222222222222,3.8918196770853646,3.8874518833674974,48.99996956977161,48.78641453219493,0.9999993789749307,0.9956411129019374
flickr,10007936344,IMG_vs_AUD,0.9915192933766014,0.9816326530612245,2.839376443374372e-05,0.6,0.875,3.8883143725889067,3.8874518833674974,48.82851043990394,48.78641453219493,0.9965002130592641,0.9956411129019374
flickr,10008553263,DECODER_TARGET_vs_IMG,0.7142725539561326,0.8354294755135657,0.002313417506122961,0.4,0.5555555555555556,3.891819760925133,3.8826419615949512,48.999973677917886,48.552319136325806,0.9999994628146507,0.9908636558433838
flickr,10008553263,DECODER_TARGET_vs_AUD,0.709135563144305,0.8294599354723365,0.002553222093173769,0.4,0.5333333333333333,3.891819760925133,3.8816876621972476,48.999973677917886,48.50600778837722,0.9999994628146507,0.9899185262934126
flickr,10008553263,IMG_vs_AUD,0.9944077984346965,0.9940816326530613,3.376892412066591e-05,0.8,0.96,3.8826419615949512,3.8816876621972476,48.552319136325806,48.50600778837722,0.9908636558433838,0.9899185262934126
flickr,10009662863,DECODER_TARGET_vs_IMG,0.2288453896439667,-0.1839795918367347,0.0011186114994345166,0.0,0.6222222222222222,3.8918196885826224,3.887388853852542,48.9999701331369,48.7833396450559,0.9999993904721816,0.9955783601031816
flickr,10009662863,DECODER_TARGET_vs_AUD,0.24508706173078015,-0.15785714285714286,0.0016039854294061756,0.0,0.6222222222222222,3.8918196885826224,3.885476152876022,48.9999701331369,48.69012088190804,0.9999993904721816,0.9936759363654701
flickr,10009662863,IMG_vs_AUD,0.9940033465535159,0.9738775510204082,5.8994425731783876e-05,0.4,1.0,3.887388853852542,3.885476152876022,48.7833396450559,48.69012088190804,0.9955783601031816,0.9936759363654701
flickr,10013411946,DECODER_TARGET_vs_IMG,0.6164216599806573,0.7216326530612245,0.0009946711102582731,0.4,0.4888888888888889,3.8918197929076612,3.887841240182419,48.99997524506095,48.80541355362786,0.9999994947971623,0.9960288480332216
flickr,10013411946,DECODER_TARGET_vs_AUD,0.6228040270628326,0.7397959183673469,0.0016313431709201079,0.4,0.5111111111111111,3.8918197929076612,3.8853150213782435,48.99997524506095,48.68227600184892,0.9999994947971623,0.9935158367724269
flickr,10013411946,IMG_vs_AUD,0.9933431125295008,0.9892857142857143,9.606184412736535e-05,1.0,0.9565217391304348,3.887841240182419,3.8853150213782435,48.80541355362786,48.68227600184892,0.9960288480332216,0.9935158367724269
flickr,10016382545,DECODER_TARGET_vs_IMG,0.7514907520966781,0.6881632653061225,0.0010751620905464598,0.4,0.6222222222222222,3.8918197276255495,3.8875483848925763,48.99997204623919,48.79112272277055,0.9999994295150856,0.9957371984238889
flickr,10016382545,DECODER_TARGET_vs_AUD,0.7164789704301644,0.5828571428571429,0.0015086250800726724,0.4,0.6666666666666666,3.8918197276255495,3.885844936930045,48.99997204623919,48.70808033345387,0.9999994295150856,0.9940424557847729
flickr,10016382545,IMG_vs_AUD,0.9808921342722872,0.9586734693877551,8.404705089416715e-05,0.8,0.9333333333333333,3.8875483848925763,3.885844936930045,48.79112272277055,48.70808033345387,0.9957371984238889,0.9940424557847729
flickr,10031203703,DECODER_TARGET_vs_IMG,0.17957586339454354,-0.13683673469387755,0.0004066575596594676,0.0,0.5454545454545454,3.891819655713684,3.890203773264722,48.99996852255993,48.920854270304915,0.999999357603264,0.9983847810266309
flickr,10031203703,DECODER_TARGET_vs_AUD,0.10505212977219966,-0.18836734693877552,0.0008133714006291632,0.0,0.5454545454545454,3.891819655713684,3.8886104917378463,48.99996852255993,48.84297163787254,0.999999357603264,0.9967953395484191
flickr,10031203703,IMG_vs_AUD,0.9772985641654877,0.9648979591836735,9.581992093924999e-05,0.6,0.9428571428571428,3.890203773264722,3.8886104917378463,48.920854270304915,48.84297163787254,0.9983847810266309,0.9967953395484191
flickr,10035917404,DECODER_TARGET_vs_IMG,-0.4184771491153719,-0.5375510204081633,0.001131690173531938,0.0,0.24444444444444444,3.8918190816958975,3.887412211700114,48.999940395714525,48.78447913217532,0.9999987835860107,0.9956016149423534
