dataset,sample_id,comparison,pearson,spearman,js_divergence,top10_overlap,threshold_mask_iou,left_entropy,right_entropy,left_effective_active_area,right_effective_active_area,left_effective_active_ratio,right_effective_active_ratio
vggss,-0BIyqJj9ZU_000030,DECODER_TARGET_vs_IMG,0.6420809626029083,0.6570408163265307,0.00033088586238850886,0.4,0.7380952380952381,3.890444425095637,3.889656198267209,48.93262858015277,48.89407376648582,0.9986250730643423,0.9978382401323637
vggss,-0BIyqJj9ZU_000030,DECODER_TARGET_vs_AUD,0.6183912847713529,0.6459183673469387,0.0005297110615126125,0.2,0.6904761904761905,3.890444425095637,3.8883799260216745,48.93262858015277,48.831711421296724,0.9986250730643423,0.9965655392101372
vggss,-0BIyqJj9ZU_000030,IMG_vs_AUD,0.9865571980264835,0.9820408163265306,5.510434379629991e-05,0.6,0.9354838709677419,3.889656198267209,3.8883799260216745,48.89407376648582,48.831711421296724,0.9978382401323637,0.9965655392101372
vggss,-0UuUoXQUoI_000107,DECODER_TARGET_vs_IMG,0.6566638666863135,0.8314285714285714,0.00025875044983084355,0.4,0.5476190476190477,3.8900543063996307,3.8908264470028695,48.913542770006664,48.951325487335545,0.9982355667348299,0.9990066425986845
vggss,-0UuUoXQUoI_000107,DECODER_TARGET_vs_AUD,0.5627335895480012,0.7748979591836734,0.0003642779449236046,0.2,0.5952380952380952,3.8900543063996307,3.890336187393328,48.913542770006664,48.92733251148964,0.9982355667348299,0.9985169900304007
vggss,-0UuUoXQUoI_000107,IMG_vs_AUD,0.9429245557260654,0.9378571428571428,4.7826281395165916e-05,0.8,0.7142857142857143,3.8908264470028695,3.890336187393328,48.951325487335545,48.92733251148964,0.9990066425986845,0.9985169900304007
vggss,-2-wdcN5vOw_000017,DECODER_TARGET_vs_IMG,0.6617730902276193,0.7916326530612245,0.0004371601641356566,0.4,0.5476190476190477,3.8895771716123693,3.8890002071422214,48.89020998406748,48.86201020588592,0.9977593874299486,0.997183881752774
vggss,-2-wdcN5vOw_000017,DECODER_TARGET_vs_AUD,0.6695066169918058,0.8198979591836735,0.0004273219377542043,0.4,0.6190476190476191,3.8895771716123693,3.889009682306605,48.89020998406748,48.86247318365814,0.9977593874299486,0.9971933302787376
vggss,-2-wdcN5vOw_000017,IMG_vs_AUD,0.9925963445363879,0.9925510204081632,1.0602721598151357e-05,0.8,0.8846153846153846,3.8890002071422214,3.889009682306605,48.86201020588592,48.86247318365814,0.997183881752774,0.9971933302787376
vggss,-23CeprtibU_000030,DECODER_TARGET_vs_IMG,0.6771137250901093,0.5181632653061224,0.00017179168647074832,0.0,0.42857142857142855,3.890682690850751,3.890825852009934,48.944288938928054,48.95129636165137,0.9988630395699603,0.9990060481969668
vggss,-23CeprtibU_000030,DECODER_TARGET_vs_AUD,0.6560458284033961,0.5603061224489796,0.00027833332912146556,0.0,0.47619047619047616,3.890682690850751,3.889877672387801,48.944288938928054,48.90490373771031,0.9988630395699603,0.9980592599532717
vggss,-23CeprtibU_000030,IMG_vs_AUD,0.9838597543390425,0.9808163265306122,5.0699848957697405e-05,0.6,0.9,3.890825852009934,3.889877672387801,48.95129636165137,48.90490373771031,0.9990060481969668,0.9980592599532717
vggss,-2Dm0VjW8oM_000001,DECODER_TARGET_vs_IMG,0.28051299285188463,0.5673469387755102,0.0006878093595729551,0.2,0.6222222222222222,3.8909256381439987,3.8891407828868148,48.95618126599155,48.868879502169854,0.9991057401222766,0.9973240714728542
vggss,-2Dm0VjW8oM_000001,DECODER_TARGET_vs_AUD,0.4278780650033421,0.7041836734693877,0.0005982884666249661,0.4,0.5476190476190477,3.8909256381439987,3.8889788538230263,48.95618126599155,48.860966850925074,0.9991057401222766,0.9971625887943892
vggss,-2Dm0VjW8oM_000001,IMG_vs_AUD,0.9669218106084166,0.9662244897959184,4.631937536127486e-05,0.8,0.7419354838709677,3.8891407828868148,3.8889788538230263,48.868879502169854,48.860966850925074,0.9973240714728542,0.9971625887943892
