dataset,batch,weighted_loss,parameter_group,gradient_l2
vggss,1,att_space,visual_l3_slot_branch,0.0
vggss,1,att_space,visual_l4_slot_branch,0.011988747043916738
vggss,1,att_space,visual_fusion,0.0
vggss,1,att_space,audio_backbone,0.39261478797582405
vggss,1,att_space,audio_slot_branch,0.03489251987574326
vggss,1,att_space,shared_slots,0.000350435689068377
vggss,1,att_space,image_decoder,0.0
vggss,1,att_space,audio_decoder,0.0
vggss,1,att_time,visual_backbone,0.07564704235467033
vggss,1,att_time,visual_l3_slot_branch,0.0
vggss,1,att_time,visual_l4_slot_branch,0.08827856281316199
vggss,1,att_time,visual_fusion,0.0
vggss,1,att_time,audio_backbone,1.155650785083801
vggss,1,att_time,audio_slot_branch,0.07052410538402336
vggss,1,att_time,shared_slots,0.0009032965485984405
vggss,1,att_time,image_decoder,0.0
vggss,1,att_time,audio_decoder,0.0
vggss,2,info,visual_backbone,8.763076711179696
vggss,2,info,visual_l3_slot_branch,2.754380845326753
vggss,2,info,visual_l4_slot_branch,5.798949354010538
vggss,2,info,visual_fusion,3.1943721518450663
vggss,2,info,audio_backbone,68.24364114374791
vggss,2,info,audio_slot_branch,13.45630281847732
vggss,2,info,shared_slots,0.10637283876353902
vggss,2,info,image_decoder,0.0
vggss,2,info,audio_decoder,0.0
vggss,2,rec_img,visual_backbone,0.01434300106393123
vggss,2,rec_img,visual_l3_slot_branch,0.03492806305906646
vggss,2,rec_img,visual_l4_slot_branch,0.04609083531149747
vggss,2,rec_img,visual_fusion,0.03720404102998428
vggss,2,rec_img,audio_backbone,0.0
vggss,2,rec_img,audio_slot_branch,0.0
vggss,2,rec_img,shared_slots,0.0004207987790902138
vggss,2,rec_img,image_decoder,0.10401109704293393
vggss,2,rec_img,audio_decoder,0.0
vggss,2,rec_aud,visual_backbone,0.0
vggss,2,rec_aud,visual_l3_slot_branch,0.0
vggss,2,rec_aud,visual_l4_slot_branch,0.0
vggss,2,rec_aud,visual_fusion,0.0
vggss,2,rec_aud,audio_backbone,0.20197585676311866
vggss,2,rec_aud,audio_slot_branch,0.025019915216835064
vggss,2,rec_aud,shared_slots,0.00017906029156442238
vggss,2,rec_aud,image_decoder,0.0
vggss,2,rec_aud,audio_decoder,0.025583134018482872
vggss,2,div_img,visual_backbone,0.009246811792026188
vggss,2,div_img,visual_l3_slot_branch,0.031226279098651354
vggss,2,div_img,visual_l4_slot_branch,0.025893650971940817
vggss,2,div_img,visual_fusion,0.018823702002534394
vggss,2,div_img,audio_backbone,0.0
vggss,2,div_img,audio_slot_branch,0.0
vggss,2,div_img,shared_slots,0.00043488891872572644
vggss,2,div_img,image_decoder,0.0
vggss,2,div_img,audio_decoder,0.0
vggss,2,div_aud,visual_backbone,0.0
vggss,2,div_aud,visual_l3_slot_branch,0.0
vggss,2,div_aud,visual_l4_slot_branch,0.0
vggss,2,div_aud,visual_fusion,0.0
vggss,2,div_aud,audio_backbone,0.20124163743675208
vggss,2,div_aud,audio_slot_branch,0.10471551488036301
vggss,2,div_aud,shared_slots,0.001125696477296775
vggss,2,div_aud,image_decoder,0.0
vggss,2,div_aud,audio_decoder,0.0
vggss,2,att_space,visual_backbone,0.13176036459501467
vggss,2,att_space,visual_l3_slot_branch,0.0
vggss,2,att_space,visual_l4_slot_branch,0.013626593389208823
vggss,2,att_space,visual_fusion,0.0
vggss,2,att_space,audio_backbone,0.5307673592614932
vggss,2,att_space,audio_slot_branch,0.039487380250143145
vggss,2,att_space,shared_slots,0.0003981236903269913
vggss,2,att_space,image_decoder,0.0
vggss,2,att_space,audio_decoder,0.0
vggss,2,att_time,visual_backbone,0.04299003908034799
vggss,2,att_time,visual_l3_slot_branch,0.0
vggss,2,att_time,visual_l4_slot_branch,0.08407415351606379
vggss,2,att_time,visual_fusion,0.0
vggss,2,att_time,audio_backbone,1.158498948282778
vggss,2,att_time,audio_slot_branch,0.07087149291388292
vggss,2,att_time,shared_slots,0.0008509494475730858
vggss,2,att_time,image_decoder,0.0
vggss,2,att_time,audio_decoder,0.0
vggss,3,info,visual_backbone,10.446750097491096
vggss,3,info,visual_l3_slot_branch,2.109230814195789
vggss,3,info,visual_l4_slot_branch,4.907139414122355
vggss,3,info,visual_fusion,2.5965576182635277
vggss,3,info,audio_backbone,57.0463547714555
vggss,3,info,audio_slot_branch,8.884736539836423
vggss,3,info,shared_slots,0.07228945569830561
vggss,3,info,image_decoder,0.0
vggss,3,info,audio_decoder,0.0
vggss,3,rec_img,visual_backbone,0.014818389304150088
vggss,3,rec_img,visual_l3_slot_branch,0.029858968630602414
vggss,3,rec_img,visual_l4_slot_branch,0.03956679514238685
vggss,3,rec_img,visual_fusion,0.03173142958694799
vggss,3,rec_img,audio_backbone,0.0
vggss,3,rec_img,audio_slot_branch,0.0
vggss,3,rec_img,shared_slots,0.000364375883532297
vggss,3,rec_img,image_decoder,0.0885525622975607
vggss,3,rec_img,audio_decoder,0.0
vggss,3,rec_aud,visual_backbone,0.0
vggss,3,rec_aud,visual_l3_slot_branch,0.0
vggss,3,rec_aud,visual_l4_slot_branch,0.0
vggss,3,rec_aud,visual_fusion,0.0
vggss,3,rec_aud,audio_backbone,0.07670968026189333
vggss,3,rec_aud,audio_slot_branch,0.01987969178865985
vggss,3,rec_aud,shared_slots,0.00013462340874274842
vggss,3,rec_aud,image_decoder,0.0
vggss,3,rec_aud,audio_decoder,0.02391479731425829
vggss,3,div_img,visual_backbone,0.008353498306935903
vggss,3,div_img,visual_l3_slot_branch,0.024081001516827457
vggss,3,div_img,visual_l4_slot_branch,0.019102242405872046
vggss,3,div_img,visual_fusion,0.014381931242315711
vggss,3,div_img,audio_backbone,0.0
vggss,3,div_img,audio_slot_branch,0.0
vggss,3,div_img,shared_slots,0.00033056877856770406
vggss,3,div_img,image_decoder,0.0
vggss,3,div_img,audio_decoder,0.0
vggss,3,div_aud,visual_backbone,0.0
vggss,3,div_aud,visual_l3_slot_branch,0.0
vggss,3,div_aud,visual_l4_slot_branch,0.0
vggss,3,div_aud,visual_fusion,0.0
vggss,3,div_aud,audio_backbone,0.26298460957602476
vggss,3,div_aud,audio_slot_branch,0.11672215120966932
vggss,3,div_aud,shared_slots,0.0012494609349584546
vggss,3,div_aud,image_decoder,0.0
vggss,3,div_aud,audio_decoder,0.0
vggss,3,att_space,visual_backbone,0.1710688691875587
vggss,3,att_space,visual_l3_slot_branch,0.0
vggss,3,att_space,visual_l4_slot_branch,0.011883453310400706
vggss,3,att_space,visual_fusion,0.0
vggss,3,att_space,audio_backbone,0.18449601027098397
vggss,3,att_space,audio_slot_branch,0.033152706300122195
vggss,3,att_space,shared_slots,0.0003174093874910038
vggss,3,att_space,image_decoder,0.0
vggss,3,att_space,audio_decoder,0.0
vggss,3,att_time,visual_backbone,0.06374101857955537
