dataset,loss,raw_mean,weight,weighted_mean
vggss,info,0.6489892303943634,1.0,0.6489892303943634
vggss,rec_img,3.1081622362136843,0.1,0.31081622987985613
vggss,rec_aud,0.9003902912139893,0.1,0.09003903046250343
vggss,div_img,0.0042417558375746015,0.1,0.0004241755887051113
vggss,div_aud,0.008562435023486614,0.1,0.0008562435163185
vggss,att_space,2.8256591303943423e-05,100.0,0.002825659140944481
vggss,att_time,9.083805016416591e-05,100.0,0.009083805000409484
flickr,info,0.32791708782315254,1.0,0.32791708782315254
flickr,rec_img,2.7687663555145265,0.1,0.2768766418099403
flickr,rec_aud,0.8129065781831741,0.1,0.08129065968096257
flickr,div_img,0.00022516840836033224,0.1,2.2516841045217007e-05
flickr,div_aud,0.0005285325227305293,0.1,5.285325291879417e-05
flickr,att_space,1.540104317427904e-05,100.0,0.001540104328887537
flickr,att_time,9.193307323585032e-06,100.0,0.0009193307283567265
