dataset,sample_id,sample_index,RemoveFP,RemoveTP,AddTP,AddFP
flickr,16563757295,134,804,3308,477,110
flickr,16659090834,135,3869,1461,132,0
flickr,16804898716,136,414,0,5424,609
flickr,16950760048,137,1056,3385,28,568
flickr,17140316339,138,262,0,283,3504
flickr,17537079145,139,3114,1839,134,58
flickr,19306860381,140,3,48,4129,831
flickr,20854461578,141,48,0,2246,2738
flickr,2401957951,142,5953,0,0,0
flickr,2404965389,143,42,7735,72,0
flickr,2432219254,144,720,3142,221,696
flickr,2462141223,145,456,1509,465,751
flickr,2465634368,146,0,0,5671,1528
flickr,2499673064,147,2535,46,452,260
flickr,2509250774,148,0,0,1573,1718
flickr,2542659118,149,8395,4408,0,58
flickr,2630218696,150,564,800,3076,788
flickr,2695985181,151,870,401,495,759
flickr,2698329253,152,310,874,338,1793
flickr,2766580444,153,2653,0,0,1099
flickr,2778088729,154,0,0,975,10870
flickr,2808068937,155,955,177,875,286
flickr,2811549163,156,0,1191,4795,3132
flickr,2819123278,157,0,388,1343,389
flickr,2858344348,158,0,414,4487,0
flickr,2895192729,159,5,0,1621,918
flickr,2897081671,160,122,4779,0,0
flickr,2897653916,161,2405,675,0,52
flickr,2907554899,162,269,224,2492,1120
flickr,2935372113,163,1338,101,94,2465
flickr,2961466546,164,0,9147,0,297
flickr,3012435981,165,1155,3823,28,0
flickr,3052033339,166,3812,0,0,0
flickr,3102685146,167,3442,3523,0,156
flickr,3109408703,168,552,813,1585,247
flickr,3202731977,169,494,2458,304,2
flickr,3207674548,170,2844,168,97,537
flickr,3230152596,171,264,2387,0,323
flickr,3403348616,172,0,0,2804,3507
flickr,3413119417,173,0,0,1670,7241
flickr,3416359816,174,37,0,101,3190
flickr,3484198977,175,409,1124,808,1068
flickr,3535748358,176,23,128,1954,2307
flickr,3568893693,177,3451,2693,138,223
flickr,3668283413,178,7782,4876,0,0
flickr,3709678770,179,1094,4413,440,0
flickr,3719297546,180,288,231,693,436
flickr,3727937033,181,2820,2918,155,100
flickr,3749326537,182,1683,141,37,0
flickr,3790233127,183,0,889,117,1516
flickr,3801318146,184,3055,3154,44,201
flickr,3828103578,185,0,0,818,3191
flickr,3896768873,186,244,1167,1021,2819
flickr,3908875350,187,2,0,1077,3215
flickr,3956341886,188,3535,820,345,383
flickr,4007045926,189,2445,0,299,1903
flickr,4041216001,190,212,129,2364,116
flickr,4180455681,191,291,0,0,3104
flickr,4303617148,192,45,1490,394,2604
flickr,4351373013,193,5536,3760,1077,0
flickr,4407899725,194,87,3498,93,74
flickr,4479260803,195,407,900,1861,911
flickr,4543136011,196,393,496,466,279
flickr,4576746825,197,459,491,0,1097
flickr,4646464908,198,39,51,2441,188
flickr,4657718822,199,94,1468,45,984
flickr,4717096777,200,3286,2364,798,1713
flickr,4755507106,201,1965,448,602,8
flickr,4758950312,202,1176,696,206,879
flickr,4767923306,203,1820,508,376,352
flickr,4876943924,204,4362,0,58,1497
flickr,4938432980,205,800,125,0,384
flickr,4957886467,206,2249,2951,0,116
flickr,4965189170,207,313,86,0,612
flickr,5006362787,208,0,5252,2,0
flickr,5130986168,209,1513,353,279,344
flickr,5179649119,210,422,369,1459,7
flickr,5194793239,211,3544,435,0,304
flickr,5220919991,212,1131,4709,186,381
flickr,5237296528,213,1905,2889,0,0
flickr,5303633386,214,306,1,99,1905
flickr,5344317532,215,680,56,590,2429
flickr,5480070309,216,4953,60,0,10
flickr,5490101320,217,0,0,3795,2104
flickr,5601291878,218,0,0,317,6972
flickr,5607310495,219,53,1595,1467,0
flickr,5697766486,220,439,423,811,3954
flickr,5801923729,221,3872,982,661,276
flickr,5873098388,222,78,6951,81,21
flickr,5906878321,223,615,98,310,685
flickr,5991393107,224,0,912,1164,1203
flickr,6067281197,225,1483,6120,180,92
flickr,6098668510,226,260,4600,157,355
flickr,6158154336,227,0,438,1724,59
flickr,6185482260,228,0,945,3157,2293
flickr,6289328021,229,178,398,2436,2136
flickr,6458319057,230,0,0,1764,6619
flickr,6669466181,231,2523,540,277,0
flickr,6755812421,232,1042,967,632,382
flickr,6897499873,233,259,0,1412,2037
flickr,7178293884,234,227,3309,1539,729
flickr,7387939334,235,1881,1259,3,502
flickr,7560517176,236,963,2509,297,74
flickr,7623513024,237,938,0,577,1381
flickr,7733838448,238,1785,169,244,0
flickr,7740990330,239,143,3785,81,40
flickr,7897462346,240,0,185,761,483
flickr,8250285374,241,0,104,907,1326
flickr,8294094053,242,0,389,1173,0
flickr,8311669586,243,156,5203,1,757
flickr,8396975855,244,97,38,611,3568
flickr,9060997789,245,345,693,762,118
flickr,9309351423,246,631,410,175,88
flickr,9456627660,247,25,0,2788,1767
flickr,9636000842,248,300,2045,610,325
flickr,9761803312,249,1783,988,711,795
