dataset,model,sample_id,sample_index,readout,iou
flickr,mean_cram,12048726756,92,AUD,0.7027295554311108
flickr,mean_cram,12066557153,93,AUD,0.4908908844240584
flickr,mean_cram,12103535156,94,AUD,0.5785535522753971
flickr,mean_cram,12158276143,95,AUD,0.5037961403605643
flickr,mean_cram,12328837165,96,AUD,0.6079498923230914
flickr,mean_cram,12373955905,97,AUD,0.5938714017699785
flickr,mean_cram,12444360833,98,AUD,0.6305436932689997
flickr,mean_cram,12512072175,99,AUD,0.7451050989267222
flickr,mean_cram,12534178685,100,AUD,0.7790082124359745
flickr,mean_cram,12598610153,101,AUD,0.6957198310504625
flickr,mean_cram,12599965145,102,AUD,0.760266675276038
flickr,mean_cram,12729873904,103,AUD,0.7786740416378581
flickr,mean_cram,13153991894,104,AUD,0.37323711491263417
flickr,mean_cram,13234495505,105,AUD,0.38373927761999027
flickr,mean_cram,13409856383,106,AUD,0.8496826207500365
flickr,mean_cram,13447842855,107,AUD,0.6995784661200009
flickr,mean_cram,13579448834,108,AUD,0.6015555982331476
flickr,mean_cram,13660204414,109,AUD,0.5484187891595299
flickr,mean_cram,13721325644,110,AUD,0.726761965720788
flickr,mean_cram,13861270725,111,AUD,0.5709097728977699
flickr,mean_cram,14062380939,112,AUD,0.46363912444226413
flickr,mean_cram,14172932360,113,AUD,0.5891047852976008
flickr,mean_cram,14174434304,114,AUD,0.879489088722149
flickr,mean_cram,14203929291,115,AUD,0.6442462943837549
flickr,mean_cram,14414061986,116,AUD,0.7911610976292701
flickr,mean_cram,14566072101,117,AUD,0.6415034457743924
flickr,mean_cram,14648401332,118,AUD,0.8602168080632296
flickr,mean_cram,14652810592,119,AUD,0.7376002148145306
flickr,mean_cram,14678892718,120,AUD,0.5945121951219512
flickr,mean_cram,14680986811,121,AUD,0.6427138806279826
flickr,mean_cram,14742398172,122,AUD,0.8159907711420712
flickr,mean_cram,14778198185,123,AUD,0.7230984420971398
flickr,mean_cram,14899015793,124,AUD,0.9476523040468916
