dataset,method,rescue,hurt,net,oracle_cIoU,oracle_AUC
vggss_144k,FULL_TEMP_MEAN_4,7,7,0,0.428266770065917,0.4236138037999225
vggss_144k,FULL_TEMP_GEO_4,7,7,0,0.428266770065917,0.42360411012020166
