sample_id,IoU_FULL_AUD,IoU_CHUNK_1,IoU_CHUNK_2,IoU_CHUNK_3,IoU_CHUNK_4,IoU_TEMP_MEAN_4,IoU_TEMP_GEO_4,IoU_FULL_TEMP_MEAN_4,IoU_FULL_TEMP_GEO_4,IoU_TEMP_MEAN_2,IoU_TEMP_GEO_2,IoU_OGL,IoU_FULL_TEMP_MEAN_4_A0.5,IoU_FULL_TEMP_MEAN_4_A0.6,IoU_FULL_TEMP_MEAN_4_A0.7,IoU_FULL_TEMP_MEAN_4_A0.8,IoU_FULL_TEMP_MEAN_4_A0.9,IoU_FULL_TEMP_GEO_4_A0.5,IoU_FULL_TEMP_GEO_4_A0.6,IoU_FULL_TEMP_GEO_4_A0.7,IoU_FULL_TEMP_GEO_4_A0.8,IoU_FULL_TEMP_GEO_4_A0.9,temporal_agreement_pearson,temporal_agreement_spearman,temporal_agreement_js_divergence
-0BIyqJj9ZU_000030,0.299209068494028,0.30415923214175844,0.29422935555011026,0.29865411348414,0.2899671675716631,0.30013909964592816,0.300091664822834,0.2997577457605508,0.29973863708803467,0.2988748918165208,0.2988461538461539,0.34181855912565284,0.299767597338512,0.2997577457605508,0.2997734307687398,0.2998465767435914,0.2995009916192182,0.29974851176264605,0.29973863708803467,0.2997638649562831,0.29982740986959855,0.2995009916192182,0.9893387448265966,0.9897244645613029,5.5292043384517225e-06
-0UuUoXQUoI_000107,0.6284455632473254,0.625900656762099,0.6234487868123727,0.6228603324237162,0.5983635507417,0.6264353469795307,0.6265443654062149,0.6281053952321205,0.6281287246722288,0.6267191797949487,0.6267191797949487,0.45500074378935884,0.628032345013477,0.6281053952321205,0.6278237951807228,0.6279989951011179,0.6281350179143881,0.628032345013477,0.6281287246722288,0.6277844010792496,0.6280223575959304,0.6281350179143881,0.9980110092710053,0.9976885092186035,3.925567217938418e-06
-2-wdcN5vOw_000017,0.6180354539500095,0.6169911129919594,0.6124653798177552,0.6237834870907133,0.6205129286708567,0.6185908946868068,0.6186120207034963,0.6181994887071898,0.6181994887071898,0.6182044835090537,0.6182256122039341,0.5247595067467234,0.618300128874147,0.6181994887071898,0.6180727218947413,0.618014325255129,0.6179931965602484,0.618300128874147,0.6181994887071898,0.6180727218947413,0.618014325255129,0.6179931965602484,0.9995699974956492,0.9992772274860745,4.0155024973888145e-07
-23CeprtibU_000030,0.35660546925150854,0.36228957994651007,0.35844022575679835,0.3542241226627533,0.3546157601294931,0.3571410226776588,0.3571501951921101,0.35683102208525935,0.35683102208525935,0.3569464785837252,0.3569464785837252,0.39265782767186036,0.35683656438567213,0.35683102208525935,0.35675398048279405,0.3567906307787138,0.3567008191459312,0.35683656438567213,0.35683102208525935,0.3567448190852829,0.3567906307787138,0.3567008191459312,0.9967744030847108,0.9949405924025214,5.756082623684215e-07
-2Dm0VjW8oM_000001,0.5905244122965642,0.5908246182997485,0.5910312273057371,0.6052555587640774,0.5846425482848083,0.5931534142365513,0.5931534142365513,0.5915819188592523,0.5915819188592523,0.5906229650531799,0.5906229650531799,0.5793792781580585,0.5918204849800941,0.5915819188592523,0.5913005717594267,0.5911722141823444,0.590688757053972,0.5918204849800941,0.5915819188592523,0.5913005717594267,0.5911722141823444,0.590688757053972,0.9994224815897762,0.9990121312093755,1.1590580140144182e-06
-2sOH8XovEE_000484,0.15380407338831847,0.16034218030269795,0.1559100797679478,0.15094573387296606,0.15172900494001412,0.1554789858771482,0.15544592353166334,0.15440182494085838,0.15439530266548387,0.15561800144760932,0.15557825735325417,0.1596767147225863,0.15458467264422263,0.15440182494085838,0.15424544226873735,0.1541153651543262,0.15397902009521,0.15457159773323184,0.15439530266548387,0.15423242467718795,0.1541153651543262,0.15397253349060577,0.9941571934072702,0.9928307129177325,6.5536961259748916e-06
-3Kv4fdm7Uk_000030,0.21268510538274701,0.24885405207187386,0.22831069431010556,0.2066458587088916,0.1855370629848604,0.21547926175828538,0.21543650793650793,0.213832762219859,0.2137906592108372,0.21390858944050434,0.213832762219859,0.26331360946745563,0.21411105852658147,0.213832762219859,0.21351319463562354,0.21326995600251414,0.21297712918284886,0.21409417146462656,0.2137906592108372,0.2135047978606261,0.21324482501276562,0.21295206715305562,0.9962186776260107,0.9963276993733848,4.325073600096716e-06
-4bPiXbovf0_000008,0.3683596786732314,0.36729135594319434,0.3770074681118234,0.37053094768175493,0.36136813221874803,0.37002859370938396,0.37002859370938396,0.36901170899419417,0.36902367823548493,0.3690271515230155,0.3690271515230155,0.5110013669033027,0.3692647154260497,0.36901170899419417,0.36890748127249734,0.36872305248484455,0.36854726335914967,0.3692647154260497,0.36902367823548493,0.36890748127249734,0.36872305248484455,0.36854726335914967,0.9983343694666006,0.9974563507558432,1.337113148689599e-06
-5CGQGSFGyg_000060,0.2660986547085202,0.2525536261491318,0.28044803629661136,0.2700955848884843,0.2686283386147578,0.26727321862895237,0.2672611809214971,0.26657681940700806,0.26657681940700806,0.2659197848980506,0.2659078687936906,0.35866279772699794,0.26676856680453154,0.26657681940700806,0.26645711719802423,0.2663973063973064,0.2663016649463717,0.26676856680453154,0.26657681940700806,0.26645711719802423,0.2663973063973064,0.2663016649463717,0.9979837878014081,0.9969439552470734,1.4138262898163349e-06
-5z9IXBJefc_000227,0.23364234851538357,0.23697230313959403,0.23250991705733862,0.23525542644156983,0.22352237786129142,0.2319782715169865,0.2319918083874989,0.23309043765926057,0.23308001788109076,0.23312198606894088,0.23310116974729886,0.22880606908742726,0.23296546177561325,0.23309043765926057,0.23319468670334093,0.23331990871257888,0.23344822955369532,0.23296546177561325,0.23308001788109076,0.23319468670334093,0.23330946840880615,0.23344822955369532,0.9991015725104638,0.9986309557012966,2.1852599760243735e-06
