dataset,group,seed,kind,sample_index,sample_id,rho_full_common,rho_full_specific,common_spatial_std,specific_spatial_std,common_specific_std_ratio
flickr,C0,12345,best,0,10000130166,0.9933673469387755,0.8136734693877551,0.14065462791305006,0.019660619638339503,7.154129956248392
flickr,C0,12345,best,1,10007936344,0.9914285714285714,0.22826530612244897,0.1564173456036962,0.013420962820911563,11.654703741521296
flickr,C0,12345,best,2,10008553263,0.9946938775510205,0.753061224489796,0.14489316608397845,0.02202874419098172,6.57745919730167
flickr,C0,12345,best,3,10009662863,0.9910204081632653,0.17561224489795918,0.1648082068076844,0.016417995179151847,10.038266244405024
flickr,C0,12345,best,4,10013411946,0.986938775510204,0.3943877551020408,0.1162258607667335,0.019151083744294327,6.0688920960601305
flickr,C0,12345,best,5,10016382545,0.9821428571428571,0.6115306122448979,0.13303562429475566,0.02136276919697969,6.227452212214346
flickr,C0,12345,best,6,10031203703,0.9935714285714285,-0.17938775510204083,0.1338077112763356,0.016516555038146613,8.10142980587014
flickr,C0,12345,best,7,10035917404,0.9815306122448979,-0.2883673469387755,0.12003105754013622,0.017678766800080372,6.78956054443744
flickr,C0,12345,best,8,10045181004,0.9913265306122448,0.18928571428571428,0.14950012655728454,0.018394894256574625,8.12726208001173
flickr,C0,12345,best,9,10060697266,0.9959183673469387,-0.8476530612244898,0.20547225270813904,0.035564971761692446,5.777377080036269
flickr,C0,12345,best,10,10061269855,0.9931632653061224,-0.5181632653061224,0.17642981800582494,0.02090338650185452,8.440250482388217
flickr,C0,12345,best,11,10067897816,0.9790816326530613,-0.13653061224489796,0.13687285206169333,0.023140075724541073,5.914969928837944
flickr,C0,12345,best,12,10069511285,0.9731632653061224,0.68,0.16035951907252977,0.02228067052164851,7.197248346575569
flickr,C0,12345,best,13,10079676496,0.9963265306122449,0.012551020408163265,0.1771313037974077,0.013074614222443487,13.547726975634163
flickr,C0,12345,best,14,10080652613,0.9963265306122449,0.6641836734693878,0.19652422457245936,0.01576220678698818,12.468065368530223
flickr,C0,12345,best,15,10106776154,0.9676530612244898,-0.698469387755102,0.11835637892884172,0.036194508027493605,3.2700093295628547
flickr,C0,12345,best,16,10109936483,0.9935714285714285,-0.6138775510204082,0.18999399631579855,0.021083637366223134,9.011442997979886
flickr,C0,12345,best,17,10110769444,0.9955102040816326,-0.35714285714285715,0.18222968323208563,0.010297623424300918,17.69628541689043
flickr,C0,12345,best,18,10111706074,0.99,0.2553061224489796,0.14710357738561972,0.017533257356571155,8.389974229773562
flickr,C0,12345,best,19,10119607346,0.9794897959183674,0.10826530612244897,0.1252761233358219,0.020980728096354907,5.971009335828854
flickr,C0,12345,best,20,10119736773,0.9934693877551021,-0.16540816326530614,0.11870700410532285,0.009344994806164865,12.702736231272404
flickr,C0,12345,best,21,10129791115,0.9923469387755102,-0.8768367346938776,0.16982071656108197,0.02717978783311137,6.248051589063563
flickr,C0,12345,best,22,10129813456,0.9883673469387755,-0.5568367346938775,0.12342347682816639,0.013367061793106339,9.23340362590516
flickr,C0,12345,best,23,10163352444,0.993061224489796,-0.27346938775510204,0.16598431737667316,0.008606317012440638,19.286335506435428
flickr,C0,12345,best,24,10165890496,0.9974489795918368,0.935204081632653,0.2367308577702232,0.03023651826652554,7.829302821294239
flickr,C0,12345,best,25,10173808724,0.9951020408163266,-0.10336734693877551,0.1932515346119606,0.01129902267365185,17.103384973516615
flickr,C0,12345,best,26,10202025415,0.9965306122448979,0.690204081632653,0.16613931475014615,0.01918681636590935,8.65903501559218
flickr,C0,12345,best,27,10221582415,0.9425510204081633,-0.39948979591836736,0.08749707517099195,0.0313080354167015,2.7947162447732508
flickr,C0,12345,best,28,10234680056,0.9944897959183674,0.12071428571428572,0.17012168994861238,0.011964305204221879,14.219103161007716
flickr,C0,12345,best,29,10246013484,0.9959183673469387,0.22387755102040816,0.16297755291189853,0.012545633460439387,12.99077909663324
flickr,C0,12345,best,30,10268129763,0.9911224489795918,0.7093877551020408,0.15925563273269228,0.027544386082220988,5.7817818940421635
flickr,C0,12345,best,31,10278084464,0.9904081632653061,-0.7511224489795918,0.14827187791196467,0.018414602006887642,8.051864376786764
flickr,C0,12345,best,32,10283938426,0.9926530612244898,0.11214285714285714,0.10157022112776623,0.009472868535114707,10.722224292595055
flickr,C0,12345,best,33,10289643764,0.9958163265306123,0.356734693877551,0.19933703148848111,0.010902918122614423,18.282906396868533
flickr,C0,12345,best,34,10304554474,0.9944897959183674,-0.04214285714285714,0.19481478381106207,0.013785806186233134,14.131548143017504
flickr,C0,12345,best,35,10308472565,0.9828571428571429,0.4969387755102041,0.13342779869193705,0.02313576110629468,5.767167031113344
flickr,C0,12345,best,36,10369815925,0.9894897959183674,0.2530612244897959,0.1717283663098118,0.020733243747710267,8.282754420845368
flickr,C0,12345,best,37,10389014583,0.9907142857142858,-0.5640816326530612,0.13847955474707577,0.025621582959490675,5.404800904222842
flickr,C0,12345,best,38,10409146004,0.9911224489795918,-0.029081632653061223,0.12742680252143396,0.015005710648368113,8.49188722263492
flickr,C0,12345,best,39,10409351364,0.9973469387755102,0.9089795918367347,0.16413817670761396,0.03146023402253495,5.2173221785331245
flickr,C0,12345,best,40,10413912845,0.9966326530612245,-0.7056122448979592,0.22373071453263543,0.021002105294014556,10.652775586093124
flickr,C0,12345,best,41,10437048305,0.9879591836734694,-0.23581632653061224,0.16506517870420595,0.03194229030877895,5.167606239520019
flickr,C0,12345,best,42,10440265465,0.9851020408163266,0.1407142857142857,0.11761630763301663,0.020270587882160223,5.802313594295339
flickr,C0,12345,best,43,10441843213,0.9984693877551021,0.8472448979591837,0.1907254988236453,0.016925147732022396,11.268764198896326
flickr,C0,12345,best,44,10446128125,0.9810204081632653,-0.45448979591836736,0.15964527333890172,0.02768949892159768,5.765552991440345
flickr,C0,12345,best,45,10451898725,0.9956122448979592,0.5053061224489795,0.15320161212267125,0.007939280174257045,19.29666276540087
flickr,C0,12345,best,46,10468313544,0.9962244897959184,0.7066326530612245,0.17078349237235618,0.01273731412316084,13.408124406841216
flickr,C0,12345,best,47,10476442285,0.9955102040816326,0.25051020408163266,0.14245130636046344,0.011224521818280302,12.691080178441691
flickr,C0,12345,best,48,10476446674,0.9889795918367347,0.4580612244897959,0.0866316095852431,0.011297375190759261,7.668295344931433
flickr,C0,12345,best,49,10477544895,0.9912244897959184,0.13673469387755102,0.14725345881686683,0.013725249344714653,10.72865454889324
flickr,C0,12345,best,50,10481128583,0.9959183673469387,-0.6403061224489796,0.20001971893007067,0.01657303686674771,12.06898412996305
flickr,C0,12345,best,51,10520382525,0.9965306122448979,0.5895918367346938,0.22759184154250256,0.016490529005149614,13.801366922275863
flickr,C0,12345,best,52,10545790805,0.9955102040816326,0.8348979591836735,0.13137314707786085,0.016316211865662913,8.051694116226363
flickr,C0,12345,best,53,10548273474,0.9962244897959184,0.11785714285714285,0.12700694458741785,0.013913628922333292,9.12824003690038
flickr,C0,12345,best,54,10549911663,0.9827551020408163,-0.11306122448979591,0.11486387704390413,0.017894390079367484,6.418988103782537
flickr,C0,12345,best,55,10555704135,0.9953061224489796,-0.10979591836734694,0.1503049571531622,0.01178013750646575,12.759185287155136
flickr,C0,12345,best,56,10557361454,0.9971428571428571,0.2695918367346939,0.23100322713514373,0.014309984214919903,16.14280097488121
flickr,C0,12345,best,57,10610974774,0.9962244897959184,-0.34285714285714286,0.21171449503011,0.01287605487473788,16.44249710720652
flickr,C0,12345,best,58,10624261424,0.9966326530612245,0.23857142857142857,0.19793532081013274,0.017711820921772644,11.175323061606637
flickr,C0,12345,best,59,10635080206,0.9945918367346939,0.7696938775510204,0.16373817989069392,0.020360834256400586,8.041820773587485
flickr,C0,12345,best,60,10654057765,0.9843877551020408,-0.586530612244898,0.1302955841624675,0.025817908321147318,5.046713410773988
flickr,C0,12345,best,61,10659354545,0.9943877551020408,0.286734693877551,0.12365107107349967,0.01259614948825015,9.81657697765837
flickr,C0,12345,best,62,10666396623,0.996734693877551,-0.6564285714285715,0.1836352074437122,0.023773381473198348,7.7244041892289905
flickr,C0,12345,best,63,10667001125,0.9960204081632653,-0.6773469387755102,0.18329987626095018,0.015331225532225686,11.95598328885453
flickr,C0,12345,best,64,10701841844,0.9962244897959184,-0.4742857142857143,0.16743329456117703,0.014949601309987764,11.19985015582426
flickr,C0,12345,best,65,10743985374,0.993265306122449,-0.7985714285714286,0.12194582313257026,0.026490605301299375,4.603361144284188
flickr,C0,12345,best,66,10751849775,0.9809183673469388,0.6315306122448979,0.12832821481919907,0.020679545014006352,6.205562778691783
flickr,C0,12345,best,67,10761625676,0.9997959183673469,0.9493877551020408,0.23902901302358306,0.016481886105563254,14.50252789593673
flickr,C0,12345,best,68,10771238614,0.9981632653061224,0.9551020408163265,0.20260472490405976,0.035975708653213645,5.631709075061165
flickr,C0,12345,best,69,10795023275,0.9854081632653061,0.3578571428571429,0.15140446244758554,0.017385522514349702,8.70865182928031
flickr,C0,12345,best,70,10796050285,0.995,0.7742857142857142,0.20726048503504865,0.02031961824792776,10.200018647308275
flickr,C0,12345,best,71,10805310706,0.995,0.5475510204081633,0.14938550764273326,0.011349556344047804,13.162233228709194
flickr,C0,12345,best,72,10847897294,0.9795918367346939,-0.4791836734693877,0.15281121660016048,0.03014227997218604,5.069663500610036
flickr,C0,12345,best,73,10859255295,0.9953061224489796,-0.7070408163265306,0.24835357747537176,0.015805366894249693,15.713243427821201
flickr,C0,12345,best,74,10862172945,0.9976530612244898,0.5703061224489796,0.13325838683315258,0.011055030124731078,12.054095314950052
flickr,C0,12345,best,75,10939270325,0.9890816326530613,0.13387755102040816,0.18916452655151098,0.015296761410565329,12.366312154209114
flickr,C0,12345,best,76,10952523225,0.9971428571428571,0.9519387755102041,0.17211777556887053,0.023362548646902705,7.367251671477593
flickr,C0,12345,best,77,10979853044,0.996938775510204,0.9687755102040816,0.20859579432990347,0.03079829275985527,6.772966149662762
flickr,C0,12345,best,78,10980225216,0.9977551020408163,0.9219387755102041,0.2232479528013761,0.03127066425689625,7.13921364021368
flickr,C0,12345,best,79,11002352834,0.9927551020408163,0.876938775510204,0.14105006227146347,0.034855351957675,4.046726093678272
flickr,C0,12345,best,80,11036641226,0.9989795918367347,0.6109183673469388,0.2040990148053412,0.008072653697078725,25.282766047452167
flickr,C0,12345,best,81,11050409385,0.9936734693877551,-0.8762244897959184,0.19614820139377853,0.04838584432879513,4.053834424401019
flickr,C0,12345,best,82,11071986404,0.9907142857142858,-0.28408163265306124,0.17191807915156723,0.015312678605141437,11.227172174425672
flickr,C0,12345,best,83,11101358996,0.9880612244897959,0.024387755102040817,0.19511582359944163,0.022071712352867243,8.840085466866595
flickr,C0,12345,best,84,11154049584,0.9938775510204082,0.6177551020408163,0.18961131572161932,0.019102718711966494,9.925881157577917
flickr,C0,12345,best,85,11314266424,0.9981632653061224,0.7819387755102041,0.20481675431619548,0.014707799228040039,13.925724110084236
flickr,C0,12345,best,86,11650557765,0.9936734693877551,0.12744897959183674,0.16855900001244964,0.010638857439034857,15.843712633463118
flickr,C0,12345,best,87,11764496003,0.9909183673469387,0.5601020408163265,0.20030538205654744,0.020568633978571182,9.73839012669629
flickr,C0,12345,best,88,11765015695,0.9977551020408163,-0.6081632653061224,0.19756200279455136,0.012534306652068311,15.761701726194106
flickr,C0,12345,best,89,11776645404,0.9895918367346939,-0.5377551020408163,0.1759348154538051,0.02985424078049781,5.893126432099187
flickr,C0,12345,best,90,12015590114,0.9884693877551021,0.5184693877551021,0.13725258547644414,0.024239509975776546,5.662349841791596
flickr,C0,12345,best,91,12031178616,0.9972448979591837,-0.3292857142857143,0.20428230829281846,0.01358150234053481,15.041215851587026
flickr,C0,12345,best,92,12048726756,0.9909183673469387,-0.8461224489795919,0.17206408945448293,0.03345921884049775,5.142501690631916
flickr,C0,12345,best,93,12066557153,0.9929591836734694,-0.0633673469387755,0.216957681180647,0.016018319119389706,13.544347541311378
flickr,C0,12345,best,94,12103535156,0.9923469387755102,-0.3145918367346939,0.21424823993574865,0.022293244992106137,9.610455544341448
flickr,C0,12345,best,95,12158276143,0.9938775510204082,0.8813265306122449,0.2321735271963137,0.05068685056685454,4.580547510839785
flickr,C0,12345,best,96,12328837165,0.9907142857142858,0.553265306122449,0.09697863691060486,0.012778833343232354,7.589005530146034
flickr,C0,12345,best,97,12373955905,0.9966326530612245,-0.6473469387755102,0.23096364673211214,0.01895185638768164,12.186861382203924
flickr,C0,12345,best,98,12444360833,0.9842857142857143,0.24918367346938775,0.15942804174326525,0.02656511870238248,6.001405208438501
flickr,C0,12345,best,99,12512072175,0.9945918367346939,-0.4990816326530612,0.18956270028044783,0.02093135215725716,9.056400124381076
flickr,C0,12345,best,100,12534178685,0.9929591836734694,-0.7030612244897959,0.17233454827256534,0.017066034592504182,10.098101427044972
flickr,C0,12345,best,101,12598610153,0.9879591836734694,0.868061224489796,0.1940208076478805,0.0275607642534834,7.039747006411778
flickr,C0,12345,best,102,12599965145,0.996938775510204,-0.4387755102040816,0.22185708086247166,0.012589670653160988,17.622151283740553
flickr,C0,12345,best,103,12729873904,0.9968367346938776,0.03214285714285714,0.15448736549125575,0.008534805917438206,18.100864505378983
flickr,C0,12345,best,104,13153991894,0.9931632653061224,0.3373469387755102,0.11224675418576915,0.01062464723561294,10.564751157998668
flickr,C0,12345,best,105,13234495505,0.9884693877551021,0.436530612244898,0.17805145019001586,0.020723256000951415,8.591866557158848
flickr,C0,12345,best,106,13409856383,0.9923469387755102,0.9170408163265306,0.20619557685184545,0.03906350088360218,5.278471519136189
flickr,C0,12345,best,107,13447842855,0.9978571428571429,0.9243877551020409,0.17187685092951854,0.018872641556409223,9.107196277521018
flickr,C0,12345,best,108,13579448834,0.9964285714285714,-0.0973469387755102,0.17278504513446252,0.014270087067315375,12.108198381649293
flickr,C0,12345,best,109,13660204414,0.9952040816326531,0.6870408163265306,0.1503005120048052,0.0136352587788643,11.022930656643096
flickr,C0,12345,best,110,13721325644,0.9861224489795918,0.28551020408163263,0.16222372756661935,0.021536845002125663,7.5323812541069985
flickr,C0,12345,best,111,13861270725,0.9490816326530612,0.6394897959183673,0.10210686044159614,0.02250031170816282,4.538019817945593
flickr,C0,12345,best,112,14062380939,0.9925510204081632,0.4273469387755102,0.09058198251613964,0.006310261712583334,14.354710888695713
flickr,C0,12345,best,113,14172932360,0.9953061224489796,0.6401020408163265,0.27332695750845637,0.018622973700220286,14.676869650802507
flickr,C0,12345,best,114,14174434304,0.9892857142857143,-0.1783673469387755,0.11424246973001399,0.012773224856197057,8.943901874129157
flickr,C0,12345,best,115,14203929291,0.9976530612244898,0.7011224489795919,0.18721175234141396,0.007755801886433947,24.138284484661117
flickr,C0,12345,best,116,14414061986,0.9945918367346939,0.8995918367346939,0.2538877910452824,0.04177274810776231,6.077833098036095
flickr,C0,12345,best,117,14566072101,0.9941836734693877,0.31020408163265306,0.13231163164040716,0.012732841966194767,10.391366828528128
flickr,C0,12345,best,118,14648401332,0.9896938775510205,-0.4306122448979592,0.14495556175856017,0.01864503995217311,7.774483837545511
flickr,C0,12345,best,119,14652810592,0.9983673469387755,0.9451020408163265,0.21769862805028153,0.026582805332725473,8.189452743058604
flickr,C0,12345,best,120,14678892718,0.991734693877551,-0.4879591836734694,0.15690264424127665,0.016978649566677922,9.241173370419974
flickr,C0,12345,best,121,14680986811,0.9887755102040816,-0.3103061224489796,0.13534726015187173,0.014933934831217601,9.063067549280081
flickr,C0,12345,best,122,14742398172,0.9977551020408163,0.48489795918367345,0.21407493344513415,0.009124450213272014,23.461680259239117
flickr,C0,12345,best,123,14778198185,0.996734693877551,0.9254081632653062,0.23890885558836558,0.035208759477579954,6.785494835184315
flickr,C0,12345,best,124,14899015793,0.9939795918367347,-0.6274489795918368,0.15771856861673444,0.014694776470716483,10.732968203431573
flickr,C0,12345,best,125,15135657108,0.9812244897959184,-0.5192857142857142,0.1547525341147195,0.029565600595646745,5.23420904689842
flickr,C0,12345,best,126,15210828119,0.9921428571428571,-0.6909183673469388,0.15190392695195565,0.017291823952840627,8.784725507629375
flickr,C0,12345,best,127,15679023977,0.9960204081632653,-0.6766326530612244,0.24016043504829065,0.01830710333079556,13.118428989489631
flickr,C0,12345,best,128,15799251138,0.9905102040816327,0.7066326530612245,0.13231897773647266,0.013759716192378478,9.61640312100073
