dataset,group,metric,n,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,A_ogl_help,gt_response,428,-0.00651323356639559,-0.007520586252212524,-0.02630409598350525,0.012001872062683105,0.038305968046188354,-0.009810359955321406,-0.0032850924687825673,428
vggss,A_ogl_help,nearfp_response,428,-0.009760410852835213,-0.013583734631538391,-0.0342300683259964,0.014202862977981567,0.048432931303977966,-0.013508625176381057,-0.0061756368778960805,426
vggss,A_ogl_help,gt_nearfp_gap,428,0.003438571179416818,0.003630995750427246,-0.010600671172142029,0.020202606916427612,0.03080327808856964,0.0007837617603685934,0.005931220205387037,426
vggss,A_ogl_help,gt_vs_nearfp_auroc,428,0.002328271737185018,0.002197265625,-0.030277252197265625,0.03470420837402344,0.06498146057128906,-0.0037207732345496862,0.007867487064622081,426
vggss,A_ogl_help,coverage,428,-0.004877929541775591,0.0,-0.029819462890650322,0.006241692742225774,0.036061155632876096,-0.011564176386130942,0.0020835296354571133,428
vggss,A_ogl_help,precision,428,0.024048914968921826,0.019718101844381275,-0.01733340371739802,0.05258721702534214,0.06992062074274016,0.018445634581787603,0.029811557106002078,428
vggss,A_ogl_help,pred_area_ratio,428,-0.020536310318519928,-0.02076690051020405,-0.06031768176020408,0.023138552295918352,0.08345623405612243,-0.027819937139027626,-0.013461540610695212,428
vggss,A_ogl_help,iou,428,0.01858997542560659,0.016351956184859073,-0.018994214684219683,0.05221495068898113,0.07120916537320082,0.012961745942727566,0.024407851034930175,428
vggss,A_ogl_help,Hard_vs_Mean_RemoveFP,428,2177.4205607476633,1538.0,487.0,3055.25,2568.25,1963.1518691588785,2413.0444509345793,428
vggss,A_ogl_help,Hard_vs_Mean_RemoveTP,428,415.64252336448595,76.5,0.0,529.0,529.0,346.82628504672897,489.88393691588783,428
vggss,A_ogl_help,Hard_vs_Mean_AddTP,428,355.01635514018693,13.5,0.0,266.5,266.5,279.7818341121495,433.73732476635513,428
vggss,A_ogl_help,Hard_vs_Mean_AddFP,428,1207.6168224299065,541.0,124.75,1751.5,1626.75,1056.8852219626167,1361.6502336448598,428
vggss,B_close,gt_response,3099,-0.0042306793613667865,-0.0030773282051086426,-0.023835361003875732,0.016881823539733887,0.04071718454360962,-0.005532872789197481,-0.0029678178047186973,3097
vggss,B_close,nearfp_response,3099,-0.005070392444934732,-0.0036700963973999023,-0.029390424489974976,0.020190134644508362,0.04958055913448334,-0.0065142406288536845,-0.0036181657076779744,3054
vggss,B_close,gt_nearfp_gap,3099,0.0009865892347199665,0.000873565673828125,-0.013510122895240784,0.015973523259162903,0.029483646154403687,-2.4610827112791184e-05,0.0019923839188707207,3054
vggss,B_close,gt_vs_nearfp_auroc,3099,0.0017835886791080413,0.0023193359375,-0.02655792236328125,0.03076171875,0.05731964111328125,-0.000344541859649684,0.003932283025170462,3054
vggss,B_close,coverage,3099,-0.007133773252667058,0.0,-0.031626684121477844,0.01961401547066638,0.05124069959214422,-0.009702015395687658,-0.004518662026543663,3099
vggss,B_close,precision,3099,0.0028380225599448266,0.0004384523636550841,-0.014855045773204754,0.018487955476203563,0.03334300124940832,0.0013807041970283302,0.0043007122774644324,3099
vggss,B_close,pred_area_ratio,3099,-0.004410747161279807,-0.004524075255102067,-0.03484733737244901,0.028180803571428575,0.06302814094387758,-0.006435515266352789,-0.0023420592750047734,3099
vggss,B_close,iou,3099,-0.002389116621806088,-0.0010429291220334022,-0.02106548301946963,0.01702053606447014,0.03808601908393977,-0.0038306325796262455,-0.0008553800571561381,3099
vggss,B_close,Hard_vs_Mean_RemoveFP,3099,1194.1810261374637,649.0,161.0,1672.0,1511.0,1138.4422555663118,1249.9404888673766,3099
vggss,B_close,Hard_vs_Mean_RemoveTP,3099,530.0864795095192,116.0,0.0,700.0,700.0,496.40772829945143,563.1696837689577,3099
vggss,B_close,Hard_vs_Mean_AddTP,3099,403.8018715714747,85.0,0.0,463.0,463.0,377.38456760245236,430.9536221361729,3099
vggss,B_close,Hard_vs_Mean_AddFP,3099,1099.1519845111327,526.0,99.5,1503.0,1403.5,1045.5695627621815,1153.00891416586,3099
vggss,C_aud_better,gt_response,257,-0.008913297829461006,-0.00850975513458252,-0.031025707721710205,0.013863444328308105,0.04488915205001831,-0.013895393554338687,-0.004120961017181901,257
vggss,C_aud_better,nearfp_response,257,-0.0034261755496857176,-0.00478672981262207,-0.03800404071807861,0.029499560594558716,0.06750360131263733,-0.009714886332413115,0.0027366981771125235,251
vggss,C_aud_better,gt_nearfp_gap,257,-0.00555063588210786,-0.003342270851135254,-0.027155861258506775,0.016941547393798828,0.0440974086523056,-0.010605403757190324,-0.0005887796530923051,251
vggss,C_aud_better,gt_vs_nearfp_auroc,257,-0.008702064503517523,-0.0029754638671875,-0.05370330810546875,0.032885661878083866,0.08658896998355262,-0.017898603335285757,-0.00016249322348992935,251
vggss,C_aud_better,coverage,257,-0.022359393718986934,-0.013864042933810383,-0.06403885755215333,0.026773683285488237,0.09081254083764156,-0.03294021599119667,-0.011762939344033671,257
vggss,C_aud_better,precision,257,-0.006742607099962227,-0.0023239059279669405,-0.024273669302929624,0.018929784211457745,0.04320345351438737,-0.013828350760660234,-0.0002319539821933629,257
vggss,C_aud_better,pred_area_ratio,257,-0.008208460305328355,-0.013532366071428548,-0.050302933673469385,0.035654496173469385,0.08595742984693877,-0.017072895625297783,0.0008082483510183829,257
vggss,C_aud_better,iou,257,-0.025535387426374217,-0.019826549287292966,-0.05912192531224214,0.011864899542891605,0.07098682485513375,-0.03379661149320157,-0.017075598104286663,257
vggss,C_aud_better,Hard_vs_Mean_RemoveFP,257,703.0428015564203,383.0,75.0,923.0,848.0,594.9963035019455,820.2986381322958,257
vggss,C_aud_better,Hard_vs_Mean_RemoveTP,257,1611.4941634241245,1001.0,172.0,2334.0,2162.0,1385.8326848249028,1866.9425097276257,257
vggss,C_aud_better,Hard_vs_Mean_AddTP,257,927.3774319066148,486.0,96.0,1204.0,1108.0,783.7864785992218,1090.1244163424124,257
vggss,C_aud_better,Hard_vs_Mean_AddFP,257,975.2918287937744,273.0,58.0,1153.0,1095.0,785.4108949416343,1187.050194552529,257
vggss,transition,gt_response,1374,-0.005397756265413987,-0.004924595355987549,-0.024860292673110962,0.01560695469379425,0.04046724736690521,-0.007234845146688659,-0.003562868018858298,1374
vggss,transition,nearfp_response,1374,-0.006180974677027691,-0.005129456520080566,-0.030925840139389038,0.019328176975250244,0.05025401711463928,-0.008371058445135575,-0.003993497967409591,1344
vggss,transition,gt_nearfp_gap,1374,0.0011630850799736522,0.000803530216217041,-0.016330376267433167,0.018001601099967957,0.03433197736740112,-0.00047026521393230984,0.00280241968132378,1344
vggss,transition,gt_vs_nearfp_auroc,1374,-0.0014056828084124619,-0.0004425048828125,-0.03224945068359375,0.0307159423828125,0.06296539306640625,-0.004485772814609398,0.0018243790614299196,1344
vggss,transition,coverage,1374,-0.008412366272669777,0.0,-0.03546492921492922,0.017395224384143315,0.052860153599072535,-0.01213805812210242,-0.004802714665522199,1374
vggss,transition,precision,1374,0.005063075752575313,0.001973863529205866,-0.019809660605488263,0.027470633729324706,0.04728029433481297,0.002433038407782979,0.007585880096211246,1374
vggss,transition,pred_area_ratio,1374,-0.007067988221489468,-0.006915656887755112,-0.039670360331632654,0.025629783163265293,0.06530014349489795,-0.010585715356182045,-0.0036154247238947457,1374
vggss,transition,iou,1374,-0.002319334636615447,-0.0003997311695803224,-0.02861879431476684,0.0253950983051272,0.05401389261989404,-0.004844804891213694,0.00024305617122249775,1374
vggss,transition,Hard_vs_Mean_RemoveFP,1374,1221.2045123726346,693.0,146.25,1662.5,1516.25,1140.6218704512373,1299.4151018922853,1374
vggss,transition,Hard_vs_Mean_RemoveTP,1374,693.155749636099,219.0,0.0,841.0,841.0,633.3115720524017,757.7352256186317,1374
vggss,transition,Hard_vs_Mean_AddTP,1374,492.3835516739447,116.0,0.0,603.75,603.75,448.38307860262006,537.5304767103347,1374
vggss,transition,Hard_vs_Mean_AddFP,1374,1067.3333333333333,489.5,84.25,1464.5,1380.25,988.2053857350801,1147.0457423580785,1374
