dataset,model,sample_index,sample_id,audio_swap_spearman,audio_swap_spearman_min,audio_swap_pearson,audio_swap_cosine,audio_map_mae,audio_top10_jaccard
vggss,mean_cram,2942,WEHe6W_D4lo_000041,0.9934183673469388,0.9811224489795919,0.99565923,0.999956,0.0001444029,0.803030303030303
vggss,mean_cram,2943,WElvc92V5Q4_000617,0.9841581632653061,0.97,0.98538554,0.999611,0.00042633616,0.8068181818181819
vggss,mean_cram,2944,WF7ugi9ipYw_000120,0.9827806122448979,0.9693877551020408,0.9825466,0.9999263,0.00020111658,0.803030303030303
vggss,mean_cram,2945,WFJ96PH4rvo_000020,0.9965051020408163,0.9940816326530613,0.9979912,0.9998402,0.00030852907,0.8636363636363638
vggss,mean_cram,2946,WFV3FUlTzas_000061,0.9913647959183673,0.9837755102040816,0.9950861,0.9998317,0.0003088449,0.7462121212121212
vggss,mean_cram,2947,WFgIargH3-4_000039,0.9879464285714286,0.9823469387755102,0.9899151,0.99995327,0.00015929164,0.9090909090909092
vggss,mean_cram,2948,WFjx0sH7mlc_000020,0.9852678571428571,0.9746938775510204,0.98881966,0.999908,0.00022454212,0.9772727272727273
vggss,mean_cram,2949,WGYzVpMeSEg_000210,0.9860714285714286,0.976530612244898,0.9888337,0.9999511,0.00016202728,0.821969696969697
vggss,mean_cram,2950,WGqz-OVwLGs_000040,0.9919260204081632,0.9831632653061224,0.9939533,0.99996054,0.0001456347,0.8863636363636365
vggss,mean_cram,2951,WGuc_McKm_4_000030,0.9817219387755103,0.9633673469387755,0.98537046,0.9999213,0.00020024268,0.8257575757575757
vggss,mean_cram,2952,WJIcGFOnRXs_000040,0.9909566326530612,0.9780612244897959,0.99437344,0.9999243,0.00021180352,0.9772727272727273
vggss,mean_cram,2953,WJLbFJxe11o_000030,0.9810969387755102,0.9727551020408163,0.9885111,0.9999268,0.00019126339,0.7613636363636364
vggss,mean_cram,2954,WJORWlj6BW8_000030,0.9673214285714286,0.9555102040816327,0.9728729,0.99979883,0.00033029134,0.8636363636363638
vggss,mean_cram,2955,WJV6Ey6hXEw_000005,0.9880229591836736,0.9716326530612245,0.9886812,0.99990904,0.00021131703,0.9545454545454546
vggss,mean_cram,2956,WJVc82XgbZk_000014,0.9896045918367347,0.9809183673469388,0.98871315,0.9999074,0.00021558031,0.8863636363636365
vggss,mean_cram,2957,WLEZDT_vGuM_000016,0.9872831632653061,0.9780612244897959,0.99069625,0.9999064,0.00021421988,0.9772727272727273
vggss,mean_cram,2958,WLPj0LIokkM_000020,0.9798214285714286,0.9492857142857143,0.9887486,0.9999126,0.00020814524,0.6714015151515151
vggss,mean_cram,2959,WLX3Db60418_000020,0.9786862244897958,0.9630612244897959,0.9815475,0.99991953,0.00020521629,0.7613636363636364
vggss,mean_cram,2960,WMPQ44bukK0_000397,0.972219387755102,0.9225510204081633,0.97590446,0.9997935,0.0003078233,0.6439393939393939
vggss,mean_cram,2961,WMXkrLwPVCU_000098,0.9943494897959184,0.9915306122448979,0.9965405,0.99994063,0.00017900325,0.9545454545454546
vggss,mean_cram,2962,WMZ3ZAMcE3s_000220,0.9760204081632653,0.9511224489795919,0.9806435,0.99990344,0.00023216424,0.8901515151515151
vggss,mean_cram,2963,WQQfK8Bqkw0_000230,0.9879591836734695,0.9797959183673469,0.98556054,0.9994793,0.00050852075,0.9090909090909092
vggss,mean_cram,2964,WQcS2qPupwQ_000094,0.9577295918367347,0.8881632653061224,0.9615611,0.9998697,0.00024961424,0.8513986013986015
vggss,mean_cram,2965,WSuGM1DGvCM_000006,0.9777551020408163,0.9680612244897959,0.9856678,0.99957293,0.00049750623,0.8636363636363638
vggss,mean_cram,2966,WTQhmOYZNJQ_000024,0.9519132653061224,0.8935714285714286,0.96185684,0.9998708,0.00025661784,0.6981351981351982
vggss,mean_cram,2967,WTlaLznHD1c_000053,0.990484693877551,0.9781632653061224,0.9948753,0.9999677,0.00012985856,0.9545454545454546
vggss,mean_cram,2968,WUJXiIqMhCs_000036,0.9936734693877551,0.9886734693877551,0.9953303,0.9997406,0.0003804831,0.7992424242424243
vggss,mean_cram,2969,WUZOa6rFj6s_000030,0.9838392857142857,0.9683673469387755,0.9822667,0.99906194,0.0006512386,0.7301864801864801
vggss,mean_cram,2970,WUiy_6hI-xU_000061,0.9832397959183673,0.9636734693877551,0.9834367,0.99970555,0.00037328922,0.9356060606060606
vggss,mean_cram,2971,WVS46ZGovGw_000030,0.9854974489795918,0.9647959183673469,0.9863806,0.9999316,0.00018245171,0.8901515151515151
vggss,mean_cram,2972,WWkwE6vhGwY_000030,0.9916198979591837,0.9846938775510204,0.99504435,0.9996174,0.00045505722,0.9318181818181819
vggss,mean_cram,2973,WZLxZKna7xY_000276,0.9895918367346939,0.9806122448979592,0.9936669,0.99979854,0.00031153468,0.9772727272727273
vggss,mean_cram,2974,W_-t9sBGOg4_000072,0.982640306122449,0.9724489795918367,0.98599744,0.9993104,0.0006334855,0.8636363636363638
vggss,mean_cram,2975,W_Rr3hZw4Yk_000007,0.9904591836734693,0.9839795918367347,0.99505246,0.9998598,0.00026926544,1.0
vggss,mean_cram,2976,W_UE04p_tYY_000094,0.9826275510204082,0.9671428571428572,0.98721623,0.9998652,0.0002716388,0.8446969696969697
vggss,mean_cram,2977,W_UE04p_tYY_000105,0.9862372448979592,0.968265306122449,0.98858726,0.9998108,0.00033207584,0.840909090909091
vggss,mean_cram,2978,WaGwzEFsJLs_000246,0.9718877551020408,0.9551020408163265,0.97230303,0.99977386,0.0003312981,0.7141608391608392
vggss,mean_cram,2979,Wb1u17uxbYU_000304,0.9749489795918368,0.9553061224489796,0.9743211,0.9998138,0.00031413638,0.8674242424242424
