dataset,comparison,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,Hard-minus-Mean,gt_response,-0.004964567998336025,-0.0040985941886901855,-0.02465498447418213,0.016009509563446045,0.040664494037628174,-0.005904336820036473,-0.00396232367460699,5156
vggss,Hard-minus-Mean,nearfp_response,-0.005676869670745774,-0.004750609397888184,-0.030787020921707153,0.01969781517982483,0.05048483610153198,-0.006851494442212757,-0.004568141068143798,5075
vggss,Hard-minus-Mean,gt_nearfp_gap,0.0009158328248949474,0.0009275078773498535,-0.014721512794494629,0.01671949028968811,0.03144100308418274,7.635626886865776e-05,0.001740143099735523,5075
vggss,Hard-minus-Mean,gt_vs_nearfp_auroc,0.00046610201007833067,0.0012664794921875,-0.02948760986328125,0.0312652587890625,0.06075286865234375,-0.001249723351977983,0.002094996620134967,5075
vggss,Hard-minus-Mean,coverage,-0.008045807017899007,0.0,-0.03399670386106039,0.018649562931826347,0.05264626679288674,-0.010090006410507115,-0.006122338092804019,5158
vggss,Hard-minus-Mean,precision,0.0047134128691965396,0.0011763427810780325,-0.016443578051203042,0.02356986294476266,0.0400134409959657,0.00342418477377346,0.005917188601058316,5158
vggss,Hard-minus-Mean,pred_area_ratio,-0.0066458775463219405,-0.006816007653061229,-0.039132254464285754,0.027373644770408156,0.06650589923469391,-0.008457214803194809,-0.004932268987031489,5158
vggss,Hard-minus-Mean,iou,-0.0017830018007183495,-0.0007851096255166966,-0.024364441465863543,0.02126526139897192,0.04562970286483546,-0.0030065803492502763,-0.0004300503576642098,5158
vggss,Hard-minus-Mean,audio_swap_spearman,-0.004444089199663323,-0.002531887755101936,-0.008504464285714275,0.0015911989795918124,0.010095663265306087,-0.004825765989714241,-0.004071915414706454,5158
vggss,Hard-minus-Mean,audio_map_mae,8.486104472531742e-06,4.857378371525556e-06,-2.7877729735337198e-05,4.081569204572588e-05,6.869342178106308e-05,6.839506966041521e-06,1.0265466873968492e-05,5158
