dataset,sample_id,sample_index,RemoveFP,RemoveTP,AddTP,AddFP
vggss,-zgGL2o1jqw_000080,105,130,3373,1048,197
vggss,-ziWHyk_fYQ_000106,106,634,212,470,4028
vggss,0-jDld11jhw_000093,107,1621,503,6,0
vggss,007P6bFgRCU_000010,108,1321,0,33,981
vggss,00QQLLcny14_000083,109,2460,56,0,2221
vggss,00wORCOKNHw_000014,110,103,191,0,1798
vggss,00z0M1DJyAw_000090,111,965,0,0,0
vggss,01SaXyGY5SM_000030,112,788,98,123,1830
vggss,02UvvE1oA1I_000030,113,625,1602,607,8
vggss,030h_KwNm-g_000003,114,329,31,604,938
vggss,04QV0Xi5YTk_000030,115,737,3082,5,0
vggss,052VMqTM4Xs_000000,116,66,19,901,889
vggss,064Ilsz8Fzg_000051,117,860,3183,345,0
vggss,06si40RVDco_000030,118,2023,3791,0,0
vggss,076qdKSC8nU_000030,119,1247,434,21,1386
vggss,077aWlQn6XI_000030,120,1427,1403,774,1023
vggss,09NfjFeq2cs_000078,121,134,0,0,513
vggss,09pZj6CEvRw_000250,122,2507,844,0,0
vggss,0CEsVHHkwww_000030,123,143,0,0,1966
vggss,0CzC0-cXe8M_000030,124,437,67,0,716
vggss,0Dt2-TtqvJU_000030,125,1583,294,0,77
vggss,0E6KS8B6DMc_000540,126,2081,0,0,430
vggss,0EOQco76eXQ_000030,127,143,540,166,186
vggss,0F04c_rY4aw_000000,128,359,956,397,0
vggss,0FEd3Pd-ksw_000397,129,5372,1654,129,129
vggss,0FHSJnza9P8_000046,130,203,0,0,3022
vggss,0G50t4FlbIA_000060,131,6019,0,256,1167
vggss,0H814XXq-WQ_000030,132,565,790,874,487
vggss,0HBJuYt2Eys_000032,133,499,707,237,0
vggss,0HXYdGGKV2k_000030,134,156,501,6,198
vggss,0IqPUUWnnd8_000085,135,434,569,149,47
vggss,0Iy18mslB4A_000170,136,1523,14,716,86
vggss,0IzhjqyDzt8_000000,137,270,130,217,24
vggss,0JkiTl-4B5E_000017,138,914,511,0,0
vggss,0K92tp-4GEk_000108,139,1142,0,623,2762
vggss,0LwSy-xZSPw_000112,140,553,152,1,1608
vggss,0MU2SG5ME1E_000016,141,2623,403,0,0
vggss,0N0C0Wbe6AI_000030,142,357,2696,1,8
vggss,0NIE-eDk92M_000029,143,5845,61,33,25
vggss,0NLXz4JgvcQ_000096,144,605,0,56,7541
vggss,0NQXsEwBqAk_000136,145,139,504,6,1025
vggss,0O-gZoirpRA_000030,146,34,46,743,1381
vggss,0OH28bnOdEE_000058,147,923,524,0,1648
vggss,0OLYyjqNdn4_000352,148,627,138,425,1337
vggss,0Olm321vgk8_000030,149,593,0,0,2068
