dataset,model,sample_id,sample_index,readout,iou
vggss,mean_cram,-fTfRh0_RQ4_000030,69,AUD,0.4565748737167997
vggss,mean_cram,-g-GjgEq8l4_000017,70,AUD,0.11872262078598184
vggss,mean_cram,-gCqnkIUmp0_000140,71,AUD,0.09300492610837438
vggss,mean_cram,-gSfPQqi6nI_000030,72,AUD,0.5347260462555066
vggss,mean_cram,-hYRFCQdbLg_000030,73,AUD,0.5183863460046547
vggss,mean_cram,-hedbpc8T0E_000030,74,AUD,0.5457522543901282
vggss,mean_cram,-hss7xpzIVc_000030,75,AUD,0.09973270965586369
vggss,mean_cram,-iF4a6f5PJ8_000000,76,AUD,0.5508902884690149
vggss,mean_cram,-iF4a6f5PJ8_000060,77,AUD,0.6182368193604149
vggss,mean_cram,-jZENGDFArw_000080,78,AUD,0.3490955600219258
vggss,mean_cram,-kPDH9n0PG4_000310,79,AUD,0.012924620551847286
vggss,mean_cram,-kZVoaYYU6o_000000,80,AUD,0.4590269159998288
vggss,mean_cram,-lPXTBXa0tE_000030,81,AUD,0.4118012016718913
vggss,mean_cram,-mKtgDnG0oM_000030,82,AUD,0.017715006794797126
vggss,mean_cram,-nQ9a0P1TlY_000023,83,AUD,0.12303813425780019
vggss,mean_cram,-oGJwGEsIiA_000090,84,AUD,0.4275653488874487
vggss,mean_cram,-oOARU0JwWE_000153,85,AUD,0.12272812441446505
vggss,mean_cram,-oSzD8P2BtU_000030,86,AUD,0.4336140815747137
vggss,mean_cram,-ocADGlyaHc_000030,87,AUD,0.6742612011439466
vggss,mean_cram,-r2-9oyIzkQ_000030,88,AUD,0.4800173761946134
vggss,mean_cram,-r3nM90RCNs_000161,89,AUD,0.4757105943152455
vggss,mean_cram,-rTTPoBJNI4_000123,90,AUD,0.42608978882796805
vggss,mean_cram,-rb6uia1wSo_000190,91,AUD,0.24352464481715136
vggss,mean_cram,-rqhMzJRYoc_000030,92,AUD,0.3021316958713993
vggss,mean_cram,-t-htrAtNvM_000030,93,AUD,0.6857828820355428
vggss,mean_cram,-u-40BIU1HE_000003,94,AUD,0.15563181267662496
vggss,mean_cram,-uD3ZbhFTnk_000077,95,AUD,0.10187531677648251
vggss,mean_cram,-vAtBe4LMCQ_000063,96,AUD,0.21301267878897262
vggss,mean_cram,-wi8kPVJLcw_000205,97,AUD,0.6027111363267953
vggss,mean_cram,-wnDAPcoPsk_000030,98,AUD,0.5684788654060067
vggss,mean_cram,-xQbyezhw_k_000040,99,AUD,0.14023184759166069
vggss,mean_cram,-yicwYUKKuo_000304,100,AUD,0.6432010046745273
vggss,mean_cram,-z3AAq0FK-0_000001,101,AUD,0.5399661847014925
vggss,mean_cram,-z4OZ7ls5Bo_000540,102,AUD,0.32649786592214625
vggss,mean_cram,-zCtwbk005g_000030,103,AUD,0.7125245517990723
vggss,mean_cram,-zSyfcXmHdk_001083,104,AUD,0.021155498281786943
vggss,mean_cram,-zgGL2o1jqw_000080,105,AUD,0.6621943143074395
vggss,mean_cram,-ziWHyk_fYQ_000106,106,AUD,0.10912043585310913
vggss,mean_cram,0-jDld11jhw_000093,107,AUD,0.6093244118281891
vggss,mean_cram,007P6bFgRCU_000010,108,AUD,0.015393586005830904
vggss,mean_cram,00QQLLcny14_000083,109,AUD,0.045329016284163415
vggss,mean_cram,00wORCOKNHw_000014,110,AUD,0.34627508264780504
vggss,mean_cram,00z0M1DJyAw_000090,111,AUD,0.19797464958755281
vggss,mean_cram,01SaXyGY5SM_000030,112,AUD,0.6122313450857281
vggss,mean_cram,02UvvE1oA1I_000030,113,AUD,0.7664632658042471
vggss,mean_cram,030h_KwNm-g_000003,114,AUD,0.6072042640990372
vggss,mean_cram,04QV0Xi5YTk_000030,115,AUD,0.6477691777768773
vggss,mean_cram,052VMqTM4Xs_000000,116,AUD,0.5872357048684018
vggss,mean_cram,064Ilsz8Fzg_000051,117,AUD,0.5725289830640351
vggss,mean_cram,06si40RVDco_000030,118,AUD,0.6554515236862805
vggss,mean_cram,076qdKSC8nU_000030,119,AUD,0.4126596813549591
vggss,mean_cram,077aWlQn6XI_000030,120,AUD,0.5305335097001763
vggss,mean_cram,09NfjFeq2cs_000078,121,AUD,0.0
vggss,mean_cram,09pZj6CEvRw_000250,122,AUD,0.22179003165160355
vggss,mean_cram,0CEsVHHkwww_000030,123,AUD,0.06115504433261443
vggss,mean_cram,0CzC0-cXe8M_000030,124,AUD,0.5811909881275124
vggss,mean_cram,0Dt2-TtqvJU_000030,125,AUD,0.2849400126289202
vggss,mean_cram,0E6KS8B6DMc_000540,126,AUD,0.3937007874015748
vggss,mean_cram,0EOQco76eXQ_000030,127,AUD,0.6032546688284394
vggss,mean_cram,0F04c_rY4aw_000000,128,AUD,0.5705502292621926
vggss,mean_cram,0FEd3Pd-ksw_000397,129,AUD,0.5618962698766533
vggss,mean_cram,0FHSJnza9P8_000046,130,AUD,0.24059049594339046
vggss,mean_cram,0G50t4FlbIA_000060,131,AUD,0.11456166419019316
vggss,mean_cram,0H814XXq-WQ_000030,132,AUD,0.7515094455473915
vggss,mean_cram,0HBJuYt2Eys_000032,133,AUD,0.5134776987718164
vggss,mean_cram,0HXYdGGKV2k_000030,134,AUD,0.671252040102588
vggss,mean_cram,0IqPUUWnnd8_000085,135,AUD,0.825809029165002
vggss,mean_cram,0Iy18mslB4A_000170,136,AUD,0.3933762057877814
vggss,mean_cram,0IzhjqyDzt8_000000,137,AUD,0.5852613121620963
vggss,mean_cram,0JkiTl-4B5E_000017,138,AUD,0.5895359121165573
vggss,mean_cram,0K92tp-4GEk_000108,139,AUD,0.20518003790271636
vggss,mean_cram,0LwSy-xZSPw_000112,140,AUD,0.31435732187611887
vggss,mean_cram,0MU2SG5ME1E_000016,141,AUD,0.557493868863079
vggss,mean_cram,0N0C0Wbe6AI_000030,142,AUD,0.6095500402302407
vggss,mean_cram,0NIE-eDk92M_000029,143,AUD,0.3245891400242027
vggss,mean_cram,0NLXz4JgvcQ_000096,144,AUD,0.11769457570984289
vggss,mean_cram,0NQXsEwBqAk_000136,145,AUD,0.6499446017481226
vggss,mean_cram,0O-gZoirpRA_000030,146,AUD,0.6754946956587164
vggss,mean_cram,0OH28bnOdEE_000058,147,AUD,0.36453654059798096
vggss,mean_cram,0OLYyjqNdn4_000352,148,AUD,0.7152309289050337
vggss,mean_cram,0Olm321vgk8_000030,149,AUD,0.027635619242579325
vggss,mean_cram,0PHUQku2P5I_000050,150,AUD,0.7291617473435655
vggss,mean_cram,0QSPtpp1HN8_000030,151,AUD,0.6664002131628031
vggss,mean_cram,0QabiRBcEKc_000050,152,AUD,0.3894907595156712
vggss,mean_cram,0RZRFj7zDnQ_000030,153,AUD,0.48636300706077806
vggss,mean_cram,0Rqa18lmDtw_000153,154,AUD,0.10969853574504737
vggss,mean_cram,0T966F09Q_8_000000,155,AUD,0.43513931888544893
