sample_id,sample_index,readout,grid,gt_response,nearfp_response,gt_nearfp_gap,precision,coverage,activated_area
-4bPiXbovf0_000008,7,AUD,native_14x14_descriptive,0.8147787,0.747491784626618,0.06728690094314516,0.39766398514851486,0.8830299,0.5153061224489796
-CZ1LIc8aos_000020,20,AUD,native_14x14_descriptive,0.9041794,0.7773241526447237,0.12685524160042405,0.44080882352941175,1.0,0.4336734693877551
-IKnJa9U66I_000150,29,AUD,native_14x14_descriptive,0.86924875,0.767278995597735,0.10196975222788751,0.29926470588235293,1.0,0.4336734693877551
-Igq1W20Gi8_000000,30,AUD,native_14x14_descriptive,0.96193635,0.8575238285120577,0.10441252612508833,0.28136322463768115,1.0,0.3520408163265306
-Vo4CAMX26U_000030,49,AUD,native_14x14_descriptive,0.6624953,0.8564964837860316,-0.19400116871111095,0.5593191964285714,0.6239029,0.35714285714285715
-kZVoaYYU6o_000000,80,AUD,native_14x14_descriptive,0.6882054,0.6761240552878007,0.012081365683116019,0.6151442307692307,0.59723437,0.33163265306122447
-oGJwGEsIiA_000090,84,AUD,native_14x14_descriptive,0.7562524,0.766041561961174,-0.009789153933525085,0.49559294871794873,0.7649969,0.3979591836734694
-oSzD8P2BtU_000030,86,AUD,native_14x14_descriptive,0.8539128,0.705602825502865,0.1483099452452734,0.4541139240506329,1.0,0.4030612244897959
0E6KS8B6DMc_000540,126,AUD,native_14x14_descriptive,0.89580035,0.7863688007928431,0.10943155130371451,0.39506392045454547,1.0,0.4489795918367347
0IzhjqyDzt8_000000,137,AUD,native_14x14_descriptive,0.7203941,0.736181101994589,-0.01578702707774937,0.75625,0.6894178,0.30612244897959184
0YTieIiZNN4_000010,165,AUD,native_14x14_descriptive,0.86939746,0.764551944565028,0.1048455168493092,0.4276258680555556,0.9929453,0.3673469387755102
0jy-sVREk4o_000030,179,AUD,native_14x14_descriptive,0.80027854,0.7053317709360272,0.09494677348993719,0.49432116596638653,0.9724267,0.6071428571428571
0n56ajMNoMA_000118,184,AUD,native_14x14_descriptive,0.79952496,0.7622295587789267,0.03729540412314236,0.24451013513513514,0.84443367,0.5663265306122449
0ti14lvd2Aw_000000,196,AUD,native_14x14_descriptive,0.83951426,0.8140056470874697,0.025508608436211944,0.2701142723880597,0.94166666,0.6836734693877551
1FWUnWVX5Xk_000159,234,AUD,native_14x14_descriptive,0.7971899,0.6806467621354386,0.11654312920290977,0.3915895061728395,0.8903509,0.413265306122449
1_0T2ZIjWnw_000031,259,AUD,native_14x14_descriptive,0.86543566,0.6877660469617695,0.17766961292363703,0.5779474431818182,1.0,0.336734693877551
1dyFP4MGkIM_000030,270,AUD,native_14x14_descriptive,0.9180656,0.7597431029425934,0.15832250460516661,0.3671875,1.0,0.40816326530612246
1q8kkQhS97g_000140,289,AUD,native_14x14_descriptive,0.7294368,0.6296453005634248,0.09979151422157884,0.5513157894736842,0.7882422,0.4846938775510204
1vrJPFfLMvA_000233,296,AUD,native_14x14_descriptive,0.7180535,0.7221123896306381,-0.004058869904838502,0.39204545454545453,0.6357616,0.22448979591836735
21I0YiLHzvg_000038,309,AUD,native_14x14_descriptive,0.5979598,0.5732326749712229,0.024727141484618187,0.6044117647058823,0.54983276,0.4336734693877551
25QsgUI0x8U_000020,313,AUD,native_14x14_descriptive,0.888588,0.7695175795815885,0.11907043168321252,0.33955223880597013,1.0,0.34183673469387754
28ehZa0fzmo_000028,316,AUD,native_14x14_descriptive,0.85949457,0.6604959059040993,0.1989986610133201,0.5318509615384616,1.0,0.3979591836734694
29ZWMYIEq3g_000141,319,AUD,native_14x14_descriptive,0.81024885,0.7319442086154595,0.07830464316066355,0.2189002403846154,0.93158567,0.5306122448979592
2C4aXzGI2eI_000415,327,AUD,native_14x14_descriptive,0.8349176,0.7226642814930528,0.11225332343019545,0.6953993055555555,0.92484415,0.45918367346938777
2U5f3uTl7qg_000167,351,AUD,native_14x14_descriptive,0.84109503,0.7854873139876872,0.055607716320082545,0.37593005952380953,0.9728819,0.32142857142857145
2eYaXTKSpMI_000004,372,AUD,native_14x14_descriptive,0.732252,0.5615593666443601,0.17069263511803,0.6397058823529411,0.85090774,0.4336734693877551
2g5hx_rynAI_000035,376,AUD,native_14x14_descriptive,0.9087679,0.7861999322194606,0.12256794678978622,0.2878376588983051,1.0,0.6020408163265306
