method,vggss_144k_cIoU,vggss_144k_AUC,flickr_144k_cIoU,flickr_144k_AUC
AUD_FINE,0.42690965490500193,0.42295463357890656,0.812,0.6356
IMG_L4,0.4069406746801086,0.416614967041489,0.804,0.6165999999999998
IMG_FINE,0.4230321830166731,0.42598875533152386,0.816,0.6408
IMG_VALUE,0.11651803024428073,0.21969755719271036,0.176,0.27180000000000004
IMG_VALUE_RES,0.42458317177200466,0.42598875533152386,0.816,0.6406000000000002
IQR_FINE,0.43039937960449787,0.42608569212873204,0.804,0.6394
IQR_VALUE,0.4272974020938348,0.423148507173323,0.808,0.6356
IQR_VALUE_RES,0.4305932531989143,0.4256882512601784,0.808,0.6396000000000002
